Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_bias_abscissa,Cl_vs_bias_spline,Cl_vs_bias_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_bias_abscissa,Q_vs_bias_spline,Q_vs_bias_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_bias_abscissa,V1_vs_bias_spline,V1_vs_bias_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_bias_abscissa,V2_vs_bias_spline,V2_vs_bias_regression,bias_vs_Cl_abscissa,bias_vs_Cl_spline,bias_vs_Cl_regression,bias_vs_Q_abscissa,bias_vs_Q_spline,bias_vs_Q_regression,bias_vs_V1_abscissa,bias_vs_V1_spline,bias_vs_V1_regression,bias_vs_V2_abscissa,bias_vs_V2_spline,bias_vs_V2_regression
-1.01,0.204765,0.137751,-0.663262,-0.0939546,-0.203541,-0.948841,-0.0759009,-0.19574,-3.1236,0.0387482,0.0766267,-0.493559,0.203583,0.216521,-0.663262,-0.376731,-0.199568,-0.948841,-0.361599,-0.188304,-3.1236,-0.106568,-0.157151,-0.493559,-0.103765,-0.222007,-1.01,0.00703236,-0.125358,-0.948841,-0.650717,-0.636342,-3.1236,-0.148345,0.0199367,-0.493559,-0.146661,-0.332061,-1.01,0.00994201,-0.187064,-0.663262,-0.962988,-0.97336,-3.1236,-0.20777,0.0526593,-0.493559,0.375451,1.02619,-1.01,-1.29323,-1.32746,-0.663262,-1.51753,0.232948,-0.948841,-1.38097,0.498989
-0.995969,0.199052,0.135815,-0.651456,-0.0979113,-0.199903,-0.932178,-0.0818021,-0.192257,-3.05745,0.040337,0.0749676,-0.485315,0.192432,0.212715,-0.651456,-0.358173,-0.196203,-0.932178,-0.341481,-0.185155,-3.05745,-0.108081,-0.153994,-0.485315,-0.107184,-0.218345,-0.995969,0.000798185,-0.123636,-0.932178,-0.637877,-0.625071,-3.05745,-0.130645,0.0194448,-0.485315,-0.152975,-0.326718,-0.995969,0.000684047,-0.184608,-0.651456,-0.94704,-0.95618,-3.05745,-0.181543,0.0512542,-0.485315,0.427406,1.00791,-0.995969,-1.27048,-1.30977,-0.651456,-1.41624,0.227563,-0.932178,-1.25726,0.488897
-0.981939,0.19334,0.13388,-0.63965,-0.101868,-0.196265,-0.915516,-0.0877032,-0.188775,-2.9913,0.0419258,0.0733085,-0.47707,0.181281,0.208909,-0.63965,-0.339615,-0.192838,-0.915516,-0.321363,-0.182007,-2.9913,-0.109595,-0.150837,-0.47707,-0.110603,-0.214683,-0.981939,-0.00543599,-0.121914,-0.915516,-0.625037,-0.613799,-2.9913,-0.112944,0.018953,-0.47707,-0.159288,-0.321375,-0.981939,-0.00857392,-0.182151,-0.63965,-0.931091,-0.939,-2.9913,-0.155316,0.0498492,-0.47707,0.479361,0.989625,-0.981939,-1.24773,-1.29208,-0.63965,-1.31494,0.222178,-0.915516,-1.13356,0.478805
-0.967908,0.187627,0.131945,-0.627844,-0.105825,-0.192627,-0.898853,-0.0936044,-0.185293,-2.92515,0.0435147,0.0716494,-0.468825,0.170131,0.205102,-0.627844,-0.321057,-0.189474,-0.898853,-0.301245,-0.178859,-2.92515,-0.111108,-0.14768,-0.468825,-0.114022,-0.21102,-0.967908,-0.0116702,-0.120192,-0.898853,-0.612196,-0.602528,-2.92515,-0.0952443,0.0184611,-0.468825,-0.165602,-0.316033,-0.967908,-0.0178319,-0.179695,-0.627844,-0.915143,-0.92182,-2.92515,-0.129089,0.0484441,-0.468825,0.531316,0.971342,-0.967908,-1.22498,-1.27439,-0.627844,-1.21365,0.216794,-0.898853,-1.00985,0.468712
-0.953878,0.181915,0.130009,-0.616038,-0.109781,-0.188988,-0.882191,-0.0995055,-0.181811,-2.859,0.044829,0.0699904,-0.46058,0.15898,0.201296,-0.616038,-0.302499,-0.186109,-0.882191,-0.281128,-0.17571,-2.859,-0.112187,-0.144523,-0.46058,-0.11744,-0.207358,-0.953878,-0.0179043,-0.11847,-0.882191,-0.599356,-0.591257,-2.859,-0.0795409,0.0179693,-0.46058,-0.171916,-0.31069,-0.953878,-0.0270898,-0.177239,-0.616038,-0.899194,-0.90464,-2.859,-0.105845,0.047039,-0.46058,0.583271,0.953058,-0.953878,-1.20223,-1.2567,-0.616038,-1.11235,0.211409,-0.882191,-0.886148,0.45862
-0.939847,0.176202,0.128074,-0.604232,-0.113738,-0.18535,-0.865528,-0.105407,-0.178328,-2.79285,0.0459722,0.0683313,-0.452335,0.147829,0.19749,-0.604232,-0.283942,-0.182744,-0.865528,-0.26101,-0.172562,-2.79285,-0.112993,-0.141366,-0.452335,-0.120859,-0.203696,-0.939847,-0.0241385,-0.116748,-0.865528,-0.586516,-0.579985,-2.79285,-0.0650824,0.0174775,-0.452335,-0.178229,-0.305347,-0.939847,-0.0363478,-0.174783,-0.604232,-0.883246,-0.88746,-2.79285,-0.0844601,0.045634,-0.452335,0.635226,0.934775,-0.939847,-1.17948,-1.23901,-0.604232,-1.01106,0.206024,-0.865528,-0.762443,0.448528
-0.925817,0.17049,0.126139,-0.592426,-0.117695,-0.181712,-0.848865,-0.111308,-0.174846,-2.72671,0.0471154,0.0666722,-0.44409,0.136678,0.193683,-0.592426,-0.265384,-0.179379,-0.848865,-0.240892,-0.169413,-2.72671,-0.1138,-0.138209,-0.44409,-0.124278,-0.200034,-0.925817,-0.0303727,-0.115026,-0.848865,-0.573676,-0.568714,-2.72671,-0.0506239,0.0169856,-0.44409,-0.184543,-0.300005,-0.925817,-0.0456058,-0.172327,-0.592426,-0.867297,-0.87028,-2.72671,-0.0630752,0.0442289,-0.44409,0.687181,0.916491,-0.925817,-1.15673,-1.22132,-0.592426,-0.909763,0.20064,-0.848865,-0.638739,0.438436
-0.911786,0.164777,0.124203,-0.58062,-0.121651,-0.178074,-0.832203,-0.117209,-0.171364,-2.66056,0.0482586,0.0650131,-0.435845,0.125527,0.189877,-0.58062,-0.246826,-0.176015,-0.832203,-0.220774,-0.166265,-2.66056,-0.114607,-0.135052,-0.435845,-0.127697,-0.196372,-0.911786,-0.0366069,-0.113304,-0.832203,-0.560836,-0.557442,-2.66056,-0.0361655,0.0164938,-0.435845,-0.190856,-0.294662,-0.911786,-0.0548637,-0.169871,-0.58062,-0.851349,-0.8531,-2.66056,-0.0416903,0.0428238,-0.435845,0.739136,0.898207,-0.911786,-1.13398,-1.20363,-0.58062,-0.808468,0.195255,-0.832203,-0.515034,0.428343
-0.897756,0.159065,0.122268,-0.568813,-0.125608,-0.174436,-0.81554,-0.12311,-0.167882,-2.59441,0.0494017,0.063354,-0.4276,0.114377,0.186071,-0.568813,-0.228268,-0.17265,-0.81554,-0.200656,-0.163116,-2.59441,-0.115413,-0.131895,-0.4276,-0.131116,-0.192709,-0.897756,-0.042841,-0.111582,-0.81554,-0.547996,-0.546171,-2.59441,-0.021707,0.016002,-0.4276,-0.19717,-0.289319,-0.897756,-0.0641217,-0.167415,-0.568813,-0.8354,-0.83592,-2.59441,-0.0203053,0.0414188,-0.4276,0.791091,0.879924,-0.897756,-1.11123,-1.18594,-0.568813,-0.707172,0.18987,-0.81554,-0.39133,0.418251
-0.883726,0.153352,0.120333,-0.557007,-0.129565,-0.170797,-0.798877,-0.129011,-0.164399,-2.52826,0.0500977,0.0616949,-0.419355,0.103226,0.182265,-0.557007,-0.20971,-0.169285,-0.798877,-0.180538,-0.159968,-2.52826,-0.115524,-0.128738,-0.419355,-0.134535,-0.189047,-0.883726,-0.0490752,-0.109859,-0.798877,-0.535156,-0.5349,-2.52826,-0.0103518,0.0155101,-0.419355,-0.203484,-0.283977,-0.883726,-0.0733797,-0.164959,-0.557007,-0.819452,-0.81874,-2.52826,-0.00356809,0.0400137,-0.419355,0.843046,0.86164,-0.883726,-1.08848,-1.16825,-0.557007,-0.605877,0.184486,-0.798877,-0.267625,0.408159
-0.869695,0.14764,0.118397,-0.545201,-0.133521,-0.167159,-0.782215,-0.134913,-0.160917,-2.46211,0.0503541,0.0600358,-0.41111,0.0920749,0.178458,-0.545201,-0.191152,-0.16592,-0.782215,-0.160421,-0.156819,-2.46211,-0.11495,-0.125581,-0.41111,-0.137954,-0.185385,-0.869695,-0.0553094,-0.108137,-0.782215,-0.522315,-0.523628,-2.46211,-0.00204698,0.0150183,-0.41111,-0.209797,-0.278634,-0.869695,-0.0826376,-0.162502,-0.545201,-0.803503,-0.80156,-2.46211,0.00860053,0.0386086,-0.41111,0.895001,0.843357,-0.869695,-1.06573,-1.15056,-0.545201,-0.504582,0.179101,-0.782215,-0.143921,0.398067
-0.855665,0.141927,0.116462,-0.533395,-0.137478,-0.163521,-0.765552,-0.140814,-0.157435,-2.39596,0.0506105,0.0583768,-0.402865,0.0809241,0.174652,-0.533395,-0.172594,-0.162556,-0.765552,-0.140303,-0.153671,-2.39596,-0.114376,-0.122424,-0.402865,-0.141373,-0.181723,-0.855665,-0.0615436,-0.106415,-0.765552,-0.509475,-0.512357,-2.39596,0.00625779,0.0145264,-0.402865,-0.216111,-0.273291,-0.855665,-0.0918956,-0.160046,-0.533395,-0.787555,-0.78438,-2.39596,0.0207691,0.0372036,-0.402865,0.946956,0.825073,-0.855665,-1.04298,-1.13287,-0.533395,-0.403287,0.173716,-0.765552,-0.0202162,0.387974
-0.841634,0.136215,0.114527,-0.521589,-0.141435,-0.159883,-0.74889,-0.146715,-0.153953,-2.32982,0.0508669,0.0567177,-0.394621,0.0697733,0.170846,-0.521589,-0.154037,-0.159191,-0.74889,-0.120185,-0.150522,-2.32982,-0.113803,-0.119266,-0.394621,-0.144792,-0.178061,-0.841634,-0.0677777,-0.104693,-0.74889,-0.496635,-0.501086,-2.32982,0.0145626,0.0140346,-0.394621,-0.222425,-0.267949,-0.841634,-0.101154,-0.15759,-0.521589,-0.771606,-0.7672,-2.32982,0.0329377,0.0357985,-0.394621,0.998911,0.80679,-0.841634,-1.02023,-1.11517,-0.521589,-0.301992,0.168332,-0.74889,0.103488,0.377882
-0.827604,0.130502,0.112591,-0.509783,-0.145391,-0.156245,-0.732227,-0.152616,-0.150471,-2.26367,0.0511233,0.0550586,-0.386376,0.0586225,0.167039,-0.509783,-0.135479,-0.155826,-0.732227,-0.100067,-0.147374,-2.26367,-0.113229,-0.116109,-0.386376,-0.148211,-0.174398,-0.827604,-0.0740119,-0.102971,-0.732227,-0.483795,-0.489814,-2.26367,0.0228673,0.0135428,-0.386376,-0.228738,-0.262606,-0.827604,-0.110412,-0.155134,-0.509783,-0.755658,-0.75002,-2.26367,0.0451064,0.0343934,-0.386376,1.05087,0.788506,-0.827604,-0.997481,-1.09748,-0.509783,-0.200697,0.162947,-0.732227,0.227193,0.36779
-0.813574,0.12479,0.110656,-0.497977,-0.149348,-0.152606,-0.715564,-0.158517,-0.146988,-2.19752,0.0513797,0.0533995,-0.378131,0.0474717,0.163233,-0.497977,-0.116921,-0.152462,-0.715564,-0.0799492,-0.144226,-2.19752,-0.112655,-0.112952,-0.378131,-0.15163,-0.170736,-0.813574,-0.0802461,-0.101249,-0.715564,-0.470955,-0.478543,-2.19752,0.0311721,0.0130509,-0.378131,-0.235052,-0.257263,-0.813574,-0.119669,-0.152678,-0.497977,-0.739709,-0.73284,-2.19752,0.057275,0.0329884,-0.378131,1.10282,0.770223,-0.813574,-0.974731,-1.07979,-0.497977,-0.0994017,0.157562,-0.715564,0.350897,0.357698
