Cl_pop,1,-0.0348,0.0452,-0.0119,-0.00958,0.0235,-0.0259,0.0235,0.0233,0.0118,-0.00852
V1_pop,-0.0348,1,-0.841,0.132,0.025,-0.72,0.812,-0.707,-0.613,-0.608,0.548
Q_pop,0.0452,-0.841,1,0.151,-0.0234,0.72,-0.801,0.704,0.61,0.599,-0.546
V2_pop,-0.0119,0.132,0.151,1,-0.00456,0.248,-0.361,0.235,0.183,0.247,-0.144
omega_Cl,-0.00958,0.025,-0.0234,-0.00456,1,-0.0334,0.0196,-0.0102,-0.0306,-0.00233,-0.00438
omega_V1,0.0235,-0.72,0.72,0.248,-0.0334,1,-0.643,0.538,0.953,0.566,-0.551
corr_V2_V1,-0.0259,0.812,-0.801,-0.361,0.0196,-0.643,1,-0.778,-0.552,-0.641,0.49
omega_Q,0.0235,-0.707,0.704,0.235,-0.0102,0.538,-0.778,1,0.435,0.54,-0.469
omega_V2,0.0233,-0.613,0.61,0.183,-0.0306,0.953,-0.552,0.435,1,0.467,-0.45
a1,0.0118,-0.608,0.599,0.247,-0.00233,0.566,-0.641,0.54,0.467,1,-0.474
a2,-0.00852,0.548,-0.546,-0.144,-0.00438,-0.551,0.49,-0.469,-0.45,-0.474,1
