iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,b
1,791.29,1,5.13,20.91,5.39,26.12,1.5,1.5,1,0.3
2,785.524,1,5.19705,25.0451,5.95187,29.385,1.46202,1.46202,0.99454,0.285
3,777.561,1,5.44771,21.2627,7.75285,33.2418,1.425,1.425,1.124,0.27075
4,767.827,1,5.12512,22.0306,6.56932,38.6436,1.38892,1.38892,1.10047,0.257212
5,759.597,1,4.86815,19.2275,8.18238,45.6477,1.35375,1.35375,1.0726,0.244352
6,746.165,1,5.07891,27.3126,9.4887,42.2241,1.31947,1.31947,1.0854,0.232134
7,732.229,1,5.43976,22.0225,11.9779,41.1685,1.28606,1.28606,1.05792,0.220528
8,715.124,1,5.44983,21.7357,11.3441,44.2562,1.2535,1.2535,1.03113,0.209501
9,709.258,1,5.56922,22.8322,13.1802,31.3942,1.22176,1.22176,1.02992,0.199026
10,693.888,1,5.46058,19.7138,13.4695,31.3452,1.19082,1.19082,1.00384,0.189075
11,688.052,1,5.33875,13.6063,14.0488,32.7655,1.16067,1.16067,1.03507,0.179621
12,670.175,1,5.47002,16.0094,14.7737,33.687,1.13128,1.13128,1.00886,0.17064
13,669.847,1,5.39348,13.051,17.1515,31.1605,1.10264,1.10264,1.05086,0.162108
14,664.991,1,5.4063,11.4075,24.6586,29.2373,1.07472,1.07472,1.12011,0.154003
15,642.578,1,5.47892,10.0375,23.3479,29.4657,1.04751,1.04751,1.09174,0.146302
16,638.314,1,5.22839,11.4514,25.2417,28.4068,1.02098,1.02098,1.14625,0.138987
17,627.568,1,5.19343,9.93976,26.7096,29.1836,0.995131,0.995131,1.11723,0.132038
18,612.22,1,5.30852,8.22536,26.7869,29.7763,0.969933,0.969933,1.08894,0.125436
19,605.283,1,5.3455,9.12576,25.8774,29.9624,0.945374,0.945374,1.06136,0.119164
20,597.843,1,5.0853,7.71392,24.9576,27.8908,0.921437,0.921437,1.03449,0.113206
21,580.058,1,5.31397,7.96646,22.6521,29.5468,0.898105,0.898105,1.0083,0.107546
22,571.34,1,5.3488,8.33638,23.9349,30.3317,0.875365,0.883792,0.982766,0.102168
23,561.728,1,5.22073,8.2758,24.0472,28.8862,0.8532,0.861414,0.957882,0.0970601
24,550.948,1,5.29433,7.84371,23.5576,28.5251,0.831597,0.839603,0.933628,0.0922071
25,547.625,1,5.36808,7.36351,27.4434,28.8148,0.81054,0.877979,0.909988,0.0875967
26,535.92,1,5.22411,7.03998,25.8696,28.6797,0.790017,0.855748,0.886946,0.0832169
27,524.544,1,5.31706,7.25601,30.6671,27.8843,0.770013,0.83408,0.864488,0.079056
28,514.719,1,5.29704,7.20852,32.6509,28.015,0.750516,0.812961,0.842599,0.0751032
29,508.33,1,5.29036,7.63685,34.0773,27.2818,0.731512,0.792376,0.821264,0.0713481
30,505.321,1,5.28517,7.89254,38.2845,27.7934,0.71299,0.772313,0.800469,0.0677807
31,494.443,1,5.35312,7.65944,35.1376,27.8585,0.694937,0.841932,0.780201,0.0643916
32,483.452,1,5.37679,8.47174,29.2953,27.815,0.677341,0.820614,0.760446,0.061172
33,479.937,1,5.34523,8.45588,26.6493,27.3804,0.66019,0.841851,0.741191,0.0581134
34,466.32,1,5.36426,9.44448,24.0955,27.2948,0.643474,0.820535,0.722423,0.0552078
35,456.94,1,5.30994,8.17402,27.4632,26.8683,0.627181,0.874484,0.704131,0.0524474
36,452.07,1,5.33147,7.83683,29.1879,27.2147,0.6113,0.877593,0.686302,0.049825
37,438.013,1,5.29381,7.31659,28.7159,27.5761,0.595821,0.855371,0.668925,0.0473338
38,435.552,1,5.37366,7.58206,29.3587,27.8562,0.580735,0.833713,0.651987,0.0449671
39,428.708,1,5.37568,7.87916,29.2476,28.0956,0.56603,0.818385,0.635478,0.0427187
40,420.419,1,5.3559,7.65626,27.9326,28.2163,0.551698,0.797663,0.619388,0.0405828
41,415.492,1,5.30633,8.24938,25.6192,27.9077,0.537729,0.777466,0.603704,0.0385536
42,419.286,1,5.30946,8.55158,24.1692,27.7605,0.524113,0.792484,0.588418,0.0387589
43,404.468,1,5.29892,8.5247,25.68,27.2021,0.510842,0.772418,0.573519,0.036821
44,402.481,1,5.28515,8.19519,23.4629,26.9683,0.497908,0.775112,0.558997,0.0365992
45,408.933,1,5.3173,8.95343,23.6346,26.7997,0.4853,0.755486,0.544843,0.0381643
46,413.607,1,5.29262,8.21833,24.7958,27.0615,0.473012,0.805141,0.543598,0.0383052
47,416.361,1,5.28338,7.9073,26.3242,26.628,0.461035,0.807015,0.543281,0.0389164
48,418.388,1,5.27342,7.46939,25.8143,26.9089,0.449362,0.928102,0.563789,0.0383888
49,413.264,1,5.29475,7.52272,27.2085,26.7197,0.437984,0.904602,0.549514,0.0388591
50,409.444,1,5.2889,7.56363,27.1897,27.3042,0.426894,0.881697,0.5356,0.03866
51,407.976,1,5.27501,7.4947,28.8699,27.2828,0.416084,0.859372,0.522038,0.0383212
52,405.578,1,5.26996,7.52913,27.1935,27.0111,0.405549,0.837612,0.50882,0.0382292
53,408.95,1,5.31571,8.13418,28.3191,26.7895,0.39528,0.839238,0.495936,0.038827
54,403.045,1,5.31784,9.20107,26.4009,26.2035,0.385271,0.817988,0.513626,0.0377146
55,402.218,1,5.29177,9.63386,23.5392,25.8401,0.375516,0.797276,0.549656,0.0373061
56,401.384,1,5.28053,9.42953,23.6164,25.5575,0.366008,0.777088,0.550505,0.0370061
57,395.629,1,5.31176,9.744,21.7984,25.3179,0.35674,0.869028,0.536566,0.0356019
58,396.967,1,5.32633,9.82998,22.3885,25.219,0.347707,0.847024,0.52298,0.0365403
59,389.841,1,5.32753,9.89451,22.0344,25.288,0.338903,0.825577,0.509738,0.0357935
60,381.785,1,5.34372,10.2509,20.4519,25.041,0.330322,0.814765,0.496831,0.0340732
61,380.203,1,5.32807,10.418,19.8071,24.5813,0.321958,0.808802,0.484251,0.0338761
62,380.417,1,5.32881,9.89721,20.2837,24.3268,0.313806,0.846115,0.471989,0.033942
63,378.714,1,5.29657,10.0186,19.6589,24.4313,0.30586,0.884251,0.485539,0.033122
64,375.01,1,5.28445,10.1641,19.0017,24.7606,0.298116,0.861861,0.499054,0.0326374
65,378.007,1,5.29117,10.0291,19.0751,24.7219,0.290567,0.840038,0.486417,0.0334884
66,382.22,1,5.27285,9.64169,20.6728,24.5481,0.28321,0.863225,0.474101,0.0340041
67,375.913,1,5.26806,10.0405,20.012,24.5529,0.276039,0.841368,0.502705,0.032947
68,376.383,1,5.27528,10.0038,20.0786,24.4234,0.269049,0.820064,0.495612,0.033121
69,386.791,1,5.22066,9.91972,18.9906,24.099,0.270057,0.841884,0.483062,0.0348196
70,388.443,1,5.25329,10.3633,19.0966,24.0143,0.263219,0.832802,0.470831,0.0354744
71,389.933,1,5.21381,10.3837,19.8178,23.6015,0.257928,0.811715,0.540718,0.0350127
72,387.587,1,5.24866,10.5406,18.2804,23.6845,0.2529,0.791162,0.527027,0.0355059
73,381.549,1,5.23179,10.5268,17.6073,23.3838,0.25688,0.771129,0.513682,0.0344602
74,378.759,1,5.27355,10.8054,18.4473,23.2012,0.250376,0.764479,0.500676,0.034161
75,385.336,1,5.29467,11.2256,18.864,23.2419,0.249961,0.745122,0.564704,0.0350052
76,385.691,1,5.28056,11.4718,18.5371,22.8879,0.243632,0.726255,0.550405,0.035486
77,377.794,1,5.23418,11.4727,17.3217,22.7985,0.258232,0.707866,0.536469,0.0346081
78,381.31,1,5.26832,11.68,17.037,23.0434,0.258244,0.69356,0.522885,0.0347393
79,375.513,1,5.27064,11.3675,17.2109,22.7553,0.251705,0.688733,0.509645,0.03414
80,374.102,1,5.28113,11.9036,16.5405,23.1109,0.247423,0.710315,0.496741,0.0337646
81,363.95,1,5.30576,12.4344,16.6881,23.0567,0.250559,0.692329,0.484163,0.0323287
82,366.469,1,5.28403,12.5195,17.3252,22.7685,0.255086,0.674799,0.488107,0.0329764
83,369.121,1,5.26861,12.4835,16.2233,22.9553,0.256425,0.674784,0.481103,0.0329544
84,362.171,1,5.25726,12.615,16.5906,22.8656,0.253234,0.657699,0.491461,0.0324138
