trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
97.5,1.87013,2.14884,52,2.18178,2.23236,-0.389961,1.85578,2.11297,-0.175891,2.17778,2.22236,0.677083,1.87013,2.14884,97.5,2.67352,2.62683,52,2.58589,2.53151,-0.389961,2.67578,2.63249,-0.175891,2.58488,2.52898,0.677083,2.67352,2.62683,97.5,3.53743,3.6967,52,3.60927,3.66473,-0.389961,3.53301,3.68565,-0.175891,3.60694,3.6589,0.677083,3.53743,3.6967,97.5,3.64092,3.80422,52,3.71409,3.77172,-0.389961,3.63642,3.79297,-0.175891,3.71169,3.76572,0.677083,3.64092,3.80422,All
98.5172,1.97287,2.15303,52.3232,2.21152,2.23582,-0.382795,1.92813,2.11745,-0.171046,2.20147,2.22579,0.684147,1.97287,2.15303,98.5172,2.70169,2.62545,52.3232,2.64699,2.53255,-0.382795,2.69529,2.63113,-0.171046,2.63303,2.52999,0.684147,2.70169,2.62545,98.5172,3.60287,3.69674,52.3232,3.66757,3.66582,-0.382795,3.57879,3.68591,-0.171046,3.65293,3.66006,0.684147,3.60287,3.69674,98.5172,3.70811,3.80426,52.3232,3.77413,3.77282,-0.382795,3.68342,3.79323,-0.171046,3.75905,3.7669,0.684147,3.70811,3.80426,All
99.5343,2.07562,2.15722,52.6465,2.24126,2.23927,-0.375629,2.00047,2.12193,-0.166202,2.22515,2.22923,0.691211,2.07562,2.15722,99.5343,2.72986,2.62407,52.6465,2.70809,2.53358,-0.375629,2.7148,2.62978,-0.166202,2.68119,2.53101,0.691211,2.72986,2.62407,99.5343,3.66831,3.69678,52.6465,3.72587,3.66691,-0.375629,3.62456,3.68616,-0.166202,3.69892,3.66122,0.691211,3.66831,3.69678,99.5343,3.7753,3.8043,52.6465,3.83416,3.77392,-0.375629,3.73042,3.79348,-0.166202,3.80641,3.76808,0.691211,3.7753,3.8043,All
100.552,2.17836,2.16141,52.9697,2.271,2.24272,-0.368463,2.07282,2.12642,-0.161358,2.24884,2.23266,0.698274,2.17836,2.16141,100.552,2.75804,2.62268,52.9697,2.76919,2.53462,-0.368463,2.73431,2.62842,-0.161358,2.72934,2.53203,0.698274,2.75804,2.62268,100.552,3.73375,3.69682,52.9697,3.78418,3.668,-0.368463,3.67033,3.68642,-0.161358,3.74491,3.66238,0.698274,3.73375,3.69682,100.552,3.8425,3.80433,52.9697,3.89419,3.77502,-0.368463,3.77742,3.79374,-0.161358,3.85376,3.76925,0.698274,3.8425,3.80433,All
101.569,2.19922,2.1656,53.2929,2.29734,2.24618,-0.361297,2.14517,2.1309,-0.156514,2.27236,2.2361,0.705338,2.19922,2.1656,101.569,2.76197,2.6213,53.2929,2.7432,2.53565,-0.361297,2.75382,2.62706,-0.156514,2.77231,2.53304,0.705338,2.76197,2.6213,101.569,3.73669,3.69687,53.2929,3.78893,3.66908,-0.361297,3.7161,3.68668,-0.156514,3.78775,3.66354,0.705338,3.73669,3.69687,101.569,3.84569,3.80437,53.2929,3.89907,3.77612,-0.361297,3.82441,3.794,-0.156514,3.89787,3.77043,0.705338,3.84569,3.80437,All
102.586,2.20608,2.16979,53.6162,2.32332,2.24963,-0.354131,2.18458,2.13538,-0.15167,2.29364,2.23953,0.712402,2.20608,2.16979,102.586,2.76177,2.61992,53.6162,2.7082,2.53669,-0.354131,2.76356,2.6257,-0.15167,2.74406,2.53406,0.712402,2.76177,2.61992,102.586,3.72896,3.69691,53.6162,3.78815,3.67017,-0.354131,3.73653,3.68693,-0.15167,3.78723,3.6647,0.712402,3.72896,3.69691,102.586,3.83793,3.80441,53.6162,3.89824,3.77722,-0.354131,3.84546,3.79425,-0.15167,3.89731,3.7716,0.712402,3.83793,3.80441,All
103.603,2.21294,2.17398,53.9394,2.34931,2.25309,-0.346966,2.19018,2.13987,-0.146826,2.31493,2.24297,0.719465,2.21294,2.17398,103.603,2.76156,2.61854,53.9394,2.6732,2.53772,-0.346966,2.76328,2.62435,-0.146826,2.71581,2.53507,0.719465,2.76156,2.61854,103.603,3.72122,3.69695,53.9394,3.78737,3.67126,-0.346966,3.73094,3.68719,-0.146826,3.78671,3.66586,0.719465,3.72122,3.69695,103.603,3.83018,3.80445,53.9394,3.89741,3.77832,-0.346966,3.83985,3.79451,-0.146826,3.89676,3.77278,0.719465,3.83018,3.80445,All
104.62,2.21981,2.17817,54.2626,2.3753,2.25654,-0.3398,2.19579,2.14435,-0.141981,2.33621,2.24641,0.726529,2.21981,2.17817,104.62,2.76136,2.61716,54.2626,2.6382,2.53876,-0.3398,2.76299,2.62299,-0.141981,2.68756,2.53609,0.726529,2.76136,2.61716,104.62,3.71348,3.69699,54.2626,3.78658,3.67235,-0.3398,3.72535,3.68745,-0.141981,3.78619,3.66702,0.726529,3.71348,3.69699,104.62,3.82243,3.80449,54.2626,3.89658,3.77942,-0.3398,3.83425,3.79477,-0.141981,3.8962,3.77395,0.726529,3.82243,3.80449,All
105.637,2.22667,2.18236,54.5859,2.40128,2.26,-0.332634,2.20139,2.14884,-0.137137,2.35749,2.24984,0.733593,2.22667,2.18236,105.637,2.76115,2.61577,54.5859,2.6032,2.53979,-0.332634,2.7627,2.62163,-0.137137,2.65931,2.53711,0.733593,2.76115,2.61577,105.637,3.70575,3.69704,54.5859,3.7858,3.67344,-0.332634,3.71975,3.6877,-0.137137,3.78566,3.66818,0.733593,3.70575,3.69704,105.637,3.81468,3.80453,54.5859,3.89575,3.78052,-0.332634,3.82865,3.79502,-0.137137,3.89564,3.77513,0.733593,3.81468,3.80453,All
106.655,2.23353,2.18655,54.9091,2.42727,2.26345,-0.325468,2.20699,2.15332,-0.132293,2.37878,2.25328,0.740657,2.23353,2.18655,106.655,2.76095,2.61439,54.9091,2.5682,2.54083,-0.325468,2.76241,2.62028,-0.132293,2.63106,2.53812,0.740657,2.76095,2.61439,106.655,3.69801,3.69708,54.9091,3.78502,3.67453,-0.325468,3.71416,3.68796,-0.132293,3.78514,3.66934,0.740657,3.69801,3.69708,106.655,3.80693,3.80457,54.9091,3.89492,3.78162,-0.325468,3.82305,3.79528,-0.132293,3.89508,3.7763,0.740657,3.80693,3.80457,All
