standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-2.98043,0.00714286,-2.30217,0.00714286,All
-2.82094,0.0142857,-2.15781,0.0142857,All
-2.73453,0.0214286,-2.07658,0.0214286,All
-2.32458,0.0285714,-2.07162,0.0285714,All
-2.2901,0.0357143,-1.9878,0.0357143,All
-2.16321,0.0428571,-1.92267,0.0428571,All
-2.11542,0.05,-1.79818,0.05,All
-1.98983,0.0571429,-1.78536,0.0571429,All
-1.90751,0.0642857,-1.7569,0.0642857,All
-1.85173,0.0714286,-1.61776,0.0714286,All
-1.83085,0.0785714,-1.59761,0.0785714,All
-1.66445,0.0857143,-1.46809,0.0857143,All
-1.65613,0.0928571,-1.36197,0.0928571,All
-1.59727,0.1,-1.24602,0.1,All
-1.53176,0.107143,-1.24438,0.107143,All
-1.46575,0.114286,-1.10304,0.114286,All
-1.39265,0.121429,-1.08327,0.121429,All
-1.32953,0.128571,-1.07577,0.128571,All
-1.3094,0.135714,-1.07194,0.135714,All
-1.29275,0.142857,-1.02018,0.142857,All
-1.22674,0.15,-0.971578,0.15,All
-1.21869,0.157143,-0.924174,0.157143,All
-1.11605,0.164286,-0.90019,0.164286,All
-1.11502,0.171429,-0.887157,0.171429,All
-1.06216,0.178571,-0.849403,0.178571,All
-1.06196,0.185714,-0.837949,0.185714,All
-1.05381,0.192857,-0.814088,0.192857,All
-0.81931,0.2,-0.811461,0.2,All
-0.810381,0.207143,-0.804059,0.207143,All
-0.763403,0.214286,-0.798319,0.214286,All
-0.760465,0.221429,-0.730917,0.221429,All
-0.756031,0.228571,-0.691175,0.228571,All
-0.756023,0.235714,-0.681429,0.235714,All
-0.746959,0.242857,-0.671815,0.242857,All
-0.743484,0.25,-0.66763,0.25,All
-0.743478,0.257143,-0.657552,0.257143,All
-0.723939,0.264286,-0.632532,0.264286,All
-0.702614,0.271429,-0.602721,0.271429,All
-0.700259,0.278571,-0.570124,0.278571,All
-0.695797,0.285714,-0.57002,0.285714,All
-0.669975,0.292857,-0.543758,0.292857,All
-0.658333,0.3,-0.539292,0.3,All
-0.636033,0.307143,-0.50328,0.307143,All
-0.590097,0.314286,-0.471311,0.314286,All
-0.570693,0.321429,-0.429948,0.321429,All
-0.570138,0.328571,-0.421359,0.328571,All
-0.547858,0.335714,-0.408603,0.335714,All
-0.48312,0.342857,-0.397819,0.342857,All
-0.439376,0.35,-0.386868,0.35,All
-0.410289,0.357143,-0.384889,0.357143,All
-0.398429,0.364286,-0.383091,0.364286,All
-0.396082,0.371429,-0.345111,0.371429,All
-0.390469,0.378571,-0.341852,0.378571,All
-0.344781,0.385714,-0.340828,0.385714,All
-0.341193,0.392857,-0.335015,0.392857,All
-0.31068,0.4,-0.313156,0.4,All
-0.287208,0.407143,-0.29906,0.407143,All
-0.237041,0.414286,-0.298041,0.414286,All
-0.231332,0.421429,-0.279494,0.421429,All
-0.216608,0.428571,-0.268071,0.428571,All
-0.202654,0.435714,-0.259904,0.435714,All
-0.197358,0.442857,-0.253402,0.442857,All
-0.191897,0.45,-0.250475,0.45,All
-0.177476,0.457143,-0.246207,0.457143,All
-0.167595,0.464286,-0.225834,0.464286,All
-0.139216,0.471429,-0.211475,0.471429,All
-0.133746,0.478571,-0.20353,0.478571,All
-0.119101,0.485714,-0.177091,0.485714,All
-0.115989,0.492857,-0.136413,0.492857,All
-0.0665613,0.5,-0.0709719,0.5,All
-0.0565226,0.507143,-0.0536421,0.507143,All
-0.0402529,0.514286,-0.0232083,0.514286,All
-0.0315697,0.521429,-0.0160759,0.521429,All
-0.000799045,0.528571,0.00079434,0.528571,All
0.0358552,0.535714,0.0295461,0.535714,All
0.0516054,0.542857,0.0424461,0.542857,All
0.0615692,0.55,0.091446,0.55,All
0.0732085,0.557143,0.111863,0.557143,All
0.0961814,0.564286,0.189638,0.564286,All
0.0971531,0.571429,0.196354,0.571429,All
0.105214,0.578571,0.233083,0.578571,All
0.114706,0.585714,0.248008,0.585714,All
0.153007,0.592857,0.275598,0.592857,All
0.16733,0.6,0.277029,0.6,All
0.198195,0.607143,0.284227,0.607143,All
0.209055,0.614286,0.329473,0.614286,All
0.245746,0.621429,0.349255,0.621429,All
0.257031,0.628571,0.365933,0.628571,All
0.261603,0.635714,0.402811,0.635714,All
0.266034,0.642857,0.451964,0.642857,All
0.285915,0.65,0.466402,0.65,All
0.338426,0.657143,0.474138,0.657143,All
0.346293,0.664286,0.531518,0.664286,All
0.398706,0.671429,0.548171,0.671429,All
0.409333,0.678571,0.603148,0.678571,All
0.423323,0.685714,0.615595,0.685714,All
0.428574,0.692857,0.643044,0.692857,All
0.459591,0.7,0.653644,0.7,All
0.47563,0.707143,0.659168,0.707143,All
0.494447,0.714286,0.670787,0.714286,All
0.50478,0.721429,0.719445,0.721429,All
0.553206,0.728571,0.734713,0.728571,All
0.577523,0.735714,0.750181,0.735714,All
0.598506,0.742857,0.774407,0.742857,All
0.60562,0.75,0.802915,0.75,All
0.702442,0.757143,0.842622,0.757143,All
0.727469,0.764286,0.872848,0.764286,All
0.738298,0.771429,0.895954,0.771429,All
0.758665,0.778571,0.959759,0.778571,All
0.839145,0.785714,0.984168,0.785714,All
0.85019,0.792857,0.986268,0.792857,All
0.851565,0.8,0.986664,0.8,All
0.881086,0.807143,1.02038,0.807143,All
0.971725,0.814286,1.02878,0.814286,All
0.985529,0.821429,1.03685,0.821429,All
1.00581,0.828571,1.05927,0.828571,All
1.02032,0.835714,1.06765,0.835714,All
1.05224,0.842857,1.12644,0.842857,All
1.15483,0.85,1.13033,0.85,All
1.17679,0.857143,1.17307,0.857143,All
1.28774,0.864286,1.18957,0.864286,All
1.28939,0.871429,1.25627,0.871429,All
1.29643,0.878571,1.25775,0.878571,All
1.30469,0.885714,1.27536,0.885714,All
1.33334,0.892857,1.29062,0.892857,All
1.34446,0.9,1.31467,0.9,All
1.36141,0.907143,1.3307,0.907143,All
1.38333,0.914286,1.33564,0.914286,All
1.43663,0.921429,1.33915,0.921429,All
1.44587,0.928571,1.35096,0.928571,All
1.6386,0.935714,1.40521,0.935714,All
1.66126,0.942857,1.47709,0.942857,All
1.77189,0.95,1.50681,0.95,All
1.98148,0.957143,1.55016,0.957143,All
1.99238,0.964286,1.56441,0.964286,All
2.04289,0.971429,1.57031,0.971429,All
2.2515,0.978571,1.68001,0.978571,All
2.80917,0.985714,1.7653,0.985714,All
2.86176,0.992857,1.78053,0.992857,All
3.42179,1,1.81245,1,All
4,1,4,1,All
