standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-2.49489,0.101441,-2.38772,0.0411362,All
-2.11348,0.081153,-2.01151,0.10284,All
-1.73208,0.0405765,-1.63529,0.0822723,All
-1.35067,0.0608647,-1.25907,0.143977,All
-0.96926,0.162306,-0.88285,0.514202,All
-0.587852,0.304324,-0.506631,0.308521,All
-0.206444,0.263747,-0.130412,0.287953,All
0.174964,0.730377,0.245806,0.185113,All
0.556372,0.507206,0.622025,0.43193,All
0.937779,0.3449,0.998243,0.473066,All
1.31919,0.101441,1.37446,0.164545,All
1.7006,0.142018,1.75068,0.143977,All
