rep,ID,standEta_V_simulated,standEta_Cl_simulated,filter
1,1,0.409333,-1.36197,0
2,1,-0.115989,-1.07194,0
3,1,0.105214,-0.924174,0
4,1,-0.000799045,-1.79818,0
5,1,-1.90751,-1.24602,0
6,1,-0.658333,-1.24438,0
7,1,-0.743478,-1.10304,0
8,1,1.29643,-1.59761,0
9,1,0.0516054,-1.02018,0
10,1,-1.59727,-1.08327,0
1,2,1.05224,0.275598,0
2,2,0.971725,0.670787,0
3,2,0.338426,0.734713,0
4,2,-1.66445,0.349255,0
5,2,-0.0665613,0.802915,0
6,2,0.60562,1.03685,0
7,2,0.0971531,0.189638,0
8,2,-0.287208,0.329473,0
9,2,1.66126,1.02038,0
10,2,1.33334,0.842622,0
1,3,-0.202654,0.548171,0
2,3,0.738298,0.774407,0
3,3,0.50478,0.603148,0
4,3,-0.760465,0.531518,0
5,3,-0.390469,0.365933,0
6,3,0.285915,0.719445,0
7,3,1.17679,1.05927,0
8,3,1.30469,0.750181,0
9,3,-0.197358,0.659168,0
10,3,-0.216608,0.653644,0
1,4,-2.32458,-0.539292,0
2,4,-1.11605,-0.259904,0
3,4,1.38333,0.111863,0
4,4,-2.82094,-0.340828,0
5,4,-1.05381,-0.849403,0
6,4,0.553206,-0.0160759,0
7,4,-1.39265,-0.279494,0
8,4,1.15483,-0.225834,0
9,4,-0.756031,0.0424461,0
10,4,-1.32953,-0.253402,0
1,5,0.85019,-0.298041,0
2,5,-1.06196,-0.570124,0
3,5,0.153007,-0.345111,0
4,5,-1.29275,-0.671815,0
5,5,0.702442,-0.313156,0
6,5,0.423323,-0.543758,0
7,5,-0.410289,-0.421359,0
8,5,1.34446,-0.246207,0
9,5,-0.0315697,-0.397819,0
10,5,1.44587,-0.386868,0
1,6,0.261603,-0.20353,0
2,6,0.851565,-0.0709719,0
3,6,2.80917,-0.0232083,0
4,6,0.598506,0.402811,0
5,6,0.459591,-0.136413,0
6,6,2.04289,0.615595,0
7,6,3.42179,0.284227,0
8,6,-0.763403,-0.0536421,0
9,6,1.98148,0.196354,0
10,6,0.245746,0.248008,0
1,7,-1.85173,1.31467,0
2,7,-2.98043,0.986664,0
3,7,-1.98983,1.3307,0
4,7,-0.756023,1.55016,0
5,7,-0.700259,1.27536,0
6,7,-1.65613,1.29062,0
7,7,-0.746959,1.57031,0
8,7,-1.83085,1.18957,0
9,7,-2.2901,1.13033,0
10,7,-1.11502,1.47709,0
1,8,-0.723939,1.40521,0
2,8,-0.191897,1.02878,0
3,8,-1.06216,1.33915,0
4,8,-0.810381,1.25627,0
5,8,-0.0565226,1.81245,0
6,8,0.985529,1.68001,0
7,8,0.727469,1.78053,0
8,8,-0.695797,1.12644,0
9,8,0.266034,1.7653,0
10,8,0.346293,1.56441,0
1,9,0.0615692,-0.177091,0
2,9,1.28774,-0.341852,0
3,9,-0.570693,-0.602721,0
4,9,0.881086,-0.57002,0
5,9,-0.177476,-0.50328,0
6,9,-0.439376,-0.429948,0
7,9,0.16733,-0.250475,0
8,9,-0.636033,-0.383091,0
9,9,-0.743484,-1.07577,0
10,9,0.577523,-0.691175,0
1,10,-1.46575,-2.07658,0
2,10,-2.11542,-1.61776,0
3,10,-1.53176,-2.07162,0
4,10,0.257031,-1.9878,0
5,10,-0.669975,-1.78536,0
6,10,-0.139216,-1.7569,0
7,10,-0.48312,-2.30217,0
8,10,-2.73453,-1.92267,0
9,10,-0.702614,-1.46809,0
10,10,-0.237041,-2.15781,0
1,11,1.36141,0.895954,0
2,11,0.47563,0.451964,0
3,11,-0.31068,0.474138,0
4,11,0.839145,0.233083,0
5,11,-0.0402529,0.091446,0
6,11,0.0732085,0.277029,0
7,11,-0.133746,0.00079434,0
8,11,-0.167595,0.466402,0
9,11,0.0358552,0.0295461,0
10,11,2.86176,0.643044,0
1,12,-0.398429,-0.837949,0
2,12,1.02032,-0.335015,0
3,12,0.114706,-0.66763,0
4,12,1.00581,-0.681429,0
5,12,0.0961814,-0.657552,0
6,12,0.758665,-0.730917,0
7,12,-1.21869,-0.887157,0
8,12,-0.231332,-0.90019,0
9,12,-0.590097,-0.814088,0
10,12,2.2515,-0.811461,0
1,13,1.28939,-0.211475,0
2,13,-1.22674,-0.804059,0
3,13,-0.344781,-0.29906,0
4,13,0.198195,-0.632532,0
5,13,0.428574,-0.384889,0
6,13,1.77189,-0.471311,0
7,13,-1.3094,-0.971578,0
8,13,0.398706,-0.268071,0
9,13,1.43663,-0.408603,0
10,13,-0.341193,-0.798319,0
1,14,-0.119101,1.25775,0
2,14,-0.81931,1.06765,0
3,14,-0.547858,0.872848,0
4,14,-0.396082,0.984168,0
5,14,-2.16321,0.986268,0
6,14,-0.570138,0.959759,0
7,14,1.6386,1.17307,0
8,14,0.494447,1.33564,0
9,14,0.209055,1.50681,0
10,14,1.99238,1.35096,0
