iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,b1,a2,b2
1,1818.88,1,10.2275,43.2233,11.1604,60.344,1.5,1.5,1.5,1.5,1,0.3,1,0.3
2,1787.55,1,10.2322,81.7193,16.232,92.5317,1.46202,1.46202,1.76599,1.48535,0.95,0.285,0.95,0.285
3,1763.32,1,11.5531,91.0254,19.4725,149.539,1.425,1.425,1.76295,1.44774,0.9025,0.27075,0.9025,0.27075
4,1743.07,1,9.13038,132.503,30.4922,200.553,1.38892,1.38892,1.71831,1.41109,0.857375,0.257212,0.857375,0.257212
5,1723.48,1,9.25769,167.283,28.9648,202.072,1.35375,1.35375,1.6748,1.37536,0.814506,0.244352,0.814506,0.244352
6,1706.93,1,9.41621,117.378,22.43,259.519,1.31947,1.31947,1.64276,1.34053,0.773781,0.232134,0.773781,0.232134
7,1675.5,1,8.72713,131.189,22.6097,272.287,1.28606,1.28606,1.60117,1.30659,0.735092,0.220528,0.735092,0.220528
8,1660.17,1,8.1738,136.332,25.8539,293.071,1.2535,1.2535,1.56199,1.2735,0.698337,0.209501,0.698337,0.209501
9,1654.05,1,7.51951,135.736,21.1505,346.169,1.22176,1.22176,1.7584,1.24126,0.66342,0.199026,0.66342,0.199026
10,1635.88,1,6.72468,147.289,21.602,361.298,1.19082,1.19082,1.84493,1.20983,0.630249,0.189075,0.630249,0.189075
11,1618.41,1,7.34354,135.921,13.1501,398.642,1.16067,1.16067,1.79822,1.28321,0.598737,0.179621,0.598737,0.179621
12,1583.45,1,7.62317,95.6877,13.7912,390.97,1.13128,1.13128,1.75269,1.25072,0.5688,0.17064,0.5688,0.17064
13,1581.49,1,6.75297,79.6305,18.5682,454.622,1.10264,1.10264,1.83169,1.22625,0.54036,0.162108,0.54036,0.162108
14,1559.26,1,7.2453,80.492,15.8179,376.613,1.07472,1.07472,1.78531,1.27234,0.513342,0.154003,0.513342,0.154003
15,1532.47,1,7.44732,66.1844,17.922,385.884,1.04751,1.04751,1.7401,1.24012,0.487675,0.146302,0.487675,0.146302
16,1505.93,1,6.89404,66.291,21.7627,338.203,1.02098,1.02098,1.69604,1.20872,0.463291,0.138987,0.463291,0.138987
17,1484.33,1,6.75484,52.7597,15.0711,375.439,0.995131,0.995131,1.6531,1.17812,0.440127,0.132038,0.440127,0.132038
18,1470.61,1,7.0725,47.3003,17.36,313.31,0.969933,0.969933,1.65946,1.1581,0.41812,0.125436,0.41812,0.125436
19,1447.08,1,7.61567,54.3784,16.6568,349.066,0.945374,0.945374,1.61744,1.12878,0.397214,0.119164,0.397214,0.119164
20,1425.26,1,8.41499,68.6503,14.3336,349.08,0.921437,0.921437,1.57648,1.1002,0.377354,0.113206,0.377354,0.113206
21,1404.26,1,8.19852,56.7906,16.5307,305.19,0.898105,0.898105,1.5366,1.07234,0.358486,0.107546,0.358486,0.107546
22,1381.84,1,7.85662,59.4629,13.943,312.226,0.875365,0.875365,1.49769,1.04519,0.340562,0.102168,0.340562,0.102168
23,1365.02,1,7.84881,50.6806,11.3441,320.547,0.8532,0.8532,1.59432,1.01872,0.323534,0.0970601,0.323534,0.0970601
24,1356.47,1,7.31657,49.3515,11.7523,379.222,0.831597,0.831597,1.55395,1.07267,0.307357,0.0922071,0.307357,0.0922071
25,1335.24,1,8.15128,54.3415,13.7187,344.954,0.81054,0.81054,1.5146,1.04551,0.291989,0.0875967,0.291989,0.0875967
26,1307.12,1,7.95041,49.5431,13.5921,313.582,0.790017,0.790017,1.47625,1.01904,0.27739,0.0832169,0.27739,0.0832169
27,1296.88,1,8.54779,51.8531,14.862,300.568,0.770013,0.770013,1.43887,0.993238,0.26352,0.079056,0.26352,0.079056
28,1268.17,1,8.05979,49.8282,11.8219,287.07,0.750516,0.750516,1.40244,0.986944,0.250344,0.0751032,0.250344,0.0751032
29,1251.68,1,7.97634,50.9212,12.5472,260.925,0.731512,0.731512,1.36693,0.967828,0.237827,0.0713481,0.237827,0.0713481
30,1226.51,1,8.42129,54.2504,10.6915,255.9,0.71299,0.71299,1.33232,0.964059,0.225936,0.0677807,0.225936,0.0677807
31,1207.76,1,8.76582,55.757,7.86754,256.051,0.694937,0.694937,1.29858,0.964517,0.214639,0.0643916,0.214639,0.0643916
32,1193.4,1,8.62312,54.249,7.79433,225.273,0.677341,0.677341,1.2657,0.950479,0.203907,0.061172,0.203907,0.061172
33,1174.69,1,8.59011,52.8806,6.58392,206.207,0.66019,0.66019,1.23365,0.926413,0.193711,0.0581134,0.193711,0.0581134
34,1181.29,1,8.04548,54.0037,7.73579,232.355,0.643474,0.643474,1.26123,0.909013,0.184026,0.0552078,0.184026,0.0552078
35,1160.27,1,8.05573,53.1561,6.31341,260.297,0.627181,0.627181,1.2293,0.913019,0.174825,0.0524474,0.174825,0.0524474
36,1143.01,1,7.90775,54.9118,7.34847,271.802,0.6113,0.6113,1.19817,0.978324,0.166083,0.049825,0.166083,0.049825
37,1135.06,1,7.81794,54.4247,6.42069,277.607,0.595821,0.595821,1.2397,0.964063,0.157779,0.0473338,0.157779,0.0473338
38,1126.19,1,7.61816,56.3861,6.41085,273.418,0.580735,0.580735,1.20831,0.98255,0.14989,0.0449671,0.14989,0.0449671
39,1114.34,1,7.62071,56.5283,6.33165,313.994,0.56603,0.56603,1.17772,1.00855,0.142396,0.0427187,0.142396,0.0427187
40,1102.46,1,7.66642,53.8634,7.8674,308.799,0.551698,0.551698,1.1479,1.07604,0.135276,0.0405828,0.135276,0.0405828
41,1092.14,1,7.52424,51.67,9.12877,297.15,0.537729,0.537729,1.11883,1.0488,0.128512,0.0385536,0.128512,0.0385536
42,1080.71,1,7.39398,52.0713,9.52408,280.206,0.524113,0.524113,1.0905,1.02224,0.122087,0.036626,0.122087,0.036626
43,1061.75,1,7.31864,50.2579,9.64995,291.397,0.510842,0.510842,1.06289,0.996358,0.209769,2.22045e-16,0.115982,0.0347947
44,1056.9,1,7.52655,50.7727,9.58722,277.644,0.497908,0.497908,1.03598,1.00355,0.208493,2.22045e-16,0.110183,0.0330549
45,1050.17,1,7.47136,51.1003,9.70493,289.721,0.4853,0.4853,1.00974,0.978137,0.225254,2.22045e-16,0.104674,0.0314022
46,1040.35,1,7.35532,52.9711,9.52817,310.64,0.473012,0.473012,0.984178,0.95337,0.225047,2.22045e-16,0.0994403,0.0298321
47,1029.03,1,7.40522,51.8308,8.94839,306.282,0.461035,0.461035,0.959258,0.92923,0.232494,2.22045e-16,0.0944682,0.0283405
48,1024.5,1,7.59067,50.5481,9.14577,288.133,0.449362,0.449362,0.934969,0.905702,0.233185,2.22045e-16,0.0897448,0.0269234
49,1019.84,1,7.84892,50.1387,9.34648,266.487,0.437984,0.437984,0.911295,0.882769,0.251153,2.22045e-16,0.0852576,0.0255773
50,1010.96,1,7.92712,50.6049,9.68064,249.515,0.426894,0.426894,0.88822,0.912999,0.252942,2.22045e-16,0.0809947,0.0242984
51,1007.98,1,8.14982,51.5235,8.2281,256.016,0.416084,0.416084,0.86573,0.904859,0.255475,2.22045e-16,0.076945,0.0230835
52,995.187,1,8.16449,49.1211,8.50918,242.966,0.405549,0.405549,0.843809,0.956387,0.267379,2.22045e-16,0.0730977,0.0219293
53,995.25,1,8.20721,48.3419,8.47482,230.986,0.39528,0.39528,0.822444,0.952351,0.274237,2.22045e-16,0.0694428,0.0208329
54,978.409,1,8.17959,48.594,8.06444,232.146,0.385271,0.385271,0.801619,0.928237,0.275089,2.22045e-16,0.0659707,0.0197912
55,975.066,1,8.1681,48.8859,9.09087,228.854,0.375516,0.375516,0.781321,0.904733,0.270571,2.22045e-16,0.0626722,0.0188016
56,974.192,1,8.18879,48.0204,9.38784,236.956,0.366008,0.366008,0.761538,0.881825,0.28221,2.22045e-16,0.0614012,0.0180659
57,954.503,1,8.12961,48.1295,9.92993,235.221,0.35674,0.35674,0.742255,0.869904,0.291589,2.22045e-16,0.0583312,0.0171626
58,943.824,1,8.25355,47.3253,9.12152,219.692,0.347707,0.347707,0.723461,0.848302,0.287678,2.22045e-16,0.0554146,0.0163045
59,935.273,1,8.26677,47.2686,9.96715,218.856,0.338903,0.338903,0.705143,0.827253,0.295785,2.22045e-16,0.0526439,0.0154893
60,938.072,1,8.38084,47.4358,10.0123,209.127,0.330322,0.330322,0.687288,0.852916,0.292693,2.22045e-16,0.0500117,0.0147148
61,931.618,1,8.56405,46.1131,9.79023,175.152,0.321958,0.321958,0.669885,0.941968,0.298956,2.22045e-16,0.0475111,0.0139791
62,928.592,1,8.67497,46.0366,9.83409,164.644,0.313806,0.313806,0.652924,0.97617,0.300239,2.22045e-16,0.0243664,0.0213726
63,920.696,1,8.77541,44.7592,9.54492,153.623,0.30586,0.30586,0.636391,0.951453,0.300062,2.22045e-16,0.0281879,0.0193165
64,908.414,1,9.03656,46.3946,9.81836,141.497,0.298116,0.298116,0.620277,0.955882,0.297386,2.22045e-16,0.0267785,0.0183507
65,909.382,1,9.08326,46.2203,9.8166,141.394,0.290567,0.290567,0.604572,0.931679,0.294169,2.22045e-16,0.0131007,0.0248083
66,902.39,1,9.07575,46.6309,9.83472,140.152,0.28321,0.28321,0.589264,0.912595,0.301048,2.22045e-16,0.0124456,0.0235679
67,897.757,1,9.19715,45.8016,9.90427,131.258,0.276039,0.2809,0.574343,0.916275,0.299277,2.22045e-16,0.0276831,0.0165464
68,894.654,1,9.23926,45.6169,10.128,127.501,0.269049,0.273787,0.5598,0.916002,0.29609,2.22045e-16,0.0239179,0.0180504
69,888.475,1,9.29862,45.669,9.93572,122.119,0.270609,0.266855,0.545626,0.892809,0.302957,2.22045e-16,0.02197,0.0180101
