pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.29629,0.0437996,-3.29311,0.00402827,-2.28229,0.043552,All
-1.77307,0.109499,-3.1882,0.00402827,-1.7561,0.10888,All
-1.24985,0.218998,-3.08329,0.00805655,-1.22991,0.21776,All
-0.726637,0.284697,-2.97837,0,-0.703721,0.304864,All
-0.20342,0.437996,-2.87346,0.00604241,-0.17753,0.500848,All
0.319796,0.547495,-2.76855,0.00604241,0.348661,0.479072,All
0.843013,0.153298,-2.66364,0.0120848,0.874853,0.174208,All
1.36623,0.197098,-2.55872,0.0221555,1.40104,0.152432,All
1.88945,0.0656993,-2.45381,0.0201414,1.92723,0.043552,All
2.41266,0.0437996,-2.3489,0.0382686,2.45343,0.065328,All
,,-2.24398,0.0322262,,,All
,,-2.13907,0.0342403,,,All
,,-2.03416,0.0422969,,,All
,,-1.92924,0.0624382,,,All
,,-1.82433,0.0845937,,,All
,,-1.71942,0.100707,,,All
,,-1.6145,0.0946644,,,All
,,-1.50959,0.130919,,,All
,,-1.40468,0.155089,,,All
,,-1.29976,0.169187,,,All
,,-1.19485,0.157103,,,All
,,-1.08994,0.217527,,,All
,,-0.985024,0.243711,,,All
,,-0.880111,0.286007,,,All
,,-0.775198,0.275937,,,All
,,-0.670284,0.354488,,,All
,,-0.565371,0.328304,,,All
,,-0.460458,0.368587,,,All
,,-0.355545,0.364559,,,All
,,-0.250632,0.324276,,,All
,,-0.145718,0.344417,,,All
,,-0.0408052,0.431025,,,All
,,0.064108,0.426997,,,All
,,0.169021,0.372615,,,All
,,0.273934,0.398799,,,All
,,0.378848,0.439082,,,All
,,0.483761,0.396785,,,All
,,0.588674,0.312191,,,All
,,0.693587,0.35046,,,All
,,0.7985,0.318234,,,All
,,0.903414,0.271908,,,All
,,1.00833,0.265866,,,All
,,1.11324,0.201414,,,All
,,1.21815,0.203428,,,All
,,1.32307,0.161131,,,All
,,1.42798,0.122862,,,All
,,1.53289,0.155089,,,All
,,1.63781,0.100707,,,All
,,1.74272,0.0906362,,,All
,,1.84763,0.0805655,,,All
,,1.95255,0.044311,,,All
,,2.05746,0.0362545,,,All
,,2.16237,0.0322262,,,All
,,2.26729,0.0281979,,,All
,,2.3722,0.0302121,,,All
,,2.47711,0.0161131,,,All
,,2.58202,0.0241696,,,All
,,2.68694,0.0161131,,,All
,,2.79185,0.0100707,,,All
,,2.89676,0.0120848,,,All
,,3.00168,0.00201414,,,All
,,3.10659,0.00402827,,,All
,,3.2115,0.00201414,,,All
,,3.31642,0.00201414,,,All
,,3.42133,0.00604241,,,All
,,3.52624,0.00402827,,,All
,,3.63116,0.00201414,,,All
,,3.73607,0,,,All
,,3.84098,0,,,All
,,3.9459,0.00402827,,,All
