rep,ID,eta_fi_simulated,eta_V_simulated,eta_Cl_simulated,split,color,filter
0,1,-0.351709,-0.452112,-0.545083,All,#4682B4,0
1,1,-0.465762,-0.445977,-0.540034,All,#4682B4,0
2,1,-0.623092,-0.3602,-0.648576,All,#4682B4,0
3,1,-0.453034,-0.239141,-0.536044,All,#4682B4,0
4,1,-0.464918,-0.427311,-0.489604,All,#4682B4,0
5,1,-0.380623,-0.3465,-0.52735,All,#4682B4,0
6,1,-0.531469,-0.335126,-0.622143,All,#4682B4,0
7,1,-0.423248,-0.250269,-0.581417,All,#4682B4,0
8,1,-0.553351,-0.246012,-0.687374,All,#4682B4,0
9,1,-0.53376,-0.359083,-0.636467,All,#4682B4,0
0,2,-0.0425832,-0.0341073,0.160629,All,#4682B4,0
1,2,0.0142969,0.167507,0.220006,All,#4682B4,0
2,2,0.187969,0.125263,0.342398,All,#4682B4,0
3,2,0.0121605,-0.038207,0.335435,All,#4682B4,0
4,2,-0.0552905,-0.0668281,0.261725,All,#4682B4,0
5,2,0.0484341,0.233008,0.145525,All,#4682B4,0
6,2,-0.132601,-0.0218847,0.276349,All,#4682B4,0
7,2,-0.0236742,0.0263847,0.24593,All,#4682B4,0
8,2,0.239833,0.117661,0.315683,All,#4682B4,0
9,2,-0.0669451,0.0382056,0.161052,All,#4682B4,0
0,3,-0.0317394,0.0616619,0.212979,All,#4682B4,0
1,3,0.0212788,0.0664158,0.17062,All,#4682B4,0
2,3,-0.0441387,-0.194704,0.171235,All,#4682B4,0
3,3,0.0776464,0.128593,0.253371,All,#4682B4,0
4,3,0.0323012,0.16467,0.242419,All,#4682B4,0
5,3,0.039253,-0.019824,0.235027,All,#4682B4,0
6,3,0.0740981,-0.0024455,0.23857,All,#4682B4,0
7,3,-0.00183706,-0.00136298,0.13608,All,#4682B4,0
8,3,0.00876598,0.069221,0.142495,All,#4682B4,0
9,3,0.0680881,0.115719,0.155966,All,#4682B4,0
0,4,0.169261,-0.115744,-0.054869,All,#4682B4,0
1,4,0.220679,-0.0971299,0.022486,All,#4682B4,0
2,4,0.118993,-0.153152,0.00861586,All,#4682B4,0
3,4,0.0698355,-0.0987136,-0.0316408,All,#4682B4,0
4,4,0.248651,-0.299415,-0.0890919,All,#4682B4,0
5,4,0.274857,-0.0372578,0.112058,All,#4682B4,0
6,4,0.132643,-0.0179626,-0.0132891,All,#4682B4,0
7,4,0.191957,-0.0471752,0.00109472,All,#4682B4,0
8,4,0.159972,0.0216967,-0.0843312,All,#4682B4,0
9,4,0.112456,-0.142782,-0.0455334,All,#4682B4,0
0,5,-0.0793387,-0.0325293,-0.146497,All,#4682B4,0
1,5,-0.0123557,-0.0267479,-0.0798235,All,#4682B4,0
2,5,-0.0273266,-0.0885732,-0.02351,All,#4682B4,0
3,5,-0.0569514,0.149037,-0.0448666,All,#4682B4,0
4,5,-0.0438447,0.0149223,-0.0398659,All,#4682B4,0
5,5,-0.0404523,0.085778,-0.105544,All,#4682B4,0
6,5,-0.073388,0.0323184,-0.103297,All,#4682B4,0
7,5,-0.0972075,-0.100126,-0.0741028,All,#4682B4,0
8,5,-0.145419,0.0141512,-0.0512213,All,#4682B4,0
9,5,-0.169403,-0.0270074,-0.118919,All,#4682B4,0
0,6,-0.0200171,0.177348,0.163497,All,#4682B4,0
