Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression,V_vs_fi_abscissa,V_vs_fi_spline,V_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_V_abscissa,fi_vs_V_spline,fi_vs_V_regression
-0.452112,-0.425521,-0.361076,-0.623092,-0.548232,-0.360336,-0.687374,-0.243728,-0.215629,-0.623092,-0.313994,-0.303728,-0.687374,-0.442231,-0.233454,-0.452112,-0.375866,-0.325191
-0.443613,-0.453655,-0.354366,-0.613412,-0.542066,-0.354675,-0.676803,-0.253236,-0.212166,-0.613412,-0.315095,-0.298844,-0.676803,-0.43827,-0.229874,-0.443613,-0.383891,-0.319207
-0.435114,-0.476105,-0.347656,-0.603733,-0.535901,-0.349014,-0.666233,-0.262744,-0.208702,-0.603733,-0.316196,-0.293961,-0.666233,-0.434309,-0.226293,-0.435114,-0.390207,-0.313223
-0.426614,-0.496741,-0.340946,-0.594053,-0.529735,-0.343352,-0.655663,-0.272252,-0.205239,-0.594053,-0.317296,-0.289077,-0.655663,-0.430347,-0.222712,-0.426614,-0.395938,-0.307238
-0.418115,-0.497053,-0.334236,-0.584374,-0.52357,-0.337691,-0.645093,-0.279808,-0.201775,-0.584374,-0.318397,-0.284194,-0.645093,-0.424554,-0.219132,-0.418115,-0.395125,-0.301254
-0.409616,-0.497365,-0.327526,-0.574694,-0.517404,-0.33203,-0.634523,-0.282897,-0.198311,-0.574694,-0.319498,-0.27931,-0.634523,-0.414584,-0.215551,-0.409616,-0.394311,-0.29527
-0.401117,-0.497677,-0.320816,-0.565015,-0.511239,-0.326369,-0.623952,-0.283783,-0.194848,-0.565015,-0.320598,-0.274426,-0.623952,-0.402626,-0.21197,-0.401117,-0.393498,-0.289286
-0.392618,-0.497989,-0.314105,-0.555335,-0.505074,-0.320708,-0.613382,-0.280677,-0.191384,-0.555335,-0.321699,-0.269543,-0.613382,-0.387262,-0.208389,-0.392618,-0.392684,-0.283302
-0.384118,-0.498301,-0.307395,-0.545656,-0.496546,-0.315047,-0.602812,-0.276747,-0.18792,-0.545656,-0.320204,-0.264659,-0.602812,-0.371195,-0.204809,-0.384118,-0.39187,-0.277318
-0.375619,-0.498613,-0.300685,-0.535976,-0.48741,-0.309386,-0.592242,-0.272817,-0.184457,-0.535976,-0.31804,-0.259775,-0.592242,-0.355127,-0.201228,-0.375619,-0.391057,-0.271334
-0.36712,-0.498926,-0.293975,-0.526297,-0.47692,-0.303724,-0.581672,-0.268886,-0.180993,-0.526297,-0.314332,-0.254892,-0.581672,-0.33906,-0.197647,-0.36712,-0.390243,-0.265349
-0.358621,-0.496566,-0.287265,-0.516617,-0.465528,-0.298063,-0.571101,-0.259874,-0.17753,-0.516617,-0.309591,-0.250008,-0.571101,-0.319176,-0.194067,-0.358621,-0.388479,-0.259365
-0.350122,-0.481048,-0.280555,-0.506938,-0.454136,-0.292402,-0.560531,-0.250736,-0.174066,-0.506938,-0.304849,-0.245125,-0.560531,-0.299197,-0.190486,-0.350122,-0.381958,-0.253381
-0.341622,-0.463693,-0.273845,-0.497258,-0.442743,-0.286741,-0.549961,-0.241598,-0.170602,-0.497258,-0.300108,-0.240241,-0.549961,-0.279218,-0.186905,-0.341622,-0.374649,-0.247397
-0.333123,-0.443922,-0.267135,-0.487579,-0.431351,-0.28108,-0.539391,-0.231331,-0.167139,-0.487579,-0.295366,-0.235357,-0.539391,-0.258576,-0.183325,-0.333123,-0.366209,-0.241413
-0.324624,-0.420731,-0.260425,-0.477899,-0.419959,-0.275419,-0.528821,-0.219497,-0.163675,-0.477899,-0.290624,-0.230474,-0.528821,-0.237125,-0.179744,-0.324624,-0.355995,-0.235429
-0.316125,-0.39754,-0.253715,-0.46822,-0.408566,-0.269758,-0.51825,-0.206972,-0.160212,-0.46822,-0.285883,-0.22559,-0.51825,-0.215497,-0.176163,-0.316125,-0.345781,-0.229444
-0.307626,-0.374349,-0.247005,-0.45854,-0.396021,-0.264097,-0.50768,-0.193615,-0.156748,-0.45854,-0.279771,-0.220707,-0.50768,-0.194046,-0.172582,-0.307626,-0.335567,-0.22346
-0.299126,-0.351063,-0.240295,-0.448861,-0.382921,-0.258435,-0.49711,-0.180258,-0.153284,-0.448861,-0.272988,-0.215823,-0.49711,-0.172595,-0.169002,-0.299126,-0.325249,-0.217476
-0.290627,-0.325055,-0.233585,-0.439181,-0.36945,-0.252774,-0.48654,-0.166785,-0.149821,-0.439181,-0.26573,-0.210939,-0.48654,-0.151306,-0.165421,-0.290627,-0.311982,-0.211492
-0.282128,-0.299048,-0.226875,-0.429502,-0.355776,-0.247113,-0.47597,-0.153097,-0.146357,-0.429502,-0.258208,-0.206056,-0.47597,-0.131337,-0.16184,-0.282128,-0.298715,-0.205508
-0.273629,-0.27304,-0.220164,-0.419822,-0.341893,-0.241452,-0.465399,-0.139429,-0.142893,-0.419822,-0.250384,-0.201172,-0.465399,-0.111641,-0.15826,-0.273629,-0.285448,-0.199524
-0.26513,-0.247033,-0.213454,-0.410143,-0.327627,-0.235791,-0.454829,-0.12576,-0.13943,-0.410143,-0.24201,-0.196288,-0.454829,-0.0919446,-0.154679,-0.26513,-0.272181,-0.19354
-0.25663,-0.221026,-0.206744,-0.400463,-0.313361,-0.23013,-0.444259,-0.112614,-0.135966,-0.400463,-0.233636,-0.191405,-0.444259,-0.074057,-0.151098,-0.25663,-0.258914,-0.187555
-0.248131,-0.195532,-0.200034,-0.390784,-0.299095,-0.224469,-0.433689,-0.10003,-0.132503,-0.390784,-0.225262,-0.186521,-0.433689,-0.057556,-0.147518,-0.248131,-0.245101,-0.181571
-0.239632,-0.171408,-0.193324,-0.381104,-0.284828,-0.218807,-0.423118,-0.0878351,-0.129039,-0.381104,-0.216887,-0.181638,-0.423118,-0.0419548,-0.143937,-0.239632,-0.230355,-0.175587
-0.231133,-0.151611,-0.186614,-0.371424,-0.270249,-0.213146,-0.412548,-0.0764795,-0.125575,-0.371424,-0.207909,-0.176754,-0.412548,-0.0280577,-0.140356,-0.231133,-0.215145,-0.169603
-0.222634,-0.132069,-0.179904,-0.361745,-0.255653,-0.207485,-0.401978,-0.0664954,-0.122112,-0.361745,-0.198899,-0.17187,-0.401978,-0.0167807,-0.136776,-0.222634,-0.19991,-0.163619
-0.214134,-0.112527,-0.173194,-0.352065,-0.241057,-0.201824,-0.391408,-0.0565113,-0.118648,-0.352065,-0.189889,-0.166987,-0.391408,-0.00550367,-0.133195,-0.214134,-0.184675,-0.157635
-0.205635,-0.0929851,-0.166484,-0.342386,-0.226492,-0.196163,-0.380838,-0.0480273,-0.115184,-0.342386,-0.180663,-0.162103,-0.380838,0.003007,-0.129614,-0.205635,-0.16944,-0.15165
-0.197136,-0.0754739,-0.159774,-0.332706,-0.211929,-0.190502,-0.370267,-0.0417559,-0.111721,-0.332706,-0.171429,-0.157219,-0.370267,0.00805969,-0.126033,-0.197136,-0.154161,-0.145666
-0.188637,-0.0639803,-0.153064,-0.323027,-0.197366,-0.184841,-0.359697,-0.0387116,-0.108257,-0.323027,-0.162195,-0.152336,-0.359697,0.00808737,-0.122453,-0.188637,-0.138871,-0.139682
