iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1813.89,1,1,1,1,1,1,1,1,1,1,1
2,1710.83,1,4.55553,4.70195,1.7971,2.82646,0.974679,1.42329,0.974679,1.10118,1.00426,0.974679
3,1638.8,1,6.32128,11.4024,2.01489,4.7194,0.95,1.40456,0.95,1.21319,0.978829,0.95
4,1564.29,1,7.80472,26.9058,2.45773,7.3601,0.925945,1.37926,0.925945,1.18247,0.954044,0.925945
5,1540.58,1,8.84968,56.8843,2.13811,7.93865,0.9025,1.34433,0.9025,1.19828,0.929887,0.9025
6,1517.25,1,9.26156,80.7001,1.88027,8.36206,0.879648,1.31029,0.939726,1.1963,0.906342,0.879648
7,1510.62,1,9.81474,103.496,1.95579,9.49798,0.857375,1.27712,0.952042,1.22857,0.883393,0.857375
8,1496.72,1,9.89202,92.248,1.93541,9.76867,0.835666,1.24478,0.927936,1.33813,0.861025,0.835666
9,1498.7,1,10.2742,93.9981,1.67886,9.80451,0.814506,1.21326,1.04543,1.4534,0.839223,0.814506
10,1483.45,1,9.7995,84.9913,1.74519,9.73611,0.793882,1.18254,1.01896,1.58221,0.817974,0.793882
11,1474,1,10.403,86.4264,1.57711,7.38302,0.773781,1.1526,1.01659,1.54215,0.797262,0.773781
12,1457.43,1,10.4402,91.3764,1.78733,7.74281,0.754188,1.12341,0.990846,1.5031,0.777075,0.754188
13,1454.92,1,10.2269,78.2804,2.96212,9.66472,0.735092,1.09497,0.991237,1.70741,0.757399,0.735092
14,1447.81,1,10.2733,76.8702,2.58832,10.3727,0.716479,1.06724,1.10305,1.66418,0.738221,0.716479
15,1434.45,1,10.1521,73.7603,2.95707,11.3267,0.698337,1.04022,1.12401,1.62204,0.719529,0.698337
16,1426.36,1,10.4113,85.7234,3.66112,10.8953,0.680655,1.01388,1.15357,1.58097,0.70131,0.680655
17,1423.59,1,9.76624,78.7656,3.58003,13.7894,0.66342,0.988208,1.14225,1.54094,0.683552,0.66342
18,1418.73,1,10.2164,75.6353,4.0736,11.3261,0.646622,0.963186,1.1388,1.84287,0.666245,0.646622
19,1403.2,1,9.92735,70.3566,4.72373,14.7799,0.630249,0.938798,1.17815,1.79621,0.649375,0.630249
