Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.49746,0.205107,13.3463,0.0383216,2.41304,0.143458,All
2.87473,0,15.7694,0.0351281,4.89428,0.146576,All
3.252,0.184596,18.1925,0.0510954,7.37551,0.0748476,All
3.62927,0.0205107,20.6156,0.0542889,9.85675,0.0311865,All
4.00655,0,23.0387,0.114965,12.338,0.0155932,All
4.38382,0.164085,25.4618,0.0989974,14.8192,0.00311865,All
4.76109,0.389703,27.8849,0.0319346,17.3004,0.00935595,All
5.13836,0.389703,30.308,0.0127739,19.7817,0.00311865,All
5.51563,0.225617,32.7311,0,22.2629,0,All
5.8929,0.389703,35.1542,0.00319346,24.7441,0,All
6.27017,0.59481,37.5773,0.00319346,27.2254,0.00311865,All
6.64745,0.30766,40.0004,0.00319346,29.7066,0.0062373,All
