Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
2.58771,0.175161,14.9955,0.0763741,1.63423,0.198604,11.0934,0.0303117,All
2.75687,0.218952,15.7133,0.103208,2.0072,0,12.4619,0.0238163,All
2.92602,0.0437904,16.431,0.0454116,2.38018,0,13.8304,0.0108256,All
3.09518,0,17.1487,0.0577966,2.75315,0.0158883,15.1989,0.0313943,All
3.26434,0.0788227,17.8664,0.0536683,3.12612,0.158883,16.5674,0.0292291,All
3.43349,0.253984,18.5841,0.02477,3.4991,0.285989,17.9359,0.0454676,All
3.60265,0.105097,19.3018,0.0165133,3.87207,0.214492,19.3044,0.0454676,All
3.7718,0,20.0195,0.0516041,4.24505,0.107246,20.6729,0.0400547,All
3.94096,0,20.7373,0.0227058,4.61802,0.214492,22.0414,0.0638711,All
4.11012,0,21.455,0.0474758,4.991,0.242296,23.4098,0.054128,All
4.27927,0.00875807,22.1727,0.0619249,5.36397,0.293933,24.7783,0.054128,All
4.44843,0.0963388,22.8904,0.115593,5.73695,0.13505,26.1468,0.0497978,All
4.61758,0.324049,23.6081,0.109401,6.10992,0.174771,27.5153,0.0378896,All
4.78674,0.551759,24.3258,0.191967,6.48289,0.111218,28.8838,0.0303117,All
4.9559,0.464178,25.0436,0.115593,6.85587,0.123134,30.2523,0.0335594,All
5.12505,0.472936,25.7613,0.136235,7.22884,0.142995,31.6208,0.0378896,All
5.29421,0.192678,26.479,0.0412833,7.60182,0.0953297,32.9893,0.0357245,All
5.46336,0.0613065,27.1967,0.0268341,7.97479,0.0158883,34.3578,0.0205687,All
5.63252,0.201436,27.9144,0.0309625,8.34777,0.0119162,35.7263,0.00974305,All
5.80168,0.0613065,28.6321,0.00206416,8.72074,0.0317766,37.0948,0.0054128,All
5.97083,0.481694,29.3498,0.00825665,9.09372,0,38.4633,0.00866049,All
6.13999,0.840775,30.0676,0.00206416,9.46669,0.0158883,39.8318,0.00324768,All
6.30915,0.394113,30.7853,0,9.83966,0.0436928,41.2003,0.0108256,All
6.4783,0.796985,31.503,0,10.2126,0.0476649,42.5688,0.027064,All
6.64746,0.289016,32.2207,0,10.5856,0,43.9373,0.0054128,All
6.81661,0,32.9384,0.0268341,10.9586,0.0516369,45.3058,0,All
6.98577,0.0175161,33.6561,0.0763741,11.3316,0.0476649,46.6743,0.0129907,All
