parameter,value,se_sa,rse_sa
Cl_pop,10.207182783266,0.72161522316793,7.06968062089539
V1_pop,43.8513106674805,5.77480978160864,13.1690699632637
Q_pop,10.0354765115249,3.76945466452129,37.561292283355
V2_pop,51.2848563046516,37.6318690785632,73.3781310705357
omega_Cl,0.26053288811581,0.0520022900558634,19.9599714385187
omega_V1,0.0557811974851041,0.0535891231499584,96.0702271841134
omega_Q,0.943094749561164,0.334170915211418,35.4334403162474
omega_V2,0.129786763506309,0.207271344483209,159.701450967404
a,2.22044604925031e-16,0.374813377304566,1.68800938636232e+17
b,0.0938136367903104,0.0244419552083481,26.0537338116207
