iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,2024.18,1,5.18207,2.88311,10.5064,22.7517,3,3,0,1.5,1.5,1.5,1.5
2,2000.23,1,3.55772,4.06728,12.2678,33.5693,2.92404,2.92404,0,1.46202,1.53099,1.55944,1.46202
3,1983.97,1,4.16051,5.31825,16.6802,54.0364,2.85,2.85,0,1.425,1.61413,1.51995,1.46511
4,1969.87,1,2.94416,7.84154,22.5006,82.0555,2.77784,2.77784,0,1.38892,1.57326,1.54882,1.42801
5,1962.4,1,3.01762,7.89118,34.1148,91.472,2.7075,2.7075,0,1.35375,1.53342,1.5096,1.39186
6,1958.21,1,3.36459,6.54358,37.354,98.8519,2.63894,2.63894,0,1.31947,1.53399,1.64855,1.35661
7,1938.9,1,2.96984,6.76362,50.1716,123.903,2.57212,2.57212,0,1.28606,1.49515,1.60681,1.32226
8,1927.16,1,2.59486,6.91989,57.2073,125.687,2.507,2.507,0,1.2535,1.45729,1.56612,1.40764
9,1931.39,1,2.59171,6.15418,64.7316,125.697,2.44352,2.44352,0,1.22176,1.67885,1.52647,1.372
10,1925.51,1,1.80797,6.96776,55.1366,153.869,2.38165,2.38165,0,1.19082,1.86582,1.48782,1.33726
11,1916.7,1,2.13461,6.46452,76.3573,179.165,2.32134,2.32134,0,1.22384,1.87892,1.45014,1.38268
12,1896.5,1,2.07908,8.32783,63.7878,160.254,2.26257,2.26257,0,1.19285,1.83134,1.41343,1.34767
13,1890.7,1,2.24571,12.9936,49.5961,242.374,2.20528,2.20528,0,1.16265,1.87506,1.37764,1.42887
14,1873.51,1,1.83666,9.99196,59.2609,269.155,2.14944,2.14944,0,1.13321,1.96366,1.34275,1.39269
15,1858.52,1,1.44136,11.7537,52.6267,307.024,2.09501,2.09501,0,1.10452,1.91394,1.30876,1.35743
16,1855.37,1,1.41108,14.3046,52.0232,266.698,2.04197,2.04197,0,1.11073,1.86547,1.27562,1.32306
17,1838.53,1,1.3587,10.1482,45.9862,275.693,1.99026,1.99026,0,1.08261,1.81824,1.24332,1.28956
18,1837.92,1,1.49832,12.9089,40.9903,268.704,1.93987,1.93987,0,1.0552,1.7722,1.23106,1.26217
19,1806.58,1,1.76048,13.2219,42.0834,277.832,1.89075,1.89075,0,1.02848,1.72733,1.19989,1.23022
20,1802.53,1,1.88421,11.5958,35.8761,251.125,1.84287,1.84287,0,1.00244,1.68359,1.16951,1.19907
21,1799.35,1,1.91007,15.0409,38.0769,218.71,1.79621,1.79621,0,0.977053,1.64096,1.1399,1.1687
22,1770.15,1,2.24566,13.3947,29.5191,242.328,1.75073,1.75073,0,0.952314,1.59941,1.11103,1.13911
