standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4.92844,0.00714286,-4,0,-4,0,-4,0,All
-4.2182,0.0142857,-2.89853,0.00714286,-3.3254,0.00714286,-3.54258,0.00714286,All
-3.34141,0.0214286,-2.69388,0.0142857,-3.21309,0.0142857,-2.35402,0.0142857,All
-3.12927,0.0285714,-2.22199,0.0214286,-2.89886,0.0214286,-2.13908,0.0214286,All
-3.10216,0.0357143,-2.16405,0.0285714,-2.57344,0.0285714,-2.12282,0.0285714,All
-3.09478,0.0428571,-2.09683,0.0357143,-2.29768,0.0357143,-1.98517,0.0357143,All
-2.85279,0.05,-1.98998,0.0428571,-2.05582,0.0428571,-1.78252,0.0428571,All
-2.82244,0.0571429,-1.89129,0.05,-1.99085,0.05,-1.76961,0.05,All
-2.72278,0.0642857,-1.8008,0.0571429,-1.82275,0.0571429,-1.73478,0.0571429,All
-2.68769,0.0714286,-1.79218,0.0642857,-1.71241,0.0642857,-1.70352,0.0642857,All
-2.35687,0.0785714,-1.53211,0.0714286,-1.69177,0.0714286,-1.68319,0.0714286,All
-2.30071,0.0857143,-1.45904,0.0785714,-1.68953,0.0785714,-1.46929,0.0785714,All
-2.29185,0.0928571,-1.44623,0.0857143,-1.52521,0.0857143,-1.45285,0.0857143,All
-2.28063,0.1,-1.42403,0.0928571,-1.4704,0.0928571,-1.33518,0.0928571,All
-2.15139,0.107143,-1.35744,0.1,-1.46473,0.1,-1.23604,0.1,All
-1.99226,0.114286,-1.35586,0.107143,-1.44411,0.107143,-1.22458,0.107143,All
-1.95339,0.121429,-1.31537,0.114286,-1.40869,0.114286,-1.19762,0.114286,All
-1.9109,0.128571,-1.30158,0.121429,-1.30837,0.121429,-1.17,0.121429,All
-1.79905,0.135714,-1.27717,0.128571,-1.29651,0.128571,-1.00947,0.128571,All
-1.79146,0.142857,-1.22885,0.135714,-1.26643,0.135714,-0.978617,0.135714,All
-1.7799,0.15,-1.07051,0.142857,-1.26558,0.142857,-0.935335,0.142857,All
-1.77027,0.157143,-1.05356,0.15,-1.24596,0.15,-0.890996,0.15,All
-1.72169,0.164286,-1.05176,0.157143,-1.22249,0.157143,-0.863466,0.157143,All
-1.6889,0.171429,-1.03142,0.164286,-1.15066,0.164286,-0.812583,0.164286,All
-1.61331,0.178571,-1.02611,0.171429,-1.1425,0.171429,-0.770821,0.171429,All
-1.56684,0.185714,-1.02216,0.178571,-1.10839,0.178571,-0.761669,0.178571,All
-1.54665,0.192857,-1.00314,0.185714,-1.08356,0.185714,-0.734675,0.185714,All
-1.35608,0.2,-0.955467,0.192857,-1.07134,0.192857,-0.71381,0.192857,All
-1.31488,0.207143,-0.879504,0.2,-1.0675,0.2,-0.709103,0.2,All
-1.26823,0.214286,-0.854492,0.207143,-1.06735,0.207143,-0.707023,0.207143,All
-1.16982,0.221429,-0.841846,0.214286,-1.04913,0.214286,-0.664671,0.214286,All
-1.16859,0.228571,-0.841226,0.221429,-1.03852,0.221429,-0.634705,0.221429,All
-1.16101,0.235714,-0.747643,0.228571,-1.01012,0.228571,-0.620421,0.228571,All
-1.13494,0.242857,-0.714007,0.235714,-0.962369,0.235714,-0.580174,0.235714,All
-1.12048,0.25,-0.681064,0.242857,-0.957104,0.242857,-0.548182,0.242857,All
-1.05645,0.257143,-0.673708,0.25,-0.94839,0.25,-0.536368,0.25,All
-1.05405,0.264286,-0.650838,0.257143,-0.916422,0.257143,-0.520051,0.257143,All
-1.04596,0.271429,-0.639899,0.264286,-0.910186,0.264286,-0.516337,0.264286,All
-1.04219,0.278571,-0.626553,0.271429,-0.894245,0.271429,-0.497239,0.271429,All
-1.03341,0.285714,-0.618257,0.278571,-0.854311,0.278571,-0.482225,0.278571,All
-1.03055,0.292857,-0.541797,0.285714,-0.827551,0.285714,-0.479091,0.285714,All
-1.01136,0.3,-0.541375,0.292857,-0.822138,0.292857,-0.460359,0.292857,All
-0.975367,0.307143,-0.520642,0.3,-0.809865,0.3,-0.441769,0.3,All
-0.910434,0.314286,-0.457469,0.307143,-0.798325,0.307143,-0.421875,0.307143,All
-0.882014,0.321429,-0.447047,0.314286,-0.798183,0.314286,-0.400179,0.314286,All
-0.804822,0.328571,-0.42176,0.321429,-0.756054,0.321429,-0.371427,0.321429,All
-0.790905,0.335714,-0.421043,0.328571,-0.717019,0.328571,-0.369803,0.328571,All
-0.777493,0.342857,-0.418314,0.335714,-0.687605,0.335714,-0.343654,0.335714,All
-0.756159,0.35,-0.418101,0.342857,-0.671097,0.342857,-0.306557,0.342857,All
-0.747737,0.357143,-0.381221,0.35,-0.668182,0.35,-0.281694,0.35,All
-0.735755,0.364286,-0.366853,0.357143,-0.654069,0.357143,-0.240127,0.357143,All
-0.662525,0.371429,-0.334258,0.364286,-0.644547,0.364286,-0.238869,0.364286,All
-0.647125,0.378571,-0.333545,0.371429,-0.598488,0.371429,-0.218238,0.371429,All
-0.63789,0.385714,-0.316864,0.378571,-0.591077,0.378571,-0.206223,0.378571,All
-0.605422,0.392857,-0.282573,0.385714,-0.562012,0.385714,-0.204405,0.385714,All
-0.586919,0.4,-0.282413,0.392857,-0.556978,0.392857,-0.19635,0.392857,All
-0.569008,0.407143,-0.269908,0.4,-0.546107,0.4,-0.185638,0.4,All
-0.559387,0.414286,-0.268668,0.407143,-0.535416,0.407143,-0.178091,0.407143,All
-0.496086,0.421429,-0.248472,0.414286,-0.533815,0.414286,-0.158071,0.414286,All
-0.49077,0.428571,-0.220627,0.421429,-0.528938,0.421429,-0.147268,0.421429,All
-0.461349,0.435714,-0.194012,0.428571,-0.505432,0.428571,-0.136766,0.428571,All
-0.445369,0.442857,-0.176341,0.435714,-0.495512,0.435714,-0.115863,0.435714,All
-0.374248,0.45,-0.103272,0.442857,-0.491725,0.442857,-0.115248,0.442857,All
-0.319567,0.457143,-0.0781667,0.45,-0.489173,0.45,-0.100644,0.45,All
