iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.24147,0.0446528,21.8266,0.131014,5.58301,0.385335
2,5.23716,0.0400916,21.9124,0.109811,5.59414,0.321528
3,5.23876,0.0369919,21.8611,0.104992,5.63873,0.296175
4,5.23987,0.0362632,21.7953,0.101296,5.72517,0.28775
5,5.24411,0.0357675,21.6824,0.101451,5.77756,0.286202
6,5.24874,0.0353901,21.6511,0.0996376,5.80868,0.279351
7,5.24691,0.0348079,21.5871,0.0989454,5.83352,0.277889
8,5.24622,0.0351,21.5262,0.0983934,5.85792,0.278482
9,5.24867,0.0354132,21.5641,0.0981106,5.83567,0.28044
10,5.24906,0.0358141,21.5687,0.0972432,5.79865,0.27907
11,5.24894,0.0356949,21.5482,0.0979229,5.77402,0.278847
12,5.24896,0.0354753,21.5297,0.0969918,5.794,0.279478
13,5.25027,0.0351256,21.522,0.0967185,5.8143,0.276681
14,5.25038,0.0344312,21.506,0.0965834,5.82333,0.272723
15,5.25059,0.0339234,21.4891,0.097625,5.84711,0.271174
16,5.25199,0.0335979,21.4796,0.0979024,5.8701,0.271902
17,5.25135,0.0332276,21.4784,0.0989854,5.86719,0.271653
18,5.25132,0.0330432,21.4842,0.0988222,5.84163,0.272
19,5.25165,0.0329865,21.501,0.0987789,5.82975,0.273817
20,5.25159,0.0328298,21.5128,0.0983518,5.81962,0.273785
21,5.25144,0.0326109,21.5407,0.0984712,5.79464,0.273458
22,5.25129,0.0323578,21.5412,0.0982655,5.78425,0.27199
23,5.25133,0.0322514,21.5397,0.0981381,5.77504,0.271135
24,5.25169,0.0322464,21.5511,0.0982804,5.76896,0.270934
25,5.25209,0.0322913,21.5475,0.0979375,5.77274,0.2715
26,5.25312,0.0322144,21.5532,0.0981676,5.78064,0.272611
27,5.25398,0.0322057,21.5582,0.098579,5.78926,0.273578
28,5.2543,0.0322932,21.5696,0.0990861,5.80209,0.273706
29,5.25511,0.0322888,21.5614,0.0997303,5.8145,0.274658
30,5.2548,0.0322045,21.5529,0.100205,5.82232,0.275756
31,5.25512,0.0323365,21.542,0.0998632,5.8295,0.275534
32,5.25483,0.0323804,21.5246,0.0999875,5.84553,0.276648
33,5.25491,0.0324102,21.5209,0.0998544,5.85394,0.277155
34,5.25396,0.0323166,21.5242,0.0994374,5.85452,0.276902
35,5.25362,0.0322659,21.5243,0.099206,5.85369,0.276604
36,5.25261,0.0322043,21.5223,0.0990052,5.84974,0.276638
37,5.25208,0.0321978,21.5226,0.0990919,5.84138,0.276379
38,5.25185,0.0321906,21.5325,0.0993899,5.83098,0.276013
39,5.25226,0.0321916,21.5481,0.0994988,5.82931,0.275539
40,5.25256,0.0321151,21.5558,0.0989917,5.83239,0.274626
41,5.25308,0.0322531,21.5665,0.0989989,5.83935,0.2754
42,5.25343,0.0323635,21.5721,0.0994016,5.83914,0.277144
43,5.25338,0.0324759,21.5916,0.0993063,5.8321,0.278383
44,5.25407,0.0324791,21.6,0.0994361,5.8368,0.279511
45,5.25457,0.0326253,21.6059,0.0997943,5.84301,0.280193
46,5.2545,0.0328119,21.6086,0.0999221,5.84963,0.280886
47,5.25403,0.0329336,21.6011,0.0998943,5.84879,0.281158
48,5.25335,0.032946,21.5894,0.100135,5.84364,0.280564
49,5.25337,0.0329924,21.5771,0.100209,5.84927,0.280302
50,5.25317,0.0329055,21.574,0.0998733,5.8519,0.279785
51,5.25312,0.0328517,21.5689,0.0997882,5.85654,0.27997
52,5.25346,0.0328688,21.5658,0.0998827,5.86976,0.28057
53,5.25301,0.0328631,21.5652,0.100013,5.88047,0.280845
54,5.25271,0.0328063,21.5627,0.0999715,5.89035,0.281285
55,5.25231,0.0328309,21.5547,0.0997659,5.90041,0.281523
56,5.2526,0.0328435,21.5502,0.0998684,5.91097,0.281623
57,5.2531,0.0328276,21.5489,0.100264,5.92498,0.281534
58,5.25366,0.032785,21.5475,0.100521,5.93092,0.280845
59,5.25443,0.0327655,21.547,0.100515,5.93969,0.2802
60,5.25505,0.0327701,21.5484,0.10032,5.94502,0.280349
61,5.25539,0.0327962,21.5489,0.100173,5.94746,0.280065
62,5.25618,0.0328488,21.5495,0.100246,5.95616,0.28006
63,5.25684,0.0328459,21.5492,0.100533,5.95729,0.279624
64,5.25715,0.0327416,21.5477,0.100783,5.96018,0.279089
65,5.25746,0.0327334,21.5455,0.101095,5.96622,0.278872
66,5.2578,0.0328047,21.5479,0.101032,5.97105,0.278291
67,5.25807,0.0327619,21.5441,0.101428,5.97533,0.278459
68,5.25839,0.0327411,21.5423,0.101366,5.97692,0.278005
69,5.25877,0.0326742,21.5414,0.101321,5.9797,0.277158
70,5.25933,0.0326288,21.544,0.101553,5.97893,0.276731
71,5.25968,0.0325446,21.5487,0.101393,5.97301,0.276414
72,5.25994,0.0325659,21.5514,0.101277,5.9726,0.276617
73,5.25983,0.0325397,21.5512,0.101175,5.97138,0.276278
74,5.25978,0.0324792,21.5527,0.10114,5.97244,0.275824
75,5.2598,0.0324425,21.5529,0.101414,5.973,0.275608
76,5.25965,0.0324298,21.5548,0.101635,5.96835,0.275312
77,5.25972,0.0324019,21.5621,0.101734,5.96458,0.2751
78,5.25979,0.0323895,21.567,0.101787,5.96214,0.275251
79,5.25984,0.03243,21.5674,0.101679,5.96346,0.275638
80,5.26017,0.0324676,21.5708,0.101443,5.966,0.276128
