standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.20174,0.0714286,-2.05326,0.0714286,-1.52098,0.0714286,All
-1.64355,0.142857,-1.56095,0.142857,-1.20685,0.142857,All
-0.704071,0.214286,-0.834102,0.214286,-1.0532,0.214286,All
-0.519462,0.285714,-0.18649,0.285714,-1.04453,0.285714,All
-0.301282,0.357143,-0.162598,0.357143,-0.321925,0.357143,All
-0.0146853,0.428571,0.153472,0.428571,-0.168178,0.428571,All
0.0454117,0.5,0.233871,0.5,-0.0784754,0.5,All
0.138407,0.571429,0.329307,0.571429,0.0665433,0.571429,All
0.359667,0.642857,0.400138,0.642857,0.280322,0.642857,All
0.570436,0.714286,0.456897,0.714286,0.542896,0.714286,All
0.636299,0.785714,0.646761,0.785714,0.645241,0.785714,All
0.935575,0.857143,0.825237,0.857143,0.679007,0.857143,All
1.22168,0.928571,0.825545,0.928571,0.945105,0.928571,All
1.42481,1,1.52482,1,1.54187,1,All
4,1,4,1,4,1,All
