Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
1.64489,0,8.14765,0,1.45888,0.00142857,7.20703,0,-21.1132,0.00142857,All
2.19376,0.00142857,9.35934,0.00142857,1.51109,0.00285714,8.26773,0.00142857,-20.6411,0.00285714,All
2.25201,0.00285714,9.81764,0.00285714,1.51365,0.00428571,8.42592,0.00285714,-20.5182,0.00428571,All
2.28312,0.00428571,10.2882,0.00428571,1.53532,0.00571429,8.52061,0.00428571,-20.3309,0.00571429,All
2.28505,0.00571429,10.3854,0.00571429,1.66634,0.00714286,8.52719,0.00571429,-19.9144,0.00714286,All
2.29101,0.00714286,10.4519,0.00714286,1.68892,0.00857143,8.54883,0.00714286,-19.8147,0.00857143,All
2.34639,0.00857143,10.5527,0.00857143,1.70862,0.01,8.55454,0.00857143,-19.715,0.01,All
2.34955,0.01,10.6443,0.01,1.71105,0.0114286,8.73544,0.01,-19.2678,0.0114286,All
2.37049,0.0114286,10.8045,0.0114286,1.80466,0.0128571,8.74732,0.0114286,-18.9347,0.0128571,All
2.3715,0.0128571,10.8243,0.0128571,1.83326,0.0142857,8.78383,0.0128571,-18.8612,0.0142857,All
2.37969,0.0142857,10.9012,0.0142857,1.86342,0.0157143,8.78383,0.0142857,-18.7154,0.0157143,All
2.39017,0.0157143,10.9107,0.0157143,1.87526,0.0171429,8.84881,0.0157143,-18.5692,0.0171429,All
2.41646,0.0171429,10.9341,0.0171429,1.87578,0.0185714,9.032,0.0171429,-18.4418,0.0185714,All
2.42,0.0185714,10.9689,0.0185714,1.88505,0.02,9.04662,0.0185714,-18.3925,0.02,All
2.42385,0.02,10.9992,0.02,1.90428,0.0214286,9.14848,0.02,-18.3869,0.0214286,All
2.42873,0.0214286,10.9994,0.0214286,1.91163,0.0228571,9.21794,0.0214286,-18.3372,0.0228571,All
2.43203,0.0228571,11.0422,0.0228571,1.9782,0.0242857,9.22151,0.0228571,-18.2687,0.0242857,All
2.43206,0.0242857,11.0533,0.0242857,2.00165,0.0257143,9.22648,0.0242857,-18.2338,0.0257143,All
2.44373,0.0257143,11.1045,0.0257143,2.02111,0.0271429,9.24855,0.0257143,-18.21,0.0271429,All
2.45052,0.0271429,11.1601,0.0271429,2.02898,0.0285714,9.28102,0.0271429,-18.1878,0.0285714,All
2.45833,0.0285714,11.2391,0.0285714,2.03049,0.03,9.29858,0.0285714,-18.042,0.03,All
2.47191,0.03,11.2425,0.03,2.03238,0.0314286,9.34893,0.03,-17.9077,0.0314286,All
