Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
2.28659,0.071818,10.0228,0.00781557,1.82221,0.0693175,9.69698,0.0248771,-20.6136,0.00593144,All
2.47224,0.239393,11.3497,0.0312623,2.54887,0.0672788,12.5555,0.0139934,-19.6146,0.00593144,All
2.6579,0.0797978,12.6766,0.0189807,3.27553,0.089705,15.414,0.017103,-18.6155,0.0177943,All
2.84355,0.00797978,14.0034,0.00558255,4.0022,0.0998988,18.2725,0.0243588,-17.6164,0.0237258,All
3.0292,0,15.3303,0.0200972,4.72886,0.154945,21.131,0.0409435,-16.6173,0.0133458,All
3.21486,0.00797978,16.6572,0.0267962,5.45552,0.165139,23.9895,0.0414618,-15.6183,0.00593144,All
3.40051,0.119697,17.9841,0.0368448,6.18218,0.128441,26.848,0.0466445,-14.6192,0,All
3.58617,0.215454,19.311,0.0446604,6.90884,0.106015,29.7065,0.0461262,-13.6201,0.00148286,All
3.77182,0.0558585,20.6379,0.0770392,7.6355,0.124364,32.565,0.0321329,-12.6211,0,All
3.95748,0,21.9648,0.0759227,8.36217,0.112131,35.4235,0.0222857,-11.622,0,All
4.14313,0,23.2916,0.109418,9.08883,0.08155,38.282,0.011402,-10.6229,0,All
4.32879,0.0239393,24.6185,0.0837382,9.81549,0.0550463,41.1405,0.0129568,-9.62386,0,All
4.51444,0.263333,25.9454,0.0937868,10.5422,0.0387363,43.999,0.0093289,-8.62479,0,All
4.70009,0.215454,27.2723,0.0602915,11.2688,0.0448525,46.8575,0.00259136,-7.62572,0,All
4.88575,0.398989,28.5992,0.0256797,11.9955,0.0183488,49.716,0.00310963,-6.62665,0,All
5.0714,0.454847,29.9261,0.0111651,12.7221,0.024465,52.5745,0.00155482,-5.62758,0,All
5.25706,0.391009,31.253,0.00334953,13.4488,0.008155,55.433,0.00155482,-4.62851,0,All
5.44271,0.263333,32.5798,0.00558255,14.1755,0.0183488,58.2915,0.00466445,-3.62944,0.0133458,All
5.62837,0.279292,33.9067,0.00781557,14.9021,0.008155,61.15,0.000518272,-2.63037,0.109732,All
5.81402,0.383029,35.2336,0.00558255,15.6288,0.00203875,64.0085,0.00103654,-1.6313,0.143838,All
5.99968,0.263333,36.5605,0.00334953,16.3554,0.0040775,66.867,0.00155482,-0.632234,0.143838,All
6.18533,0.422928,37.8874,0.00334953,17.0821,0.00203875,69.7255,0.000518272,0.366836,0.109732,All
6.37098,0.430908,39.2143,0.00669906,17.8088,0,72.584,0.00103654,1.36591,0.161632,All
6.55664,0.478787,40.5412,0.00334953,18.5354,0,75.4425,0,2.36497,0.120112,All
6.74229,0.37505,41.8681,0.00781557,19.2621,0.00203875,78.301,0,3.36404,0.0815574,All
6.92795,0.103737,43.1949,0.00334953,19.9888,0,81.1595,0.000518272,4.36311,0.063763,All
7.1136,0.0398989,44.5218,0.00223302,20.7154,0.00203875,84.018,0.000518272,5.36218,0.0163115,All
