Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
6.40338,0.0705605,53.6924,6583.96,15.9708,88665.7,55.8208,0.00802651,All
7.39037,0.0548804,53.6924,39503.8,15.9708,236442,163.796,0.00136164,All
8.37737,0.172481,53.6924,65839.6,15.9708,472884,271.772,0.000358326,All
9.36436,0.101921,53.6924,125095,15.9708,709325,379.748,0.00014333,All
10.3514,0.109761,53.6924,164599,15.9708,620660,487.723,7.16652e-05,All
11.3384,0.109761,53.6924,131679,15.9708,768436,595.699,0,All
12.3253,0.164641,53.6924,144847,15.9708,591105,703.674,0,All
13.3123,0.141121,53.6924,118511,15.9708,325108,811.65,0,All
14.2993,0.0784006,53.6924,65839.6,15.9708,206887,919.625,0,All
15.2863,0.0705605,53.6924,26335.9,15.9708,88665.7,1027.6,0,All
16.2733,0.0156801,53.6924,6583.96,15.9708,0,1135.58,0,All
17.2603,0.00784006,53.6924,26335.9,15.9708,29555.2,1243.55,7.16652e-05,All
