Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
3.60726,0,22.3887,0,3.75586,0,5.13806,0.00714286,All
5.63282,0.00714286,26.5993,0.00714286,4.68701,0.00714286,5.4671,0.0142857,All
5.94976,0.0142857,29.2968,0.0142857,5.38539,0.0142857,5.53673,0.0214286,All
6.14116,0.0214286,29.6681,0.0214286,5.55616,0.0214286,6.5537,0.0285714,All
6.19964,0.0285714,30.3597,0.0285714,5.59931,0.0285714,9.46995,0.0357143,All
6.24678,0.0357143,30.9505,0.0357143,5.67326,0.0357143,10.9883,0.0428571,All
6.41096,0.0428571,31.3158,0.0428571,6.09523,0.0428571,12.5781,0.05,All
6.43655,0.05,34.5717,0.05,6.14444,0.05,12.6837,0.0571429,All
6.56666,0.0571429,34.8726,0.0571429,6.20443,0.0571429,14.8071,0.0642857,All
6.62541,0.0642857,35.7443,0.0642857,6.57483,0.0642857,17.1369,0.0714286,All
6.65881,0.0714286,36.401,0.0714286,6.65968,0.0714286,22.8489,0.0785714,All
6.72103,0.0785714,38.7048,0.0785714,6.81747,0.0785714,22.9924,0.0857143,All
6.72541,0.0857143,42.372,0.0857143,6.84195,0.0857143,23.6145,0.0928571,All
6.7445,0.0928571,43.0426,0.0928571,7.02161,0.0928571,25.5901,0.1,All
6.83158,0.1,44.1904,0.1,7.25613,0.1,25.5945,0.107143,All
6.97894,0.107143,44.198,0.107143,7.45269,0.107143,25.8553,0.114286,All
7.04801,0.114286,44.4388,0.114286,7.46122,0.114286,26.9129,0.121429,All
7.13513,0.121429,44.8666,0.121429,7.49137,0.121429,27.9938,0.128571,All
7.13651,0.128571,44.9727,0.128571,7.85919,0.128571,28.3751,0.135714,All
7.15738,0.135714,45.8686,0.135714,7.91573,0.135714,29.2688,0.142857,All
7.24638,0.142857,46.4603,0.142857,7.93039,0.142857,33.6489,0.15,All
7.63126,0.15,46.6318,0.15,8.07302,0.15,34.5447,0.157143,All
7.72552,0.157143,46.7072,0.157143,8.37356,0.157143,38.3861,0.164286,All
7.73812,0.164286,46.9236,0.164286,8.39928,0.164286,41.9289,0.171429,All
7.81791,0.171429,47.0304,0.171429,8.42907,0.171429,42.3497,0.178571,All
8.03019,0.178571,47.2719,0.178571,8.58833,0.178571,42.8266,0.185714,All
8.03345,0.185714,47.3828,0.185714,8.68561,0.185714,44.2391,0.192857,All
8.06637,0.192857,47.6721,0.192857,8.74521,0.192857,45.827,0.2,All
8.20455,0.2,48.2322,0.2,8.74965,0.2,46.638,0.207143,All
8.2085,0.207143,48.3803,0.207143,8.76755,0.207143,47.3299,0.214286,All
8.21527,0.214286,48.7313,0.214286,8.77762,0.214286,51.9445,0.221429,All
8.26121,0.221429,48.7414,0.221429,8.95458,0.221429,54.922,0.228571,All
8.27957,0.228571,48.8239,0.228571,8.96303,0.228571,56.0596,0.235714,All
8.29017,0.235714,49.0678,0.235714,8.996,0.235714,56.1346,0.242857,All
8.29252,0.242857,49.9056,0.242857,9.06588,0.242857,58.4323,0.25,All
8.29609,0.25,50.3373,0.25,9.20052,0.25,59.0597,0.257143,All
8.30781,0.257143,50.537,0.257143,9.27584,0.257143,59.095,0.264286,All
8.36016,0.264286,51.0527,0.264286,9.27713,0.264286,61.8734,0.271429,All
8.36718,0.271429,51.0706,0.271429,9.29301,0.271429,62.7519,0.278571,All
8.38211,0.278571,51.4029,0.278571,9.40494,0.278571,63.0673,0.285714,All
8.39622,0.285714,51.4676,0.285714,9.43102,0.285714,64.3451,0.292857,All
8.43895,0.292857,51.6863,0.292857,9.47115,0.292857,65.8637,0.3,All
8.44541,0.3,51.6987,0.3,9.49807,0.3,66.3049,0.307143,All
8.4991,0.307143,51.7302,0.307143,9.73542,0.307143,67.5692,0.314286,All
8.57755,0.314286,51.984,0.314286,9.74122,0.314286,69.2194,0.321429,All
8.58006,0.321429,52.2158,0.321429,9.88651,0.321429,69.4289,0.328571,All
8.58399,0.328571,52.2292,0.328571,9.90377,0.328571,70.0587,0.335714,All
8.60604,0.335714,52.3998,0.335714,9.94434,0.335714,70.3517,0.342857,All
8.62087,0.342857,52.4697,0.342857,9.97319,0.342857,70.9413,0.35,All
8.63369,0.35,52.4989,0.35,9.99796,0.35,73.5509,0.357143,All
8.63792,0.357143,52.6371,0.357143,10.1113,0.357143,74.1669,0.364286,All
8.65352,0.364286,52.6519,0.364286,10.3843,0.364286,75.1066,0.371429,All
8.69006,0.371429,52.7901,0.371429,10.5401,0.371429,75.7443,0.378571,All
8.69131,0.378571,52.9459,0.378571,10.5709,0.378571,77.2467,0.385714,All
8.74776,0.385714,52.9573,0.385714,10.6165,0.385714,78.6266,0.392857,All
8.75858,0.392857,53.1198,0.392857,10.8409,0.392857,79.9288,0.4,All
8.76903,0.4,53.1388,0.4,10.8756,0.4,80.4113,0.407143,All
8.8007,0.407143,53.3116,0.407143,10.9697,0.407143,82.1535,0.414286,All
8.82291,0.414286,53.5185,0.414286,10.9799,0.414286,85.4865,0.421429,All
8.87994,0.421429,53.5984,0.421429,11.0005,0.421429,88.0437,0.428571,All
8.89323,0.428571,53.7854,0.428571,11.0215,0.428571,90.1952,0.435714,All
8.91804,0.435714,53.8245,0.435714,11.0368,0.435714,97.977,0.442857,All
8.97235,0.442857,53.988,0.442857,11.0558,0.442857,104.892,0.45,All
8.98126,0.45,54.1042,0.45,11.0601,0.45,110.238,0.457143,All
9.08176,0.457143,54.3435,0.457143,11.2142,0.457143,113.428,0.464286,All
9.10334,0.464286,54.4403,0.464286,11.2345,0.464286,116.488,0.471429,All
9.12259,0.471429,54.4661,0.471429,11.2959,0.471429,117.049,0.478571,All
9.13208,0.478571,55.2291,0.478571,11.3111,0.478571,121.746,0.485714,All
9.18856,0.485714,55.5273,0.485714,11.3257,0.485714,125.232,0.492857,All
9.20574,0.492857,55.5803,0.492857,11.3324,0.492857,127.999,0.5,All
9.22123,0.5,55.7106,0.5,11.3428,0.5,132.79,0.507143,All
9.25921,0.507143,56.5851,0.507143,11.3471,0.507143,133.836,0.514286,All
9.26161,0.514286,56.8271,0.514286,11.5976,0.514286,135.692,0.521429,All
9.27982,0.521429,57.0515,0.521429,11.8351,0.521429,155.111,0.528571,All
9.28082,0.528571,57.1426,0.528571,11.8514,0.528571,159.483,0.535714,All
9.35286,0.535714,57.8298,0.535714,11.8813,0.535714,160.891,0.542857,All
9.44557,0.542857,57.9598,0.542857,11.9491,0.542857,163.192,0.55,All
9.52627,0.55,57.9981,0.55,11.9696,0.55,163.944,0.557143,All
9.57928,0.557143,58.031,0.557143,11.9892,0.557143,164.596,0.564286,All
9.58441,0.564286,58.2326,0.564286,12.014,0.564286,169.623,0.571429,All
9.61996,0.571429,58.3838,0.571429,12.0833,0.571429,176.336,0.578571,All
9.6554,0.578571,58.617,0.578571,12.1324,0.578571,183.056,0.585714,All
9.68023,0.585714,58.7898,0.585714,12.2487,0.585714,190.239,0.592857,All
9.68247,0.592857,59.1467,0.592857,12.3189,0.592857,191.955,0.6,All
9.6967,0.6,59.6394,0.6,12.3556,0.6,195.43,0.607143,All
9.86149,0.607143,59.6447,0.607143,12.3615,0.607143,198.298,0.614286,All
9.94613,0.614286,59.7602,0.614286,12.3864,0.614286,198.648,0.621429,All
10.0572,0.621429,59.9878,0.621429,12.4384,0.621429,232.183,0.628571,All
10.1106,0.628571,60.0994,0.628571,12.5849,0.628571,248.346,0.635714,All
10.1521,0.635714,60.4273,0.635714,12.6177,0.635714,263.583,0.642857,All
10.1693,0.642857,60.5007,0.642857,12.6462,0.642857,265.577,0.65,All
10.185,0.65,60.6553,0.65,12.7019,0.65,266.887,0.657143,All
