iteration,E_fi,sd_fi,E_V,sd_V,E_Cl,sd_Cl
1,0.91777,0.0952058,55.1217,0.129801,10.2995,0.0878949
2,0.918627,0.0929011,55.2752,0.109247,10.3679,0.0786052
3,0.918966,0.0896933,55.285,0.110082,10.3964,0.0735157
4,0.920784,0.0859483,55.4691,0.109514,10.4107,0.0731728
5,0.921767,0.0858642,55.3084,0.105156,10.4362,0.0742133
6,0.923444,0.0863724,55.4564,0.105207,10.4583,0.0742677
7,0.921614,0.0842551,55.4466,0.103529,10.4412,0.0737387
8,0.921521,0.0844766,55.4736,0.101994,10.4369,0.0735562
9,0.921244,0.0845933,55.5141,0.101189,10.4168,0.073659
10,0.919372,0.084729,55.4497,0.100319,10.3973,0.0737188
11,0.91942,0.0846213,55.4145,0.100614,10.3815,0.073038
12,0.919472,0.086124,55.4996,0.101348,10.3751,0.073894
13,0.919346,0.0867255,55.4309,0.101461,10.3757,0.0746077
14,0.920303,0.0866516,55.4105,0.101325,10.3863,0.074743
15,0.921533,0.0874732,55.4361,0.101379,10.3934,0.0744084
16,0.922627,0.0879482,55.4497,0.101185,10.4042,0.0741161
17,0.92317,0.0880131,55.549,0.100776,10.3978,0.0741794
18,0.92309,0.0881457,55.5634,0.101769,10.3954,0.0734507
19,0.923028,0.0880326,55.5249,0.101109,10.3927,0.0734069
20,0.923352,0.088017,55.4937,0.101021,10.389,0.0733718
21,0.923267,0.0874578,55.5532,0.101073,10.3864,0.0733331
22,0.922845,0.0875102,55.573,0.100646,10.3833,0.0727372
23,0.922552,0.0872974,55.5385,0.100413,10.3836,0.0723831
24,0.922917,0.0873299,55.5758,0.100359,10.3846,0.0723734
25,0.922647,0.0871159,55.5364,0.0997747,10.3878,0.0721482
26,0.923248,0.0873347,55.5455,0.0996163,10.3899,0.0719805
27,0.92371,0.0872674,55.5758,0.0995903,10.3935,0.0719303
28,0.924393,0.08692,55.6197,0.0991119,10.3995,0.0721963
29,0.924427,0.0866209,55.6187,0.0988505,10.3978,0.0719304
30,0.923639,0.0863278,55.5895,0.0983182,10.3906,0.0716873
31,0.923277,0.0866185,55.5572,0.0980043,10.3909,0.071874
32,0.923402,0.0861879,55.5223,0.0981843,10.3891,0.0717189
33,0.923153,0.0865751,55.5232,0.0977839,10.3901,0.0718859
34,0.92319,0.086391,55.5165,0.0973053,10.3914,0.0719518
35,0.923622,0.086764,55.5081,0.0972531,10.3949,0.0722975
36,0.923454,0.0864091,55.5176,0.0972702,10.3986,0.0722923
37,0.923321,0.0865539,55.4939,0.0970516,10.3978,0.0721907
38,0.923658,0.0865426,55.4903,0.0968131,10.3972,0.0722063
39,0.923898,0.0866637,55.5152,0.0970483,10.402,0.0722894
40,0.924102,0.0868822,55.5305,0.0972087,10.4067,0.0723988
41,0.924093,0.0865543,55.5663,0.0972567,10.4068,0.0720801
42,0.924437,0.0863243,55.5561,0.0975573,10.4084,0.0719914
43,0.924316,0.0862292,55.5729,0.0972311,10.4067,0.0720452
44,0.924412,0.0861962,55.5555,0.0970644,10.4089,0.0719345
45,0.924407,0.0861403,55.5675,0.0969994,10.4067,0.0718177
46,0.924034,0.0861933,55.5771,0.0971075,10.406,0.0716667
47,0.923633,0.0859981,55.5492,0.0973918,10.409,0.0717247
48,0.92339,0.0859432,55.5328,0.0975944,10.4088,0.0718438
49,0.923286,0.0860475,55.5062,0.0979676,10.407,0.0717604
50,0.923201,0.085969,55.5093,0.0983522,10.4049,0.0719998
51,0.923192,0.0861024,55.4989,0.0984103,10.4054,0.0718896
52,0.923264,0.0859524,55.4931,0.0983631,10.4061,0.0718403
53,0.923063,0.0859895,55.507,0.098697,10.4051,0.0717225
54,0.923078,0.0859695,55.525,0.0986448,10.403,0.0715951
55,0.922879,0.0860687,55.5036,0.0985123,10.4033,0.0715306
56,0.922717,0.0861325,55.4984,0.0983147,10.4026,0.0715766
57,0.922723,0.0859912,55.5017,0.0984403,10.4052,0.0714781
58,0.922605,0.0858521,55.5021,0.0985518,10.4057,0.0713948
59,0.922756,0.0857819,55.4864,0.0984617,10.4054,0.0712752
60,0.92259,0.0857417,55.4954,0.0981744,10.406,0.0711158
61,0.922631,0.0856343,55.4834,0.0978919,10.4052,0.0712441
62,0.922626,0.0855403,55.4685,0.0976187,10.4052,0.0713528
63,0.922179,0.0855759,55.4471,0.0974726,10.4005,0.0712815
64,0.922101,0.0854692,55.4345,0.0974751,10.3991,0.071132
65,0.921963,0.0854826,55.4269,0.0973928,10.3995,0.0711435
66,0.921735,0.0855079,55.424,0.097615,10.3967,0.0711733
67,0.921543,0.0855313,55.428,0.0976731,10.3951,0.0713552
68,0.921495,0.0853931,55.4347,0.0976799,10.3948,0.0713137
69,0.9212,0.0853325,55.4353,0.0975823,10.3918,0.0712361
70,0.921134,0.0852518,55.4291,0.0976814,10.3926,0.0711389
71,0.920982,0.0851781,55.4074,0.0975943,10.3907,0.0710939
72,0.921085,0.0851045,55.3987,0.0975855,10.3918,0.0711469
73,0.920944,0.085196,55.4054,0.097509,10.391,0.0711185
74,0.920941,0.0850829,55.3977,0.0974421,10.3907,0.0710545
75,0.920954,0.0851489,55.392,0.0974983,10.3905,0.0710461
76,0.920841,0.0851745,55.4062,0.0976437,10.3885,0.0710892
