Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_fi_abscissa,Q_vs_fi_spline,Q_vs_fi_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_fi_abscissa,V1_vs_fi_spline,V1_vs_fi_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_fi_abscissa,V2_vs_fi_spline,V2_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_Q_abscissa,fi_vs_Q_spline,fi_vs_Q_regression,fi_vs_V1_abscissa,fi_vs_V1_spline,fi_vs_V1_regression,fi_vs_V2_abscissa,fi_vs_V2_spline,fi_vs_V2_regression
-3.14747,-0.0824459,-0.118683,-0.256788,-0.157585,-0.18956,-2.43569,0.0453139,0.0698114,-0.674334,-0.473315,-0.310612,-0.825168,-0.0304073,-0.43826,-0.256788,0.556059,-0.137558,-2.43569,0.38873,-0.0397524,-0.674334,-0.337743,-0.641102,-0.825168,-0.0653611,-0.104681,-3.14747,-0.102801,-0.0130313,-2.43569,-0.132742,-0.0913537,-0.674334,-0.128792,-0.0669666,-0.825168,0.771963,0.248784,-3.14747,0.267193,0.13945,-0.256788,0.0043759,-0.285754,-0.674334,-0.422937,0.123512,-0.825168,-0.421152,-0.346759,-3.14747,-0.26928,-0.211716,-0.256788,0.0414087,-0.1291,-2.43569,-0.147298,0.0187994
-3.09732,-0.0775451,-0.11683,-0.251634,-0.182964,-0.185744,-2.39658,0.0534928,0.068616,-0.663668,-0.497302,-0.305766,-0.813763,-0.0722531,-0.433846,-0.251634,0.453362,-0.137224,-2.39658,0.338812,-0.0410279,-0.663668,-0.37322,-0.632813,-0.813763,-0.0673284,-0.103363,-3.09732,-0.0969592,-0.0129829,-2.39658,-0.126557,-0.090087,-0.663668,-0.117096,-0.0660594,-0.813763,0.703533,0.246339,-3.09732,0.256674,0.138354,-0.251634,-0.0305966,-0.278252,-0.663668,-0.311098,0.122712,-0.813763,-0.43378,-0.342007,-3.09732,-0.265196,-0.208304,-0.251634,0.00357952,-0.126525,-2.39658,-0.141601,0.0184158
-3.04717,-0.0726443,-0.114977,-0.246481,-0.208342,-0.181927,-2.35746,0.0616718,0.0674206,-0.653002,-0.52129,-0.30092,-0.802358,-0.114099,-0.429432,-0.246481,0.350665,-0.13689,-2.35746,0.288893,-0.0423033,-0.653002,-0.408696,-0.624524,-0.802358,-0.0692957,-0.102045,-3.04717,-0.091117,-0.0129344,-2.35746,-0.120371,-0.0888203,-0.653002,-0.105399,-0.0651523,-0.802358,0.635104,0.243894,-3.04717,0.246154,0.137259,-0.246481,-0.0655691,-0.270749,-0.653002,-0.199258,0.121912,-0.802358,-0.446409,-0.337255,-3.04717,-0.261111,-0.204891,-0.246481,-0.0342497,-0.123949,-2.35746,-0.135904,0.0180322
-2.99703,-0.0677436,-0.113123,-0.241328,-0.233721,-0.17811,-2.31834,0.0698507,0.0662253,-0.642336,-0.543922,-0.296074,-0.790953,-0.155945,-0.425018,-0.241328,0.247969,-0.136556,-2.31834,0.238975,-0.0435788,-0.642336,-0.442915,-0.616235,-0.790953,-0.0712629,-0.100727,-2.99703,-0.0852748,-0.012886,-2.31834,-0.114186,-0.0875536,-0.642336,-0.0940462,-0.0642451,-0.790953,0.566674,0.241449,-2.99703,0.235634,0.136164,-0.241328,-0.100542,-0.263247,-0.642336,-0.0906363,0.121111,-0.790953,-0.459038,-0.332504,-2.99703,-0.257026,-0.201479,-0.241328,-0.0720789,-0.121373,-2.31834,-0.130207,0.0176486
-2.94688,-0.0628428,-0.11127,-0.236174,-0.2591,-0.174294,-2.27922,0.0780296,0.0650299,-0.63167,-0.554436,-0.291227,-0.779548,-0.19779,-0.420605,-0.236174,0.145272,-0.136222,-2.27922,0.189056,-0.0448543,-0.63167,-0.465874,-0.607946,-0.779548,-0.0732302,-0.0994087,-2.94688,-0.0794325,-0.0128375,-2.27922,-0.108001,-0.086287,-0.63167,-0.0857681,-0.0633379,-0.779548,0.498245,0.239004,-2.94688,0.225115,0.135068,-0.236174,-0.135514,-0.255745,-0.63167,-0.0109922,0.120311,-0.779548,-0.471666,-0.327752,-2.94688,-0.252942,-0.198067,-0.236174,-0.109908,-0.118798,-2.27922,-0.12451,0.0172649
-2.89673,-0.057942,-0.109417,-0.231021,-0.282416,-0.170477,-2.2401,0.0862085,0.0638345,-0.621004,-0.564639,-0.286381,-0.768143,-0.239636,-0.416191,-0.231021,0.0469992,-0.135888,-2.2401,0.139137,-0.0461298,-0.621004,-0.488543,-0.599657,-0.768143,-0.0751975,-0.0980906,-2.89673,-0.0735903,-0.0127891,-2.2401,-0.101816,-0.0850203,-0.621004,-0.077569,-0.0624308,-0.768143,0.429815,0.236559,-2.89673,0.214595,0.133973,-0.231021,-0.168221,-0.248243,-0.621004,0.0679038,0.119511,-0.768143,-0.484295,-0.323,-2.89673,-0.248857,-0.194654,-0.231021,-0.145236,-0.116222,-2.2401,-0.118813,0.0168813
-2.84659,-0.0530412,-0.107564,-0.225868,-0.289339,-0.16666,-2.20099,0.0943874,0.0626391,-0.610338,-0.574486,-0.281535,-0.756738,-0.281482,-0.411777,-0.225868,-0.0160629,-0.135553,-2.20099,0.0892189,-0.0474053,-0.610338,-0.510881,-0.591368,-0.756738,-0.0771647,-0.0967725,-2.84659,-0.0677481,-0.0127406,-2.20099,-0.0956313,-0.0837536,-0.610338,-0.0694606,-0.0615236,-0.756738,0.361386,0.234114,-2.84659,0.204076,0.132878,-0.225868,-0.182937,-0.240741,-0.610338,0.145933,0.118711,-0.756738,-0.496923,-0.318248,-2.84659,-0.244772,-0.191242,-0.225868,-0.160686,-0.113646,-2.20099,-0.113116,0.0164977
-2.79644,-0.0481404,-0.105711,-0.220714,-0.284869,-0.162843,-2.16187,0.102566,0.0614437,-0.599672,-0.575549,-0.276689,-0.745333,-0.322729,-0.407363,-0.220714,-0.052598,-0.135219,-2.16187,0.0393003,-0.0486808,-0.599672,-0.525029,-0.583079,-0.745333,-0.0791158,-0.0954544,-2.79644,-0.0619058,-0.0126922,-2.16187,-0.0894463,-0.0824869,-0.599672,-0.063594,-0.0606165,-0.745333,0.293807,0.231669,-2.79644,0.193556,0.131782,-0.220714,-0.185506,-0.233239,-0.599672,0.202532,0.117911,-0.745333,-0.509028,-0.313496,-2.79644,-0.240688,-0.187829,-0.220714,-0.162296,-0.111071,-2.16187,-0.107419,0.0161141
-2.74629,-0.0432396,-0.103857,-0.215561,-0.278093,-0.159027,-2.12275,0.110745,0.0602484,-0.589006,-0.57415,-0.271843,-0.733928,-0.346874,-0.402949,-0.215561,-0.0836929,-0.134885,-2.12275,-0.0106183,-0.0499563,-0.589006,-0.53687,-0.57479,-0.733928,-0.0805769,-0.0941363,-2.74629,-0.0560636,-0.0126438,-2.12275,-0.0832612,-0.0812202,-0.589006,-0.0583617,-0.0597093,-0.733928,0.250608,0.229224,-2.74629,0.183037,0.130687,-0.215561,-0.185629,-0.225737,-0.589006,0.25292,0.11711,-0.733928,-0.506334,-0.308744,-2.74629,-0.236603,-0.184417,-0.215561,-0.161104,-0.108495,-2.12275,-0.101722,0.0157305
-2.69614,-0.0383389,-0.102004,-0.210408,-0.271317,-0.15521,-2.08363,0.118924,0.059053,-0.57834,-0.564677,-0.266996,-0.722523,-0.369406,-0.398535,-0.210408,-0.114788,-0.134551,-2.08363,-0.0605369,-0.0512318,-0.57834,-0.541141,-0.566501,-0.722523,-0.0819835,-0.0928182,-2.69614,-0.0502214,-0.0125953,-2.08363,-0.0770762,-0.0799535,-0.57834,-0.0552098,-0.0588022,-0.722523,0.209734,0.226779,-2.69614,0.172517,0.129592,-0.210408,-0.185752,-0.218235,-0.57834,0.282935,0.11631,-0.722523,-0.502296,-0.303992,-2.69614,-0.232518,-0.181004,-0.210408,-0.159913,-0.105919,-2.08363,-0.0960248,0.0153468
