Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
3.14322,0.0975814,13.1982,0.0163635,2.02555,0.0581859,12.0375,0.00663404,0.268,632634,All
3.35577,0.209103,15.0995,0.0335062,3.1713,0.0672371,15.3873,0.0243248,0.268,632634,All
3.56832,0.0418206,17.0007,0.0272725,4.31705,0.0530138,18.737,0.0252094,0.268,1.8979e+06,All
3.78087,0.0069701,18.902,0.032727,5.46281,0.0775812,22.0867,0.0225557,0.268,2.53054e+06,All
3.99342,0.0069701,20.8032,0.0280517,6.60856,0.0905114,25.4364,0.034497,0.268,3.16317e+06,All
4.20596,0.153342,22.7045,0.0428567,7.75431,0.1112,28.7862,0.0327279,0.268,4.63932e+06,All
4.41851,0.160312,24.6057,0.0451944,8.90006,0.0801673,32.1359,0.0371506,0.268,9.27864e+06,All
4.63106,0.0139402,26.507,0.0638955,10.0458,0.0762882,35.4856,0.0327279,0.268,1.0333e+07,All
4.84361,0.0069701,28.4083,0.0561034,11.1916,0.0568929,38.8353,0.0314011,0.268,1.13874e+07,All
5.05616,0,30.3095,0.0662332,12.3373,0.0594789,42.1851,0.0159217,0.268,1.30744e+07,All
5.2687,0,32.2108,0.0623371,13.4831,0.0439627,45.5348,0.0123835,0.268,1.49723e+07,All
5.48125,0.0418206,34.112,0.0296101,14.6288,0.0336185,48.8845,0.0137104,0.268,1.47615e+07,All
5.6938,0.188193,36.0133,0.00701292,15.7746,0.0206883,52.2342,0.0057495,0.268,1.60267e+07,All
5.90635,0.181223,37.9145,0.00311685,16.9203,0.0168093,55.584,0.00309589,0.268,1.13874e+07,All
6.1189,0.306685,39.8158,0.00467528,18.0661,0.0181023,58.9337,0.00265362,0.268,9.91127e+06,All
6.33144,0.460027,41.717,0.0054545,19.2118,0.0129302,62.2834,0.00221135,0.268,7.59161e+06,All
6.54399,0.313655,43.6183,0.00779214,20.3576,0.00258604,65.6331,0.00221135,0.268,5.06107e+06,All
6.75654,0.223043,45.5195,0.00233764,21.5033,0.00258604,68.9829,0.00044227,0.268,4.63932e+06,All
6.96909,0.0766711,47.4208,0.00233764,22.6491,0.00775812,72.3326,0.00221135,0.268,3.37405e+06,All
7.18164,0.278804,49.322,0.00311685,23.7948,0.00258604,75.6823,0.00044227,0.268,632634,All
7.39418,0.404266,51.2233,0.00233764,24.9406,0.00129302,79.032,0.00044227,0.268,1.26527e+06,All
7.60673,0.348505,53.1245,0.00155843,26.0863,0.00517208,82.3818,0,0.268,210878,All
7.81928,0.334565,55.0258,0,27.2321,0.00258604,85.7315,0,0.268,0,All
8.03183,0.320625,56.927,0.000779214,28.3779,0.00129302,89.0812,0,0.268,0,All
8.24438,0.411236,58.8283,0,29.5236,0.00129302,92.4309,0,0.268,0,All
8.45692,0.202133,60.7295,0,30.6694,0,95.7807,0,0.268,0,All
8.66947,0.0906113,62.6308,0.000779214,31.8151,0.00129302,99.1304,0.000884539,0.268,210878,All
