Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
2.11861,0,8.94354,0,1.45267,0.00142857,8.60337,0,0.267834,0,All
3.03695,0.00142857,12.2476,0.00142857,1.49723,0.00285714,10.3627,0.00142857,0.268,0.00142857,All
3.11629,0.00285714,12.4232,0.00285714,1.51101,0.00428571,11.9447,0.00285714,0.268,0.00285714,All
3.11749,0.00428571,12.9571,0.00428571,1.61171,0.00571429,12.0511,0.00428571,0.268,0.00428571,All
3.12642,0.00571429,13.1169,0.00571429,1.61187,0.00714286,12.6782,0.00571429,0.268,0.00571429,All
3.19516,0.00714286,13.1495,0.00714286,1.70151,0.00857143,12.6906,0.00714286,0.268,0.00714286,All
3.19568,0.00857143,13.2297,0.00857143,1.78621,0.01,12.8951,0.00857143,0.268,0.00857143,All
3.20336,0.01,13.2795,0.01,1.86603,0.0114286,13.0725,0.01,0.268,0.01,All
3.20754,0.0114286,13.4312,0.0114286,1.90108,0.0128571,13.0741,0.0114286,0.268,0.0114286,All
3.20818,0.0128571,13.5936,0.0128571,1.90183,0.0142857,13.1924,0.0128571,0.268,0.0128571,All
3.21484,0.0142857,13.7232,0.0142857,1.90605,0.0157143,13.4008,0.0142857,0.268,0.0142857,All
3.21503,0.0157143,13.8161,0.0157143,1.9117,0.0171429,13.4384,0.0157143,0.268,0.0157143,All
3.21728,0.0171429,13.8192,0.0171429,1.92166,0.0185714,13.4656,0.0171429,0.268,0.0171429,All
3.23101,0.0185714,13.839,0.0185714,1.95492,0.02,13.5778,0.0185714,0.268,0.0185714,All
3.2413,0.02,13.8929,0.02,1.96085,0.0214286,13.6755,0.02,0.268,0.02,All
3.25253,0.0214286,13.965,0.0214286,1.98177,0.0228571,13.6786,0.0214286,0.268,0.0214286,All
3.25819,0.0228571,14.005,0.0228571,1.98254,0.0242857,13.8893,0.0228571,0.268,0.0228571,All
3.26257,0.0242857,14.0997,0.0242857,2.05549,0.0257143,14.0017,0.0242857,0.268,0.0242857,All
