iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,beta_bias_lcat_2,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2,plcat_1,plcat_2
21,1188.1,1,5.41233,0.611287,22.1386,9.82965,20.9377,-0.832656,0.459755,0.136437,0.191143,0.457983,0.287748,0.521505,0.9,0.537729,0.537729,0.590151,0.409849
22,1164.28,1,5.37588,0.467375,21.7591,11.1059,20.2222,-0.730324,0.445865,0.140966,0.200678,0.425662,0.310915,0.510948,0.9,0.510842,0.510842,0.579444,0.420556
23,1150.98,1,5.36407,0.46241,20.7391,10.8369,18.7211,-0.678118,0.296267,0.157455,0.196676,0.370807,0.304819,0.457053,0.9,0.4853,0.4853,0.541504,0.458496
24,1126.32,1,5.41998,0.512078,21.0242,10.3826,18.8174,-0.674637,0.302383,0.151012,0.180396,0.369951,0.281278,0.420484,0.9,0.461035,0.461035,0.592229,0.407771
25,1096.94,1,5.41927,0.468378,20.4117,10.64,18.3876,-0.587037,0.206276,0.162029,0.160844,0.365095,0.244598,0.374828,0.9,0.437984,0.437984,0.529383,0.470617
26,1079.29,1,5.41243,0.49024,20.8043,11.3014,18.3867,-0.648508,0.243977,0.174863,0.134448,0.381626,0.220949,0.378137,0.9,0.416084,0.416084,0.51537,0.48463
27,1056.71,1,5.3735,0.450444,20.4578,11.4313,17.9374,-0.829071,0.287545,0.175908,0.130312,0.363874,0.203506,0.382998,0.9,0.39528,0.39528,0.50665,0.49335
28,1038.31,1,5.40133,0.49264,20.6551,11.5144,18.2795,-0.806864,0.316929,0.170132,0.12728,0.296658,0.194697,0.414954,0.9,0.375516,0.375516,0.518857,0.481143
29,1019.69,1,5.32262,0.449883,20.6972,10.9192,18.57,-0.727215,0.377156,0.173202,0.129081,0.26303,0.200807,0.378915,0.9,0.35674,0.35674,0.55415,0.44585
30,1005.01,1,5.40027,0.48451,20.6864,10.5831,18.1987,-0.688495,0.331813,0.179285,0.129777,0.264181,0.193382,0.424804,0.9,0.338903,0.338903,0.51345,0.48655
31,982.155,1,5.47981,0.491595,20.8917,10.7686,18.8611,-0.797924,0.402277,0.164183,0.130724,0.250277,0.19977,0.378263,0.9,0.321958,0.321958,0.443731,0.556269
32,972.329,1,5.41898,0.407276,20.8141,11.4181,18.8723,-0.687452,0.276184,0.18104,0.130892,0.290761,0.19094,0.364743,0.9,0.30586,0.30586,0.394547,0.605453
33,971.941,1,5.48476,0.377728,20.9586,10.605,19.0253,-0.761591,0.408109,0.172625,0.142833,0.2888,0.200858,0.421133,0.9,0.290567,0.290567,0.369521,0.630479
34,959.371,1,5.51511,0.452576,21.3677,10.0463,19.9082,-0.979926,0.684494,0.168899,0.123868,0.252662,0.183863,0.455911,0.9,0.276039,0.276039,0.390031,0.609969
35,940.199,1,5.4805,0.448905,21.509,9.65915,20.3866,-0.927054,0.684728,0.17111,0.146868,0.205156,0.22048,0.505042,0.9,0.262237,0.262237,0.348511,0.651489
36,939.015,1,5.42296,0.458375,21.065,9.4312,19.6018,-0.893032,0.638266,0.182837,0.14592,0.232164,0.217413,0.510593,0.9,0.249125,0.249125,0.352563,0.647437
37,926.099,1,5.40151,0.475478,21.5158,9.33096,20.2402,-0.834728,0.58337,0.176406,0.142879,0.25114,0.201914,0.474918,0.9,0.236669,0.236669,0.352938,0.647062
38,916.515,1,5.4367,0.531969,21.234,9.21141,20.1924,-0.904343,0.776879,0.181071,0.150788,0.262079,0.219151,0.536823,0.9,0.224835,0.224835,0.354504,0.645496
39,904.14,1,5.3549,0.517436,21.3881,8.70612,20.1855,-0.868717,0.777642,0.177522,0.154076,0.248407,0.218802,0.692391,0.9,0.213594,0.213594,0.381428,0.618572
40,891.599,1,5.33724,0.461686,21.4779,8.3165,20.4839,-0.91518,0.793281,0.176741,0.159397,0.238411,0.223068,0.92253,0.9,0.202914,0.202914,0.450423,0.549577
41,885.258,1,5.33178,0.518387,21.557,8.54159,20.4117,-1.25386,1.25617,0.174719,0.165589,0.239099,0.237537,0.905545,0.9,0.192768,0.192768,0.431377,0.568623
42,877.879,1,5.38068,0.462212,21.4406,8.36636,20.3892,-1.49174,1.42546,0.18089,0.172806,0.234125,0.231892,1.00771,0.9,0.18313,0.18313,0.402299,0.597701
43,872.244,1,5.37467,0.483989,21.5532,8.86159,20.307,-1.33929,1.31646,0.168765,0.178098,0.246136,0.217695,1.36592,0.9,0.173973,0.173973,0.353894,0.646106
44,863.651,1,5.41419,0.480267,21.5235,8.78797,20.3787,-1.38479,1.51753,0.167951,0.206904,0.202598,0.224016,1.37753,0.9,0.165275,0.165275,0.357577,0.642423
45,853.858,1,5.38911,0.476491,21.4269,8.5076,20.6208,-1.64513,2.00509,0.170561,0.209973,0.242836,0.238045,1.75421,0.9,0.157011,0.157011,0.318102,0.681898
46,839.836,1,5.432,0.513181,21.6298,8.27486,20.4318,-1.7502,2.31396,0.169404,0.218124,0.236138,0.232092,2.42953,0.9,0.14916,0.14916,0.314083,0.685917
47,824.853,1,5.44954,0.49957,21.7362,8.55805,20.6294,-2.01734,2.57114,0.165927,0.219955,0.21853,0.230693,2.49392,0.9,0.141702,0.141702,0.282519,0.717481
48,823.201,1,5.45168,0.531006,21.7799,8.54288,20.2599,-2.19225,2.87329,0.174406,0.244793,0.212155,0.24534,2.6661,0.9,0.134741,0.134617,0.271226,0.728774
49,809.96,1,5.42319,0.516948,21.5397,8.54814,20.2647,-2.70859,3.2844,0.178439,0.247886,0.192198,0.251396,2.45394,0.9,0.13506,0.127886,0.248069,0.751931
50,801.565,1,5.39229,0.549639,21.6046,8.15689,20.4852,-6.78787,7.29894,0.186376,0.263038,0.207232,0.252285,2.47613,0.9,0.133273,0.121492,0.104994,0.895006
51,784.352,1,5.44066,0.529007,22.1698,8.34324,20.563,-11.2378,11.781,0.19756,0.26066,0.198315,0.258101,2.73165,0.9,0.12661,0.115417,0.0711681,0.928832
52,782.577,1,5.45235,0.562398,21.6548,8.1064,20.6501,-11.9953,12.5992,0.199697,0.28093,0.204824,0.2719,2.91919,0.9,0.128224,0.109647,0.0702397,0.92976
53,782.243,1,5.39036,0.579987,21.3539,8.05253,20.4906,-13.3878,14.0777,0.200568,0.275958,0.210758,0.266173,3.20494,0.9,0.126808,0.104164,0.0705046,0.929495
54,775.42,1,5.41131,0.574789,21.1712,7.92399,20.395,-13.1704,13.8542,0.200294,0.282497,0.215974,0.286892,3.22416,0.9,0.1274,0.098956,0.0703123,0.929688
55,762.509,1,5.37565,0.582922,21.2067,8.00698,20.2043,-13.226,13.7332,0.198924,0.287943,0.194473,0.307141,3.11172,0.9,0.128103,0.0940082,0.0706202,0.92938
56,759.731,1,5.34046,0.563019,20.9318,7.88227,19.8082,-13.783,14.3877,0.201074,0.276052,0.204804,0.290244,3.23522,0.9,0.128363,0.0893078,0.0713396,0.92866
57,755.793,1,5.35502,0.574035,20.7965,7.67204,19.756,-13.9096,14.463,0.198811,0.263563,0.195839,0.28628,3.27546,0.9,0.128159,0.0884451,0.0713211,0.928679
58,755.556,1,5.33196,0.58703,20.4273,8.09586,19.3167,-15.2744,15.7828,0.211238,0.264504,0.219736,0.281733,3.48578,0.9,0.129568,0.0851864,0.071149,0.928851
59,756.592,1,5.34559,0.616818,20.6331,8.26937,19.3367,-15.3318,15.9907,0.207336,0.26699,0.244639,0.311457,3.53868,0.9,0.127966,0.0842028,0.0714035,0.928596
60,756.279,1,5.33197,0.614084,21.4263,8.0133,20.131,-15.6795,16.3555,0.209738,0.293632,0.252593,0.339512,3.62569,0.9,0.123926,0.0847264,0.0713552,0.928645
61,763.447,1,5.32498,0.633051,20.9125,8.19493,19.5873,-16.259,16.854,0.207402,0.285851,0.27724,0.352226,3.70492,0.9,0.129706,0.0819461,0.0713383,0.928662
62,764.071,1,5.30256,0.619758,20.738,7.75016,19.6836,-16.7265,17.2554,0.207874,0.288025,0.264652,0.359487,3.7763,0.9,0.132694,0.0805247,0.0713617,0.928638
63,766.944,1,5.30103,0.62428,21.1197,7.66063,19.7029,-16.6608,17.3133,0.216736,0.310294,0.236296,0.386936,3.79308,0.9,0.13335,0.0799711,0.071369,0.928631
64,764.61,1,5.30122,0.641076,20.892,7.29996,20.098,-17.8628,18.6034,0.225664,0.310722,0.227686,0.373952,4.04502,0.9,0.132444,0.0790311,0.0709422,0.929058
65,754.741,1,5.30779,0.636263,20.8933,7.21176,19.7798,-17.7918,18.5078,0.220575,0.308702,0.220647,0.360218,3.98595,0.9,0.128656,0.0787199,0.0709481,0.929052
66,750.034,1,5.29839,0.626887,21.2878,7.06909,20.3455,-17.7118,18.4857,0.222064,0.312999,0.196691,0.357372,3.94909,0.9,0.129478,0.0787537,0.0713083,0.928692
67,751.697,1,5.29816,0.657958,21.3117,7.07743,20.3948,-17.5822,18.3792,0.219861,0.312406,0.209975,0.373818,3.96733,0.9,0.12845,0.0777122,0.0712831,0.928717
68,751.891,1,5.32774,0.630608,21.1155,7.2897,20.8586,-17.41,18.1416,0.212452,0.300015,0.232867,0.36762,3.90894,0.9,0.12626,0.0786335,0.0711911,0.928809
69,747.189,1,5.32633,0.615834,20.8973,7.59318,20.6424,-17.3699,18.0432,0.212355,0.297341,0.248655,0.341685,3.8827,0.9,0.126932,0.0782375,0.0712713,0.928729
70,751.735,1,5.32638,0.634146,20.9327,7.35715,20.9493,-17.3875,18.0445,0.212904,0.292631,0.258654,0.355419,3.87674,0.9,0.125511,0.0788673,0.0712824,0.928718
71,757.648,1,5.30189,0.637735,21.0166,7.6078,20.3129,-17.1933,17.9332,0.21499,0.305604,0.288198,0.355248,3.92093,0.9,0.126789,0.080023,0.0713131,0.928687
72,763.211,1,5.33526,0.66883,21.1497,7.37271,20.7717,-17.8752,18.4785,0.216647,0.298084,0.291471,0.361859,3.95288,0.9,0.13024,0.0795473,0.0713892,0.928611
73,756.485,1,5.32399,0.692095,20.9907,7.68795,20.9499,-18.1351,18.8036,0.221123,0.29147,0.320635,0.350811,4.00517,0.9,0.127248,0.077209,0.0714063,0.928594
74,759.71,1,5.33559,0.66761,20.7864,7.90397,20.7312,-17.7033,18.4823,0.218197,0.29175,0.327253,0.340962,3.97549,0.9,0.129242,0.0769918,0.0714007,0.928599
75,745.492,1,5.31242,0.662974,20.3957,8.15894,21.2145,-17.1932,18.0118,0.224998,0.263047,0.346259,0.343411,3.89617,0.9,0.129491,0.0731422,0.0714075,0.928593
