Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
1.92104,0.00024527,2.58662e-05,11.4735,2.50432e-05,1.43266e-05,4.03901,2.22045e-16,2.22045e-16,0.0001672,53.9692,0.0140152,2.74937,2.22045e-16,2.22045e-16,0.000153045,17.7281,0.00280258,All
2.03112,0.00059014,6.94835e-05,12.0847,6.21882e-05,3.94968e-05,4.03903,2.22045e-16,2.22045e-16,136.249,0.000342259,0.892788,2.74939,2.22045e-16,2.22045e-16,231.314,0.000124634,0.956968,All
2.14121,0.00128681,0.000168612,12.6958,0.000140189,9.85829e-05,4.03906,2.22045e-16,2.22045e-16,272.497,0.000135599,0.9217,2.74942,2.22045e-16,2.22045e-16,462.628,4.18117e-05,0.973511,All
2.2513,0.00257462,0.000374393,13.3069,0.000290198,0.000225423,4.03908,2.22045e-16,2.22045e-16,408.745,7.77805e-05,0.935622,2.74944,2.22045e-16,2.22045e-16,693.942,2.15879e-05,0.980442,All
2.36138,0.0047761,0.000768911,13.9181,0.000557024,0.000476986,4.0391,2.22045e-16,2.22045e-16,544.994,5.21005e-05,0.944274,2.74947,2.22045e-16,2.22045e-16,925.255,1.33725e-05,0.984367,All
2.47147,0.00828726,0.00147397,14.5292,0.000999664,0.000941994,4.03912,2.22045e-16,2.22045e-16,681.242,3.8043e-05,0.950331,2.74949,2.22045e-16,2.22045e-16,1156.57,9.17098e-06,0.986927,All
2.58156,0.013551,0.00265785,15.1404,0.00168939,0.00174914,4.03915,2.22045e-16,2.22045e-16,817.491,2.9354e-05,0.954879,2.74952,2.22045e-16,2.22045e-16,1387.88,6.71411e-06,0.988741,All
2.69165,0.0210154,0.00453835,15.7515,0.00270503,0.00307329,4.03917,2.22045e-16,2.22045e-16,953.739,2.35364e-05,0.958458,2.74954,2.22045e-16,2.22045e-16,1619.2,5.14477e-06,0.9901,All
2.80173,0.0310816,0.00738049,16.3626,0.0041258,0.00513804,4.03919,2.22045e-16,2.22045e-16,1089.99,1.94138e-05,0.961369,2.74957,2.22045e-16,2.22045e-16,1850.51,4.07737e-06,0.991159,All
2.91182,0.0440505,0.0114884,16.9738,0.00602229,0.00821322,4.03921,2.22045e-16,2.22045e-16,1226.24,1.63658e-05,0.963797,2.74959,2.22045e-16,2.22045e-16,2081.82,3.31639e-06,0.99201,All
3.02191,0.0600742,0.0171916,17.5849,0.00844725,0.0126068,4.03924,2.22045e-16,2.22045e-16,1362.48,1.40365e-05,0.965861,2.74962,2.22045e-16,2.22045e-16,2313.14,2.75363e-06,0.992709,All
3.13199,0.0791228,0.0248264,18.1961,0.0114271,0.0186514,4.03926,2.22045e-16,2.22045e-16,1498.73,1.22089e-05,0.967644,2.74964,2.22045e-16,2.22045e-16,2544.45,2.32507e-06,0.993294,All
3.24208,0.100969,0.0347152,18.8072,0.0149559,0.026686,4.03928,2.22045e-16,2.22045e-16,1634.98,1.07435e-05,0.969205,2.74966,2.22045e-16,2.22045e-16,2775.77,1.99077e-06,0.993792,All
3.35217,0.125192,0.0471445,19.4183,0.0189922,0.0370353,4.03931,2.22045e-16,2.22045e-16,1771.23,9.54733e-06,0.970584,2.74969,2.22045e-16,2.22045e-16,3007.08,1.72471e-06,0.99422,All
3.46225,0.151203,0.0623449,20.0295,0.0234598,0.0499879,4.03933,2.22045e-16,2.22045e-16,1907.48,8.55577e-06,0.971815,2.74971,2.22045e-16,2.22045e-16,3238.39,1.50933e-06,0.994594,All
3.57234,0.178284,0.0804748,20.6406,0.0282516,0.0657761,4.03935,2.22045e-16,2.22045e-16,2043.73,7.723e-06,0.972923,2.74974,2.22045e-16,2.22045e-16,3469.71,1.33241e-06,0.994922,All
