Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
9.18196,0.307143,55.3484,0.307143,12.7784,0.307143,28.5381,0.314286,0.298158,0.307143,0.526446,0.307143,All
9.23348,0.314286,55.3484,0.314286,12.7784,0.314286,31.7697,0.321429,0.298158,0.314286,0.526446,0.314286,All
9.40197,0.321429,55.3484,0.321429,12.7784,0.321429,32.9325,0.328571,0.298158,0.321429,0.526446,0.321429,All
9.46019,0.328571,55.3484,0.328571,12.7784,0.328571,32.9707,0.335714,0.298158,0.328571,0.526446,0.328571,All
9.70562,0.335714,55.3484,0.335714,12.7784,0.335714,33.5121,0.342857,0.298158,0.335714,0.526446,0.335714,All
9.71683,0.342857,55.3484,0.342857,12.7784,0.342857,36.1261,0.35,0.298158,0.342857,0.526446,0.342857,All
9.75129,0.35,55.3484,0.35,12.7784,0.35,36.7357,0.357143,0.298158,0.35,0.526446,0.35,All
9.83922,0.357143,55.3484,0.357143,12.7784,0.357143,37.1653,0.364286,0.298158,0.357143,0.526446,0.357143,All
9.87263,0.364286,55.3484,0.364286,12.7784,0.364286,37.5106,0.371429,0.298158,0.364286,0.526446,0.364286,All
9.92033,0.371429,55.3484,0.371429,12.7784,0.371429,38.8331,0.378571,0.298158,0.371429,0.526446,0.371429,All
10.0178,0.378571,55.3484,0.378571,12.7784,0.378571,40.2741,0.385714,0.298158,0.378571,0.526446,0.378571,All
10.13,0.385714,55.3484,0.385714,12.7784,0.385714,40.4231,0.392857,0.298158,0.385714,0.526446,0.385714,All
10.1573,0.392857,55.3484,0.392857,12.7784,0.392857,41.8886,0.4,0.298158,0.392857,0.526446,0.392857,All
10.1907,0.4,55.3484,0.4,12.7784,0.4,43.6867,0.407143,0.298158,0.4,0.526446,0.4,All
10.2657,0.407143,55.3484,0.407143,12.7784,0.407143,44.0524,0.414286,0.298158,0.407143,0.526446,0.407143,All
10.2758,0.414286,55.3484,0.414286,12.7784,0.414286,44.8617,0.421429,0.298158,0.414286,0.526446,0.414286,All
10.3015,0.421429,55.3484,0.421429,12.7784,0.421429,45.3296,0.428571,0.298158,0.421429,0.526446,0.421429,All
10.3186,0.428571,55.3484,0.428571,12.7784,0.428571,46.6468,0.435714,0.298158,0.428571,0.526446,0.428571,All
10.3905,0.435714,55.3484,0.435714,12.7784,0.435714,47.1366,0.442857,0.298158,0.435714,0.526446,0.435714,All
10.4708,0.442857,55.3484,0.442857,12.7784,0.442857,47.4299,0.45,0.298158,0.442857,0.526446,0.442857,All
10.587,0.45,55.3484,0.45,12.7784,0.45,47.6743,0.457143,0.298158,0.45,0.526446,0.45,All
10.6194,0.457143,55.3484,0.457143,12.7784,0.457143,49.8439,0.464286,0.298158,0.457143,0.526446,0.457143,All
