Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q2_abscissa,Q2_pdf,V2_abscissa,V2_pdf,Q3_abscissa,Q3_pdf,V3_abscissa,V3_pdf,split
6.67918,1.15276,34.7432,0.0160641,6.80096,0.0514101,846.901,0.000572739,0.495308,5.36546e+06,2.47758,401713,All
6.69261,4.61104,39.0785,0.0071396,8.0051,0.109247,2427.65,5.38472e-05,0.495308,4.02409e+06,2.47758,602570,All
6.70603,7.49294,43.4138,0.0053547,9.20923,0.134952,4008.4,9.7904e-06,0.495308,2.41446e+07,2.47758,1.406e+06,All
6.71946,5.18742,47.7491,0.0232037,10.4134,0.096394,5589.15,1.46856e-05,0.495308,1.87791e+07,2.47758,1.80771e+06,All
6.73288,17.2914,52.0844,0.0267735,11.6175,0.10282,7169.9,1.46856e-05,0.495308,2.54859e+07,2.47758,3.81628e+06,All
6.74631,11.5276,56.4197,0.0446225,12.8216,0.115673,8750.66,4.8952e-06,0.495308,3.21928e+07,2.47758,4.6197e+06,All
6.75973,10.9512,60.755,0.0428376,14.0258,0.109247,10331.4,0,0.495308,3.21928e+07,2.47758,5.62399e+06,All
6.77316,4.61104,65.0903,0.0285584,15.2299,0.0449839,11912.2,4.8952e-06,0.495308,2.01205e+07,2.47758,3.81628e+06,All
6.78658,6.91656,69.4256,0.0267735,16.434,0.0642627,13492.9,4.8952e-06,0.495308,1.07309e+07,2.47758,2.81199e+06,All
6.80001,5.18742,73.7609,0.0124943,17.6382,0.0192788,15073.7,0,0.495308,4.02409e+06,2.47758,1.406e+06,All
6.81343,3.45828,78.0962,0.0089245,18.8423,0.0192788,16654.4,0,0.495308,9.38955e+06,2.47758,1.00428e+06,All
6.82686,2.30552,82.4316,0.0071396,20.0464,0.0321313,18235.2,4.8952e-06,0.495308,1.34136e+06,2.47758,803427,All
