iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
56,301.929,1,2.53536,0.771504,24.7408,5.65782,373.226,0.366008,0.366008,0.265651,0.62,0.0280784
57,298.924,1,2.49864,0.858268,25.1605,5.91943,376.288,0.357617,0.35674,0.258925,0.62,0.0275933
58,300.384,1,2.49649,0.846568,24.9342,5.89763,377.611,0.364018,0.347707,0.25955,0.62,0.0277387
59,289.814,1,2.48882,0.806327,24.598,5.8009,375.177,0.364978,0.338903,0.252978,0.62,0.0267895
60,289.196,1,2.49904,0.804426,24.913,5.83423,376.056,0.371956,0.330322,0.246573,0.62,0.0269757
61,280.505,1,2.47678,0.822546,24.7212,5.86085,374.881,0.400259,0.321958,0.240329,0.62,0.0260888
62,286.871,1,2.49107,0.802789,24.6613,5.90553,374.076,0.390124,0.313806,0.234244,0.62,0.0268595
63,292.778,1,2.48033,0.851161,24.3771,5.68281,371.591,0.399899,0.30586,0.228313,0.62,0.0275525
64,293.601,1,2.51199,0.887547,24.7093,5.60839,371.337,0.389774,0.298116,0.222532,0.62,0.0280599
65,296.787,1,2.51104,0.92423,24.3194,5.72577,366.297,0.383189,0.290567,0.216897,0.62,0.0287307
66,290.432,1,2.48708,0.807603,23.968,5.90588,368.944,0.382181,0.28321,0.218461,0.62,0.0277015
67,289.73,1,2.47679,0.903075,24.1919,5.87103,369.989,0.377434,0.276039,0.223501,0.62,0.0274558
68,293.529,1,2.4502,0.891008,24.1794,5.81995,374.505,0.396874,0.269049,0.244976,0.62,0.0274555
69,289.601,1,2.39915,1.00744,24.2668,5.93746,377.431,0.407167,0.262237,0.238773,0.62,0.0268614
70,293.568,1,2.45188,0.938118,24.5163,5.87914,376.178,0.396857,0.255597,0.232727,0.62,0.0274138
71,293.292,1,2.46337,0.895534,24.2773,5.75566,378.456,0.386808,0.249125,0.240985,0.62,0.0276407
72,293.462,1,2.50255,0.874889,24.8315,5.66348,376.682,0.377014,0.242817,0.234883,0.62,0.0276541
73,281.195,1,2.51393,0.849501,24.6612,5.53508,377.417,0.367468,0.236669,0.228936,0.62,0.026576
74,287.698,1,2.52702,0.83137,24.9037,5.66731,375.685,0.358163,0.230676,0.223827,0.62,0.0273237
75,286.546,1,2.55485,0.801322,24.9792,5.7685,374.364,0.350136,0.224835,0.219301,0.62,0.0274353
76,289.95,1,2.5199,0.840247,24.6649,5.82469,371.476,0.37526,0.234672,0.21762,0.62,0.0273584
77,292.575,1,2.48365,0.929362,24.1714,5.83312,372.782,0.373164,0.22873,0.240378,0.62,0.0276091
78,284.85,1,2.5044,0.883715,24.1877,5.73676,372.782,0.364208,0.223336,0.239467,0.265579,0.0273564
79,290.037,1,2.54118,0.722863,23.7846,5.59675,369.87,0.36168,0.230061,0.233404,0.251092,0.0282737
80,290.518,1,2.61121,0.639866,24.2766,5.56513,365.896,0.352522,0.233203,0.227494,0.102308,0.028685
81,282.176,1,2.60195,0.723174,24.8768,5.57891,366.289,0.343596,0.231827,0.255944,0.0273155,0.0272507
82,284.004,1,2.60246,0.66378,24.6003,5.62861,366.361,0.334896,0.230798,0.249463,0.0199052,0.0274328
83,284.675,1,2.57057,0.681636,24.6619,5.68745,368.508,0.340338,0.246318,0.243147,0.133153,0.0272338
84,284.778,1,2.57356,0.628974,24.2626,5.73917,366.204,0.339081,0.240081,0.247139,0.0961359,0.027214
85,285.717,1,2.54211,0.756832,24.1329,5.62576,365.597,0.340475,0.235276,0.240881,0.131644,0.0274377
86,283.708,1,2.53028,0.743184,24.1493,5.70162,367.489,0.356465,0.236427,0.237969,0.137413,0.0269529
87,286.161,1,2.52354,0.764751,23.8338,5.7112,365.838,0.357939,0.23044,0.269007,0.21154,0.0269425
88,282.266,1,2.51808,0.70292,23.7154,5.80742,368.053,0.365383,0.233066,0.262195,0.212448,0.0264359
89,288.285,1,2.54522,0.759527,24.1462,5.67889,369.203,0.356131,0.244478,0.256072,0.153315,0.0273277
90,289.058,1,2.57212,0.613154,24.3947,5.67445,368.77,0.347114,0.242175,0.256073,0.0796122,0.027504
91,287.81,1,2.59067,0.584038,24.6845,5.65454,370.787,0.340283,0.236043,0.251087,0.0458354,0.0275468
92,286.285,1,2.55013,0.627818,24.8298,5.78216,376.508,0.346938,0.230067,0.244729,0.0117069,0.0275245
93,286.486,1,2.55245,0.665662,25.0226,5.65842,376.067,0.347663,0.23023,0.238533,0.0426175,0.027795
94,285.199,1,2.52218,0.655582,24.9901,5.74022,377.72,0.363493,0.229706,0.232493,0.0547197,0.0276362
95,289.624,1,2.52638,0.701619,25.2948,5.73492,375.986,0.365217,0.225325,0.226606,0.0135543,0.0280904
96,278.565,1,2.52762,0.705431,24.7829,5.77,373.379,0.35597,0.219619,0.239363,0.0334933,0.0266906
97,290.956,1,2.53718,0.713981,24.8162,5.86877,372.686,0.346956,0.215009,0.251598,0.0373368,0.0283243
98,287.212,1,2.57398,0.667108,24.9089,5.69039,372.468,0.340344,0.216464,0.245227,0.0718767,0.0280259
99,285.231,1,2.55064,0.768198,24.464,5.65224,366.503,0.341476,0.235417,0.259595,0.0617573,0.0269872
