time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
1.284,0.0103093,0,0,0.0110501,All
1.69113,0.0206186,0,0,0.0217391,All
2.09826,0.0206186,0,0,0.0231222,All
2.50539,0.0206186,0,0,0.0340909,All
2.91253,0.0309278,0.0111111,0,0.0449438,All
3.31966,0.0309278,0.0217391,0,0.0574713,All
3.72679,0.0412371,0.0278622,0,0.0800026,All
4.13392,0.0412371,0.0352941,0.00531915,0.0924886,All
4.54105,0.0618557,0.0543478,0.010989,0.11236,All
4.94818,0.0721649,0.0670412,0.021978,0.136364,All
5.35531,0.0824742,0.0833333,0.0319149,0.157303,All
5.76244,0.0927835,0.102273,0.0340909,0.179798,All
6.16958,0.103093,0.122222,0.0540556,0.197738,All
6.57671,0.113402,0.137931,0.0652174,0.220991,All
6.98384,0.123711,0.157303,0.0795455,0.244315,All
7.39097,0.154639,0.175121,0.0948901,0.264847,All
7.7981,0.185567,0.197674,0.11236,0.289793,All
8.20523,0.185567,0.218391,0.128436,0.309428,All
8.61236,0.195876,0.236559,0.141304,0.333333,All
9.01949,0.237113,0.26087,0.157303,0.355556,All
9.42663,0.237113,0.277778,0.180313,0.37144,All
9.83376,0.247423,0.3,0.202247,0.397727,All
10.2409,0.298969,0.318681,0.213483,0.418605,All
10.648,0.329897,0.337018,0.235955,0.433333,All
11.0552,0.329897,0.353556,0.252747,0.451081,All
11.4623,0.340206,0.37144,0.271739,0.466288,All
11.8694,0.360825,0.388235,0.298851,0.488372,All
12.2765,0.391753,0.406977,0.314607,0.505497,All
12.6837,0.402062,0.422222,0.335145,0.521981,All
13.0908,0.43299,0.443182,0.348576,0.534884,All
13.4979,0.43299,0.460222,0.362637,0.550562,All
13.9051,0.443299,0.477525,0.382022,0.567424,All
14.3122,0.453608,0.491669,0.398864,0.584687,All
14.7193,0.474227,0.508193,0.41573,0.6,All
15.1265,0.484536,0.522727,0.431818,0.611111,All
15.5336,0.505155,0.539326,0.449438,0.623593,All
15.9407,0.515464,0.554348,0.465909,0.638906,All
16.3479,0.525773,0.569892,0.4749,0.65193,All
16.755,0.57732,0.583801,0.494444,0.664794,All
17.1621,0.597938,0.597701,0.508429,0.677778,All
17.5693,0.628866,0.611111,0.521981,0.688889,All
17.9764,0.628866,0.622222,0.538048,0.697674,All
18.3835,0.639175,0.636364,0.550056,0.707865,All
18.7906,0.670103,0.648352,0.562508,0.719101,All
19.1978,0.690722,0.662921,0.577778,0.730337,All
19.6049,0.71134,0.670455,0.588889,0.73913,All
20.012,0.721649,0.684783,0.6,0.748684,All
20.4192,0.721649,0.695652,0.612374,0.759745,All
20.8263,0.721649,0.706522,0.629213,0.768336,All
21.2334,0.721649,0.719101,0.640449,0.777778,All
21.6406,0.731959,0.728261,0.650311,0.788562,All
22.0477,0.742268,0.738366,0.659458,0.797753,All
22.4548,0.742268,0.747253,0.674035,0.808989,All
22.862,0.762887,0.752941,0.681319,0.8167,All
23.2691,0.773196,0.765332,0.692308,0.824879,All
23.6762,0.783505,0.775281,0.701639,0.832397,All
24.0834,0.783505,0.784091,0.707865,0.844444,All
24.4905,0.783505,0.793103,0.719766,0.848332,All
24.8976,0.793814,0.797753,0.731448,0.858696,All
25.3047,0.804124,0.80875,0.73745,0.866667,All
25.7119,0.804124,0.818182,0.75,0.876404,All
26.119,0.814433,0.826087,0.752809,0.879778,All
26.5261,0.824742,0.834249,0.764073,0.88764,All
26.9333,0.824742,0.840909,0.777833,0.89595,All
27.3404,0.845361,0.847442,0.786517,0.898302,All
27.7475,0.85567,0.853933,0.797753,0.905322,All
28.1547,0.865979,0.858696,0.802198,0.913043,All
28.5618,0.876289,0.868132,0.807664,0.918605,All
28.9689,0.876289,0.872093,0.815217,0.922222,All
29.3761,0.876289,0.879121,0.823199,0.923913,All
29.7832,0.886598,0.886364,0.828566,0.9337,All
30.1903,0.917526,0.89011,0.837083,0.942179,All
30.5975,0.917526,0.897727,0.840909,0.943501,All
31.0046,0.917526,0.901099,0.846154,0.944444,All
31.4117,0.938144,0.909091,0.851424,0.953215,All
31.8188,0.938144,0.913043,0.857919,0.955056,All
32.226,0.938144,0.921348,0.865918,0.956522,All
32.6331,0.938144,0.923077,0.869565,0.965517,All
33.0402,0.948454,0.931034,0.878449,0.966479,All
33.4474,0.948454,0.933333,0.879778,0.967391,All
33.8545,0.958763,0.934783,0.89011,0.977528,All
34.2616,0.958763,0.94382,0.894427,0.977653,All
34.6688,0.958763,0.945354,0.901099,0.977778,All
35.0759,0.969072,0.953488,0.908046,0.983479,All
35.483,0.969072,0.955056,0.9116,0.988571,All
35.8902,0.969072,0.956044,0.91578,0.988826,All
36.2973,0.969072,0.964706,0.923077,0.989011,All
36.7044,0.969072,0.965909,0.931818,0.989071,All
37.1116,0.969072,0.967033,0.934066,0.989362,All
37.5187,0.969072,0.976744,0.938673,1,All
37.9258,0.979381,0.977528,0.94382,1,All
38.3329,0.979381,0.9779,0.945944,1,All
38.7401,0.979381,0.978495,0.954545,1,All
39.1472,0.979381,0.988636,0.956755,1,All
39.5543,0.979381,0.988889,0.965909,1,All
39.9615,0.979381,0.989011,0.967033,1,All
40.3686,0.989691,0.989418,0.977273,1,All
40.7757,0.989691,1,0.978261,1,All
41.1829,0.989691,1,0.988636,1,All
41.59,1,1,1,1,All
