parameter,value
Cl_pop,10.4831927425049
beta_Cl_logtCLCRMLMIN,0.581852470458184
beta_Cl_logtHCM,1.90620273293404
V1_pop,43.6247464282343
Q_pop,21.1330022228405
beta_Q_ANTU_2,-0.821874584561048
beta_Q_logtAGEA,1.42587326186044
beta_Q_logtCLCRMLMIN,0.90751844963854
beta_Q_logtPROGDL,-0.0567209545513272
V2_pop,53.8479087004802
omega_Cl,0.192825518766282
omega_V1,0.260586854120583
omega_Q,0.0108928150639516
omega_V2,0.20637885275836
corr_V2_V1,0.998951289753787
a1,0.307477837188195
a2,0.0590262727081209
