iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,801.611,1,10.2275,11.1604,43.2233,60.344,3,0.3,1.5,1.5,1.5,1.5
2,801.826,1,8.13155,16.2693,43.8278,85.3311,2.85,0.285,1.46202,1.58655,1.46202,1.52935
3,770.165,1,9.03059,19.3376,44.5052,120.956,2.7075,0.27075,1.425,1.54638,1.425,1.68202
4,761.005,1,8.11656,20.0763,40.3197,143.194,2.57212,0.257212,1.38892,1.50722,1.38892,1.65967
5,753.487,1,7.56843,17.0275,43.696,152.964,2.44352,0.244352,1.35375,1.46906,1.35375,1.61764
6,738.599,1,7.77665,12.5614,43.2014,142.372,2.32134,0.232134,1.31947,1.43186,1.31947,1.63781
7,723.35,1,7.29541,14.2115,43.244,161.456,2.20528,0.220528,1.28606,1.39561,1.28606,1.59634
8,708.002,1,7.31346,18.7129,42.5865,143.29,2.09501,0.209501,1.2535,1.36027,1.2535,1.56638
9,711.221,1,7.70095,15.3806,44.1673,159.8,1.99026,0.199026,1.22176,1.32583,1.22176,1.70832
10,701.583,1,7.38236,11.8416,49.0712,201.223,1.89075,0.189075,1.19082,1.3762,1.19082,1.66507
11,689.555,1,7.7218,10.515,48.3537,205.06,1.79621,0.179621,1.16067,1.34135,1.16067,1.62291
12,686.229,1,7.86481,12.1221,46.8659,164.812,1.7064,0.17064,1.13128,1.41501,1.13128,1.58181
13,690.915,1,8.03416,12.1243,36.9031,153.285,1.62108,0.162108,1.10264,1.37918,1.10264,1.62115
14,686.733,1,7.75056,11.5309,37.5875,188.499,1.54003,0.154003,1.07472,1.51868,1.07472,1.73135
15,643.016,1,7.85648,15.0389,36.923,160.912,1.46302,0.146302,1.04751,1.48023,1.04751,1.68751
16,646.851,1,7.69597,13.2693,41.6067,136.779,1.38987,0.138987,1.02098,1.44275,1.02098,1.64479
17,635.236,1,7.92809,10.8298,42.1609,158.95,1.32038,0.132038,0.995131,1.40622,0.995131,1.60314
18,621.776,1,8.18286,10.4262,37.6226,142.38,1.25436,0.125436,0.969933,1.37061,0.969933,1.56255
19,609.645,1,8.60652,10.8124,41.0841,132.518,1.19164,0.119164,0.945374,1.33591,0.945374,1.55299
20,598.052,1,8.69397,10.3608,46.5814,116.64,1.13206,0.113206,0.921437,1.30208,0.921437,1.60529
21,578.88,1,9.03584,13.3298,43.5309,79.2739,1.07546,0.107546,0.898105,1.26911,0.898105,1.56464
22,569.681,1,9.2273,12.3541,40.3454,86.6607,1.02168,0.102168,0.875365,1.23698,0.875365,1.5336
23,564.838,1,9.14688,11.0929,41.3237,91.1891,0.970601,0.0970601,0.8532,1.20566,0.8532,1.49477
24,560.315,1,8.87337,12.2827,41.0729,98.4356,0.922071,0.0922071,0.831597,1.17513,0.831597,1.45692
25,538.763,1,9.23185,12.2274,40.3135,111.902,0.875967,0.0875967,0.81054,1.14537,0.81054,1.42003
26,530.624,1,9.26978,11.6436,43.8667,105.944,0.832169,0.0832169,0.790017,1.11637,0.790017,1.38408
27,525.433,1,9.26039,12.9755,43.3339,102.839,0.79056,0.079056,0.770013,1.0881,0.770013,1.34903
28,512.167,1,9.4104,11.4498,43.116,94.1409,0.751032,0.0751032,0.750516,1.06055,0.750516,1.31487
29,503.471,1,9.36458,12.2176,41.846,97.2713,0.713481,0.0713481,0.731512,1.0337,0.731512,1.28158
30,487.166,1,9.45596,12.9897,41.7125,86.949,0.200234,0.0946643,0.71299,1.00753,0.71299,1.24913
31,474.061,1,9.43802,12.2628,40.7827,95.1893,2.22045e-16,0.104021,0.694937,0.982014,0.694937,1.2175
32,463.104,1,9.45672,12.2682,41.1906,88.8282,2.10942e-16,0.0988202,0.677341,0.957149,0.677341,1.18667
33,464.15,1,9.39254,11.9861,42.2654,93.5069,2.22045e-16,0.0979809,0.66019,0.989601,0.66019,1.15833
34,464.624,1,9.44506,12.2278,43.604,86.1727,2.22045e-16,0.10075,0.643474,0.964544,0.643474,1.16444
35,458.44,1,9.4334,11.6361,42.1564,91.53,2.22045e-16,0.0978559,0.627181,0.975373,0.627181,1.13496
36,457.919,1,9.3832,12.2919,41.906,88.918,2.22045e-16,0.0992674,0.6113,0.950676,0.6113,1.10622
37,454.633,1,9.48877,11.5752,41.9497,81.7632,2.22045e-16,0.0988162,0.595821,0.947413,0.595821,1.07821
38,451.575,1,9.48966,10.9379,41.6099,75.7274,2.22045e-16,0.0969394,0.580735,0.923424,0.580735,1.05091
39,450.797,1,9.43792,10.963,42.8741,90.0953,2.22045e-16,0.098938,0.56603,0.900753,0.56603,1.0243
40,445.164,1,9.50371,11.2113,42.656,81.0573,2.22045e-16,0.096545,0.551698,0.877946,0.551698,0.998362
41,444.354,1,9.65172,11.5619,42.5886,79.9478,2.22045e-16,0.0977911,0.537729,0.855716,0.537729,0.973083
42,442.569,1,9.79313,11.0171,44.4356,77.3612,2.22045e-16,0.0990211,0.524113,0.853794,0.524113,0.948444
43,434.053,1,9.70349,11.0614,43.6226,78.2627,2.22045e-16,0.0968828,0.510842,0.832176,0.510842,0.924429
44,423.019,1,9.7456,11.1328,42.8823,81.5539,2.22045e-16,0.0943431,0.497908,0.811105,0.497908,0.901022
45,426.268,1,9.66071,12.0542,43.3129,80.0653,2.22045e-16,0.0933273,0.4853,0.790567,0.4853,0.886456
46,428.841,1,9.67793,10.635,44.6373,77.1994,2.22045e-16,0.0956019,0.473012,0.770549,0.473012,0.941352
47,428.051,1,9.75319,10.2013,43.3467,68.7805,2.22045e-16,0.0956508,0.461035,0.751039,0.461035,0.917517
48,419.983,1,9.65011,9.55909,44.7408,78.7305,2.22045e-16,0.0946347,0.449362,0.732022,0.449362,0.894285
49,407.546,1,9.71765,9.98026,44.3002,81.0362,2.10942e-16,0.0899029,0.437984,0.763675,0.437984,0.871641
50,416.753,1,9.66255,9.69984,44.0024,78.009,2.22045e-16,0.0922113,0.426894,0.744338,0.426894,0.84957
51,415.972,1,9.75129,9.23789,45.5924,79.6724,2.22045e-16,0.092594,0.416084,0.76214,0.416084,0.828059
