iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
54,1038.51,1,5.15892,28.7565,5.88359,28.3204,0.256848,0.262736,0.818398,0.791047,0.256848,0.256848
55,1038.2,1,5.10654,28.2572,6.03984,29.8591,0.250344,0.256084,0.797676,0.826859,0.250344,0.250344
56,1032.01,1,5.08628,28.816,5.7449,30.7894,0.244005,0.2496,0.777478,0.815778,0.244005,0.244005
57,1017.34,1,5.14976,27.8453,5.60236,33.5942,0.237827,0.24328,0.757792,0.795122,0.237827,0.237827
58,1010.12,1,5.02651,27.2836,5.55193,36.6756,0.231805,0.23712,0.738604,0.807292,0.231805,0.231805
59,1001.5,1,5.03352,28.2494,5.67831,40.2141,0.225936,0.231116,0.719902,0.815948,0.225936,0.225936
60,988.575,1,5.17557,28.4924,5.38587,35.6207,0.220215,0.225264,0.701674,0.795287,0.220215,0.220215
61,985.262,1,5.09811,28.8285,5.99684,29.9387,0.214639,0.21956,0.683907,0.77515,0.214639,0.214639
62,980.026,1,5.16124,28.9896,5.69402,28.7702,0.209204,0.214001,0.66659,0.789588,0.209204,0.209204
63,970.067,1,5.14294,28.619,5.49975,26.5386,0.203907,0.208582,0.649712,0.769595,0.203907,0.203907
64,945.816,1,5.14981,28.7447,4.84665,25.802,0.202192,0.2033,0.633261,0.750108,0.198744,0.198744
65,941.501,1,5.12981,28.9614,5.16894,28.5473,0.201518,0.198153,0.617226,0.731115,0.193711,0.193711
66,942.6,1,5.23177,28.6078,5.56191,30.0022,0.196416,0.193135,0.601598,0.712603,0.188807,0.188807
67,943.742,1,5.20556,28.6292,5.47951,32.5309,0.196717,0.188245,0.586365,0.694559,0.184026,0.184026
68,933.957,1,5.18553,28.2341,5.91552,31.0715,0.204413,0.183479,0.571518,0.676973,0.179366,0.179366
69,938.92,1,5.12127,27.7282,6.35851,34.1956,0.228114,0.183078,0.596731,0.659831,0.174825,0.174825
70,920.487,1,5.16566,27.6586,6.55569,34.8025,0.226102,0.178443,0.581621,0.643124,0.170398,0.170398
71,914.513,1,5.19403,28.2451,6.35707,36.3839,0.223577,0.173925,0.566894,0.62684,0.166083,0.166083
72,919.426,1,5.22436,28.2389,5.81392,29.5378,0.232521,0.169571,0.55254,0.610968,0.161878,0.161878
73,922.5,1,5.17419,28.7009,6.15352,29.3367,0.226633,0.165278,0.53855,0.595498,0.162331,0.157779
74,922.296,1,5.15647,27.7226,6.02272,28.3493,0.220895,0.190943,0.524913,0.587595,0.161676,0.153784
75,909.631,1,5.23267,27.3721,6.22159,26.8302,0.215302,0.186108,0.515273,0.572717,0.160771,0.14989
76,902.985,1,5.26233,26.5705,6.50125,26.5495,0.20985,0.195178,0.517327,0.558216,0.161958,0.146095
77,909.028,1,5.23536,27.118,6.088,26.0027,0.20699,0.196518,0.540356,0.544081,0.166921,0.142396
78,898.313,1,5.2248,28.507,6.0339,27.1642,0.214748,0.215396,0.526674,0.530305,0.162695,0.13879
79,897.674,1,5.27369,27.1852,6.01864,28.114,0.209311,0.209942,0.513338,0.516877,0.167701,0.135276
80,896.46,1,5.25748,27.0328,6.14879,29.09,0.204011,0.206099,0.50034,0.50379,0.176013,0.131851
81,895.053,1,5.27482,26.1356,6.39375,30.2343,0.20525,0.20088,0.487671,0.491033,0.185362,0.128512
82,887.693,1,5.25988,26.0736,6.18463,27.711,0.200053,0.220376,0.475323,0.4786,0.18932,0.125258
83,894.609,1,5.26532,25.7503,6.31323,27.7058,0.197742,0.214796,0.483399,0.466482,0.2009,0.122087
84,889.989,1,5.31379,25.6949,6.5073,27.2015,0.194732,0.222215,0.552006,0.466651,0.197002,0.118995
85,884.524,1,5.31726,26.7152,6.73271,28.2644,0.205014,0.216589,0.561624,0.473127,0.192014,0.115982
86,881.914,1,5.26619,25.931,6.33204,26.6983,0.200722,0.221175,0.56434,0.461147,0.197309,0.113045
87,886.24,1,5.25201,26.2428,5.64548,25.9736,0.199492,0.226466,0.558919,0.474547,0.202022,0.110183
88,881.985,1,5.29259,26.7408,5.61655,26.0007,0.201307,0.220732,0.569812,0.479527,0.198769,0.107393
89,887.856,1,5.29568,27.0365,5.85997,27.1302,0.199755,0.215143,0.555384,0.500564,0.195094,0.105362
90,875.787,1,5.28263,26.3238,5.83861,25.989,0.198938,0.209695,0.545028,0.487889,0.203207,0.102694
91,877.827,1,5.34279,26.6701,5.83601,25.7357,0.204433,0.222656,0.580452,0.475536,0.201153,0.100094
92,874.481,1,5.35807,26.5341,5.81206,25.2959,0.201966,0.217019,0.611818,0.463495,0.199649,0.0975597
93,879.094,1,5.32057,26.3328,5.70142,23.5657,0.208741,0.236962,0.630139,0.451759,0.205974,0.0950894
94,873.149,1,5.37826,26.1232,5.92727,23.3985,0.203691,0.252595,0.614183,0.453416,0.210064,0.0926817
95,865.53,1,5.35784,26.5626,6.00981,25.1757,0.198533,0.253418,0.598632,0.480645,0.214542,0.090335
96,871.155,1,5.34178,26.1968,6.39103,23.2197,0.204806,0.275854,0.583474,0.468474,0.217234,0.0880476
97,861.424,1,5.28169,26.1917,5.67057,24.7982,0.19962,0.301972,0.5687,0.456612,0.217894,0.0858182
