time,..2.5.,..50....3,..50....4,..97.5.
72,1.3,11.4,11.4,24.8
72.121212,3.7,13.1,13.1,28.1
72.242424,5.4,14.8,14.8,30.9
72.363636,6.8,16.2,16.2,33.3
72.484848,7.9,17.7,17.7,36.1
72.606061,8.6,19,19,39.6
72.727273,9.3,20.2,20.2,41.4
72.848485,9.9,21.4,21.4,44.5
72.969697,10.6,22.7,22.7,46.4
73.090909,11.3,23.9,23.9,48.7
73.212121,11.9,24.8,24.8,51.3
73.333333,12.5,25.8,25.8,53.4
73.454545,13.2,26.9,26.9,55
73.575758,13.7,27.8,27.8,57.1
73.69697,14.4,28.8,28.8,58.6
73.818182,15,29.8,29.8,60.3
73.939394,15.6,30.8,30.8,62.2
74.060606,15.4,30.9,30.9,61.1
74.181818,14.6,30.1,30.1,58.6
74.30303,14.1,29.2,29.2,56.7
74.424242,13.7,28.4,28.4,53.9
74.545455,13.5,27.7,27.7,52.2
74.666667,13.2,27.1,27.1,50.4
74.787879,12.3,26.5,26.5,48.5
74.909091,11.9,26,26,47
75.030303,11.2,25.5,25.5,45.8
75.151515,10.8,25,25,45
75.272727,10.4,24.5,24.5,44.4
75.393939,10,24.1,24.1,43.3
75.515152,9.7,23.7,23.7,42.6
75.636364,9.5,23.4,23.4,42.5
75.757576,9.1,23,23,42.3
75.878788,8.9,22.7,22.7,41.6
76,8.5,22.3,22.3,40.9
76.121212,8.4,22,22,40.2
76.242424,8.1,21.7,21.7,39.8
76.363636,7.9,21.3,21.3,39.3
76.484848,7.7,21,21,38.7
76.606061,7.5,20.7,20.7,38.3
76.727273,7.2,20.4,20.4,37.9
76.848485,7,20.1,20.1,37.5
76.969697,6.7,19.8,19.8,37.1
77.090909,6.6,19.5,19.5,36.8
77.212121,6.3,19.3,19.3,36.5
77.333333,6,19.1,19.1,36.2
77.454545,5.9,18.9,18.9,35.9
77.575758,5.6,18.7,18.7,35.5
77.69697,5.4,18.4,18.4,35.2
77.818182,5.3,18.2,18.2,34.9
77.939394,5.1,18.1,18.1,34.6
78.060606,4.9,17.8,17.8,34.3
78.181818,4.7,17.6,17.6,34
78.30303,4.5,17.4,17.4,33.7
78.424242,4.3,17.2,17.2,33.4
78.545455,4.2,17,17,33.1
78.666667,4,16.8,16.8,32.8
78.787879,3.9,16.6,16.6,32.6
78.909091,3.7,16.5,16.5,32.3
79.030303,3.6,16.3,16.3,32.3
79.151515,3.5,16.2,16.2,32.2
79.272727,3.4,16,16,32.1
79.393939,3.2,15.8,15.8,32
79.515152,3.1,15.7,15.7,31.9
79.636364,3,15.6,15.6,31.7
79.757576,2.9,15.5,15.5,31.5
79.878788,2.8,15.3,15.3,31.3
80,2.8,15.2,15.2,31.1
80.121212,2.7,15,15,30.9
80.242424,2.6,14.9,14.9,30.8
80.363636,2.5,14.8,14.8,30.7
80.484848,2.5,14.7,14.7,30.6
80.606061,2.4,14.6,14.6,30.5
80.727273,2.4,14.5,14.5,30.4
80.848485,2.3,14.4,14.4,30.1
80.969697,2.3,14.3,14.3,29.8
81.090909,2.3,14.2,14.2,29.6
81.212121,2.2,14.1,14.1,29.3
81.333333,2.2,13.9,13.9,28.9
81.454545,2.1,13.8,13.8,28.7
81.575758,2,13.7,13.7,28.5
81.69697,2,13.6,13.6,28.4
81.818182,1.9,13.5,13.5,28.2
81.939394,1.9,13.4,13.4,28
82.060606,1.9,13.3,13.3,27.8
82.181818,1.8,13.2,13.2,27.7
82.30303,1.8,13.1,13.1,27.6
82.424242,1.8,13,13,27.5
82.545455,1.7,12.9,12.9,27.4
82.666667,1.7,12.8,12.8,27.4
82.787879,1.6,12.7,12.7,27.3
82.909091,1.6,12.6,12.6,27.2
83.030303,1.6,12.5,12.5,27.1
83.151515,1.5,12.4,12.4,27
83.272727,1.5,12.4,12.4,26.9
83.393939,1.5,12.2,12.2,26.8
83.515152,1.5,12.2,12.2,26.6
83.636364,1.4,12.1,12.1,26.4
83.757576,1.4,12,12,26.2
83.878788,1.3,11.9,11.9,26
84,1.3,11.8,11.8,25.9
