iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1456.24,1,5.6796,0.757903,0.609706,40.6172,12.4684,47.6947,1,1,1,1,0.998743,1,1
2,1443.07,1,5.60358,0.25138,0.639696,48.8415,16.4688,57.5853,0.974679,0.974679,1.09635,0.974679,0.998743,0.974679,0.974679
3,1425.53,1,6.13824,0.534397,0.544297,48.617,16.8579,57.8488,0.95,0.95,1.06859,0.95,0.998743,0.95,0.95
4,1417.96,1,6.57646,0.660806,0.415329,46.1649,18.3265,54.601,0.925945,0.925945,1.20396,0.925945,0.998743,0.925945,0.925945
5,1402.81,1,5.32592,0.804873,0.602789,50.5552,14.1495,60.0227,0.9025,0.9025,1.17347,0.9025,0.998743,0.9025,0.9025
6,1393,1,5.42974,0.401694,0.582113,54.5514,13.5699,64.7244,0.879648,0.879648,1.14376,0.879648,0.998743,0.879648,0.879648
7,1383.68,1,6.09992,0.775804,0.488938,50.4079,15.0502,59.5394,0.857375,0.857375,1.1148,0.857375,0.998743,0.857375,0.857375
8,1368.43,1,6.17606,0.752065,0.538253,52.4825,14.659,61.9435,0.835666,0.835666,1.08657,0.835666,0.998743,0.835666,0.835666
9,1362.71,1,6.75459,0.91922,0.424146,53.7999,12.2467,63.6339,0.814506,0.814506,1.05906,0.814506,0.998743,0.814506,0.814506
10,1338.01,1,8.50066,1.37535,0.196125,52.9637,12.7005,62.8777,0.793882,0.793882,1.03224,0.793882,0.998743,0.793882,0.793882
11,1328.3,1,8.16503,0.8078,0.275073,52.2572,12.2436,61.7095,0.773781,0.773781,1.12404,0.773781,0.998743,0.773781,0.773781
12,1321.49,1,6.50268,0.608042,0.476579,49.7793,12.6902,58.4989,0.754188,0.754188,1.0967,0.754188,0.998743,0.754188,0.754188
13,1315.72,1,7.38477,0.676003,0.35538,47.1973,16.8768,55.4257,0.735092,0.735092,1.21281,0.735092,0.998743,0.735092,0.735092
14,1311.99,1,7.9229,0.682549,0.271951,49.0366,14.2767,57.4422,0.716479,0.716479,1.47538,0.716479,0.998743,0.716479,0.716479
15,1290.46,1,8.82316,0.712221,0.200224,47.2512,20.2173,55.555,0.698337,0.698337,1.43802,0.698337,0.998743,0.698337,0.698337
16,1286.66,1,6.51445,0.580282,0.467252,42.2797,29.4902,49.8826,0.680655,0.680655,1.40161,0.680655,0.998743,0.680655,0.680655
17,1275.57,1,7.14465,1.03369,0.366751,43.4904,20.8946,51.4192,0.66342,0.66342,1.43473,0.66342,0.998743,0.66342,0.66342
18,1270.54,1,8.06106,0.876758,0.261288,43.918,24.6437,51.9235,0.646622,0.646622,1.3984,0.646622,0.998743,0.646622,0.646622
19,1256.61,1,7.40464,1.10258,0.364182,45.1929,27.7018,53.1384,0.630249,0.630249,1.36299,0.630249,0.998743,0.630249,0.630249
20,1238.77,1,7.79207,1.06258,0.325202,43.6859,24.5753,51.5188,0.614291,0.614291,1.32848,0.614291,0.998743,0.614291,0.614291
21,1228.9,1,7.03172,0.839628,0.44172,44.3037,31.0467,52.3888,0.598737,0.598737,1.29484,0.598737,0.998743,0.598737,0.598737
22,1213.8,1,9.21893,0.997518,0.190823,47.6763,21.6319,56.5904,0.583577,0.583577,1.26206,0.583577,0.998743,0.583577,0.583577
23,1206.05,1,7.45613,1.02176,0.371731,51.6051,17.1066,61.8061,0.5688,0.5688,1.2301,0.5688,0.998743,0.5688,0.5688
24,1190.99,1,7.99026,1.02167,0.313226,51.0932,14.658,60.7738,0.554398,0.554398,1.19895,0.554398,0.998743,0.554398,0.554398
25,1178.26,1,7.97858,0.947756,0.310173,48.5921,12.118,57.8263,0.54036,0.54036,1.1686,0.54036,0.998743,0.54036,0.54036
26,1171.01,1,6.74707,0.987615,0.471252,50.378,13.3173,59.9549,0.526678,0.526678,1.14872,0.526678,0.998743,0.526678,0.526678
27,1153.09,1,7.84934,0.868976,0.33259,49.715,14.2459,59.3745,0.513342,0.513342,1.11964,0.513342,0.998743,0.513342,0.513342
28,1146.47,1,8.1502,0.805028,0.281947,50.9779,11.2773,60.4892,0.500344,0.500344,1.09129,0.500344,0.998743,0.500344,0.500344
29,1138.33,1,7.31834,0.913121,0.399542,50.3894,13.711,59.6946,0.487675,0.487675,1.12071,0.487675,0.998743,0.487675,0.487675
30,1125.13,1,7.80471,0.785832,0.343597,51.882,10.5995,61.4731,0.475327,0.475327,1.09233,0.475327,0.998743,0.475327,0.475327
31,1122.17,1,8.06557,0.953836,0.284192,50.6587,8.80863,59.8453,0.463291,0.463291,1.08534,0.463291,0.998743,0.463291,0.463291
32,1107.63,1,8.08149,0.925234,0.285917,49.0464,9.48708,57.9279,0.45156,0.45156,1.05785,0.45156,0.998743,0.45156,0.45156
33,1090.68,1,7.07126,0.800845,0.432069,53.7373,6.98822,63.1501,0.440127,0.440127,1.03107,0.440127,0.998743,0.440127,0.440127
34,1080.27,1,7.48515,0.805788,0.344918,52.4165,6.56115,61.5309,0.428982,0.428982,1.01222,0.428982,0.998743,0.428982,0.428982
35,1075.98,1,6.65913,0.840816,0.463061,53.0568,6.83921,62.4803,0.41812,0.41812,0.986588,0.41812,0.998743,0.41812,0.41812
36,1066.12,1,7.24963,0.971436,0.39036,52.2599,8.02626,61.4446,0.407533,0.407533,0.961607,0.407533,0.998743,0.407533,0.407533
37,1066.2,1,7.07714,0.840739,0.413202,51.3545,7.45935,60.5264,0.397214,0.397214,0.937259,0.397214,0.998743,0.397214,0.397214
38,1043.23,1,7.55517,0.818064,0.345343,52.4754,7.07688,62.0844,0.387157,0.387157,0.913527,0.387157,0.998743,0.387157,0.387157
39,1029.13,1,7.23312,0.808915,0.397912,49.3705,8.38905,58.5053,0.377354,0.377354,0.930831,0.377354,0.998743,0.377354,0.377354
40,1023.35,1,7.02339,0.858294,0.450891,51.1823,7.51092,60.7485,0.367799,0.367799,0.907262,0.367799,0.998743,0.367799,0.367799
41,1020.09,1,7.20221,0.977373,0.41428,49.3701,8.4802,58.7041,0.358486,0.358486,0.916664,0.358486,0.998743,0.358486,0.358486
42,1005.86,1,7.45732,0.970268,0.377662,48.2596,8.85573,57.5215,0.349409,0.349409,0.893453,0.349409,0.998743,0.349409,0.349409
43,990.212,1,7.49732,0.868904,0.35094,47.8686,9.63416,57.2743,0.340562,0.340562,0.87083,0.340562,0.998743,0.340562,0.340562
44,981.007,1,7.86678,0.837064,0.330001,47.2893,11.9139,56.837,0.331938,0.331938,0.848781,0.331938,0.998743,0.331938,0.331938
45,972.736,1,8.19454,0.81563,0.292806,47.5939,11.6294,57.1541,0.323534,0.323534,0.827289,0.323534,0.998743,0.323534,0.323534
46,959.362,1,7.55916,0.844995,0.362355,48.9386,10.2227,59.0408,0.315341,0.315341,0.806342,0.315341,0.998743,0.315341,0.315341
47,953.186,1,8.19331,0.821993,0.288619,48.2754,10.8489,58.2228,0.307357,0.307357,0.811289,0.307357,0.998743,0.307357,0.307357
48,945.474,1,7.18199,0.916277,0.408713,48.0946,9.97086,57.6904,0.299574,0.299574,0.827976,0.299574,0.998743,0.299574,0.299574
49,938.536,1,7.37592,0.796671,0.379359,50.4796,9.45298,60.5385,0.291989,0.291989,0.811511,0.291989,0.998743,0.291989,0.291989
50,926.64,1,6.97688,0.693706,0.460943,50.5968,10.0792,60.8173,0.284596,0.284596,0.790963,0.284596,0.998743,0.284596,0.284596
