Cl_pop,V1_pop,Q_pop,V2_pop
5.182075,21.012761,5.766212,22.75173
2.591037,21.012761,5.766212,22.75173
7.773112,21.012761,5.766212,22.75173
5.182075,10.506381,5.766212,22.75173
2.591037,10.506381,5.766212,22.75173
7.773112,10.506381,5.766212,22.75173
5.182075,31.519142,5.766212,22.75173
2.591037,31.519142,5.766212,22.75173
7.773112,31.519142,5.766212,22.75173
5.182075,21.012761,2.883106,22.75173
2.591037,21.012761,2.883106,22.75173
7.773112,21.012761,2.883106,22.75173
5.182075,10.506381,2.883106,22.75173
2.591037,10.506381,2.883106,22.75173
7.773112,10.506381,2.883106,22.75173
5.182075,31.519142,2.883106,22.75173
2.591037,31.519142,2.883106,22.75173
7.773112,31.519142,2.883106,22.75173
5.182075,21.012761,8.649318,22.75173
2.591037,21.012761,8.649318,22.75173
7.773112,21.012761,8.649318,22.75173
5.182075,10.506381,8.649318,22.75173
2.591037,10.506381,8.649318,22.75173
7.773112,10.506381,8.649318,22.75173
5.182075,31.519142,8.649318,22.75173
2.591037,31.519142,8.649318,22.75173
7.773112,31.519142,8.649318,22.75173
5.182075,21.012761,5.766212,11.375865
2.591037,21.012761,5.766212,11.375865
7.773112,21.012761,5.766212,11.375865
5.182075,10.506381,5.766212,11.375865
2.591037,10.506381,5.766212,11.375865
7.773112,10.506381,5.766212,11.375865
5.182075,31.519142,5.766212,11.375865
2.591037,31.519142,5.766212,11.375865
7.773112,31.519142,5.766212,11.375865
5.182075,21.012761,2.883106,11.375865
2.591037,21.012761,2.883106,11.375865
7.773112,21.012761,2.883106,11.375865
5.182075,10.506381,2.883106,11.375865
2.591037,10.506381,2.883106,11.375865
7.773112,10.506381,2.883106,11.375865
5.182075,31.519142,2.883106,11.375865
2.591037,31.519142,2.883106,11.375865
7.773112,31.519142,2.883106,11.375865
5.182075,21.012761,8.649318,11.375865
2.591037,21.012761,8.649318,11.375865
7.773112,21.012761,8.649318,11.375865
5.182075,10.506381,8.649318,11.375865
2.591037,10.506381,8.649318,11.375865
7.773112,10.506381,8.649318,11.375865
5.182075,31.519142,8.649318,11.375865
2.591037,31.519142,8.649318,11.375865
7.773112,31.519142,8.649318,11.375865
5.182075,21.012761,5.766212,34.127595
2.591037,21.012761,5.766212,34.127595
7.773112,21.012761,5.766212,34.127595
5.182075,10.506381,5.766212,34.127595
2.591037,10.506381,5.766212,34.127595
7.773112,10.506381,5.766212,34.127595
5.182075,31.519142,5.766212,34.127595
2.591037,31.519142,5.766212,34.127595
7.773112,31.519142,5.766212,34.127595
5.182075,21.012761,2.883106,34.127595
2.591037,21.012761,2.883106,34.127595
7.773112,21.012761,2.883106,34.127595
5.182075,10.506381,2.883106,34.127595
2.591037,10.506381,2.883106,34.127595
7.773112,10.506381,2.883106,34.127595
5.182075,31.519142,2.883106,34.127595
2.591037,31.519142,2.883106,34.127595
7.773112,31.519142,2.883106,34.127595
5.182075,21.012761,8.649318,34.127595
2.591037,21.012761,8.649318,34.127595
7.773112,21.012761,8.649318,34.127595
5.182075,10.506381,8.649318,34.127595
2.591037,10.506381,8.649318,34.127595
7.773112,10.506381,8.649318,34.127595
5.182075,31.519142,8.649318,34.127595
2.591037,31.519142,8.649318,34.127595
7.773112,31.519142,8.649318,34.127595
