Cl_pop,1,0.228,-0.115,-0.0673,-0.0252,-0.0346,0.0499,0.156,-0.032,0.0197,0.0177,0.0481,0.131,-0.231,0.0377
V1_pop,0.228,1,-0.872,-0.0284,-0.504,-0.856,0.827,0.567,-0.86,0.878,-0.804,-0.752,0.45,-0.404,0.564
Q_pop,-0.115,-0.872,1,0.177,0.544,0.915,-0.892,-0.647,0.921,-0.935,0.844,0.798,-0.527,0.492,-0.607
V2_pop,-0.0673,-0.0284,0.177,1,0.158,0.269,-0.292,-0.455,0.266,-0.232,0.122,0.0291,-0.44,0.657,-0.169
omega_Cl,-0.0252,-0.504,0.544,0.158,1,0.617,-0.547,-0.368,0.619,-0.595,0.557,0.447,-0.261,0.351,-0.381
corr_V1_Cl,-0.0346,-0.856,0.915,0.269,0.617,1,-0.9,-0.585,0.949,-0.942,0.812,0.753,-0.554,0.514,-0.589
corr_Q_Cl,0.0499,0.827,-0.892,-0.292,-0.547,-0.9,1,0.571,-0.899,0.946,-0.806,-0.779,0.553,-0.524,0.559
corr_V2_Cl,0.156,0.567,-0.647,-0.455,-0.368,-0.585,0.571,1,-0.584,0.584,-0.423,-0.377,0.471,-0.605,0.468
omega_V1,-0.032,-0.86,0.921,0.266,0.619,0.949,-0.899,-0.584,1,-0.949,0.897,0.752,-0.461,0.548,-0.599
corr_V1_Q,0.0197,0.878,-0.935,-0.232,-0.595,-0.942,0.946,0.584,-0.949,1,-0.902,-0.792,0.524,-0.5,0.599
corr_V2_V1,0.0177,-0.804,0.844,0.122,0.557,0.812,-0.806,-0.423,0.897,-0.902,1,0.685,-0.228,0.416,-0.556
omega_Q,0.0481,-0.752,0.798,0.0291,0.447,0.753,-0.779,-0.377,0.752,-0.792,0.685,1,-0.459,0.214,-0.475
corr_V2_Q,0.131,0.45,-0.527,-0.44,-0.261,-0.554,0.553,0.471,-0.461,0.524,-0.228,-0.459,1,-0.564,0.296
omega_V2,-0.231,-0.404,0.492,0.657,0.351,0.514,-0.524,-0.605,0.548,-0.5,0.416,0.214,-0.564,1,-0.37
b,0.0377,0.564,-0.607,-0.169,-0.381,-0.589,0.559,0.468,-0.599,0.599,-0.556,-0.475,0.296,-0.37,1
