iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,2020.86,1,5,25,5,25,1.5,1.5,1.5,1.5,3,3
2,1997.3,1,4.03015,24.6648,5.83172,30.9325,1.46202,1.61187,1.5339,1.46202,2.92404,2.92404
3,1989.91,1,4.12109,26.3646,7.07931,48.4879,1.425,1.57105,1.61164,1.5158,2.85,2.85
4,1969.62,1,2.94215,42.9684,9.39623,79.6387,1.38892,1.55695,1.57084,1.47742,2.77784,2.77784
5,1964.15,1,2.81956,71.333,9.37568,90.0087,1.35375,1.51753,1.53106,1.44001,2.7075,2.7075
6,1961.59,1,2.77404,56.9832,7.41374,95.0336,1.31947,1.5998,1.53576,1.40355,2.63894,2.63894
7,1940.91,1,2.62408,69.6278,8.43217,122.592,1.28606,1.55929,1.49871,1.36801,2.57212,2.57212
8,1925.92,1,2.40191,68.7927,9.44496,114.663,1.2535,1.51981,1.46076,1.41678,2.507,2.507
9,1935.48,1,2.27338,83.5834,7.38994,122.186,1.22176,1.48133,1.7597,1.48875,2.44352,2.44352
10,1924.83,1,1.8231,74.2994,8.36936,155.182,1.19299,1.44382,1.79639,1.45105,2.38165,2.38165
11,1913.43,1,2.2855,96.6464,5.09727,145.124,1.16278,1.40726,1.75091,1.55531,2.32134,2.32134
12,1895.2,1,2.1611,97.3338,4.87358,136.375,1.13334,1.37163,1.70657,1.51593,2.26257,2.26257
13,1889.46,1,2.45057,71.7901,7.89406,196.553,1.10464,1.3369,1.78817,1.56197,2.20528,2.20528
14,1884.29,1,2.24151,85.0842,5.31495,195.596,1.07667,1.30305,1.93635,1.60628,2.14944,2.14944
15,1863.22,1,2.16311,71.9556,5.86377,206.311,1.04941,1.27005,1.90002,1.5656,2.09501,2.09501
16,1857.88,1,2.09895,68.7031,8.6034,133.309,1.02284,1.23789,1.85191,1.52596,2.04197,2.04197
17,1835.32,1,2.17181,59.3057,6.43483,175.295,0.996942,1.20655,1.80502,1.48732,1.99026,1.99026
18,1833.39,1,2.55079,51.8084,6.71604,157.175,0.971698,1.176,1.75931,1.53885,1.93987,1.93987
19,1809.69,1,3.06623,49.9225,6.08791,134.873,0.947094,1.14622,1.71477,1.49989,1.89075,1.89075
20,1798.58,1,3.04581,52.3154,5.56213,159.287,0.923113,1.1172,1.67135,1.46191,1.84287,1.84287
21,1804.09,1,2.94707,55.8679,8.04536,135.578,0.89974,1.08891,1.69043,1.42489,1.79621,1.79621
22,1780.01,1,2.88197,47.7792,7.89603,157.515,0.876958,1.06134,1.64762,1.38882,1.75073,1.75073
23,1781.44,1,2.78033,40.3471,7.35213,208.079,0.854753,1.05843,1.87375,1.35365,1.7064,1.7064
24,1762.46,1,2.89024,44.5678,6.57071,279.854,0.83311,1.03163,1.90051,1.31937,1.66319,1.66319
25,1753.08,1,3.90551,42.7172,7.6081,229.591,0.812015,1.00551,1.85239,1.28597,1.62108,1.62108
26,1741.65,1,4.04989,41.6872,9.16717,268.807,0.791454,0.980048,1.82221,1.28287,1.58003,1.58003
27,1730.67,1,4.05276,41.22,7.00495,236.318,0.771414,0.955233,1.77607,1.25038,1.54003,1.54003
28,1710.04,1,3.67221,55.0917,5.59821,193.466,0.751882,0.931046,1.7311,1.21872,1.50103,1.50103
29,1707.5,1,3.95842,43.3806,4.93856,143.261,0.732844,0.907471,1.7695,1.21415,1.46302,1.46302
30,1686.82,1,4.23776,45.5063,3.71659,175.501,0.714288,0.884494,1.72469,1.18341,1.42598,1.42598
31,1684.47,1,3.75455,44.5111,2.30114,172.229,0.696201,0.862098,1.68102,1.19573,1.38987,1.38987
32,1669.68,1,3.8701,42.4332,3.36575,136.127,0.678573,0.840269,1.63846,1.20514,1.35468,1.35468
33,1662.51,1,4.18501,37.0515,4.03833,129.307,0.661391,0.843193,1.74634,1.17462,1.32038,1.32038
34,1656.25,1,4.18974,41.1249,4.23773,124.048,0.644645,0.821843,1.85662,1.14488,1.28695,1.28695
35,1631.29,1,4.37782,33.4918,4.19866,154.542,0.628322,0.801034,1.80961,1.11589,1.25436,1.25436
36,1631.06,1,4.2256,37.5401,6.17135,137.768,0.612412,0.780751,1.83648,1.08764,1.2226,1.2226
37,1619.77,1,3.8616,43.8093,5.97073,129.211,0.596906,0.792886,1.88503,1.0601,1.19164,1.19164
38,1617.59,1,3.96305,40.9694,6.13755,104.426,0.594852,0.77281,1.8373,1.16006,1.16147,1.16147
39,1602.67,1,4.04051,38.4539,4.68088,122.167,0.57979,0.753242,1.90319,1.13069,1.13206,1.13206
40,1587.47,1,4.40481,36.6691,5.66191,112.566,0.565109,0.734169,1.99038,1.10206,1.1034,1.1034
41,1575.56,1,4.39218,41.1994,10.2051,131.168,0.5508,0.715579,1.93998,1.07415,1.07546,1.07546
42,1561.84,1,4.51916,37.4665,8.28154,121.952,0.536854,0.697461,1.89086,1.04695,1.04823,1.04823
43,1545.14,1,4.7105,34.3837,6.3952,116.974,0.52326,0.679801,1.84298,1.02045,1.02168,1.02168
44,1530.09,1,4.42033,31.5404,5.70241,119.76,0.510011,0.662588,1.79632,0.994607,0.995815,0.995815
45,1524.46,1,4.53357,28.2261,4.93757,100.71,0.497097,0.64581,1.82863,0.969423,0.970601,0.970601
46,1513.47,1,4.38691,30.6872,3.43193,97.4217,0.48451,0.629458,1.78233,0.944877,0.946024,0.946024
47,1501.82,1,4.27973,30.3794,4.68333,120.434,0.472242,0.61352,1.7372,0.920952,0.922071,0.922071
48,1485.92,1,4.42704,29.0835,4.29929,119.394,0.460285,0.597985,2.00511,0.897633,0.898723,0.898723
49,1488.57,1,4.50704,31.9342,4.61823,123.891,0.44863,0.582844,1.95434,0.874904,0.875967,0.875967
50,1467.36,1,4.37251,31.1354,4.16875,118.176,0.437271,0.568086,1.93396,0.852751,0.853787,0.853787
