Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression
-4.26803,-0.0379822,-0.138963,-1.05354e-07,-0.00323594,-0.00323594,-0.887143,0.0375273,-0.388636,-1.05354e-07,-0.00398032,-0.00398032,-0.887143,2.10122e-08,-4.37324e-10,-4.26803,-2.74111e-08,-3.92281e-10
-4.19529,-0.0371775,-0.136597,-1.03101e-07,-0.00316669,-0.00316669,-0.874502,0.0137008,-0.383039,-1.03101e-07,-0.00380645,-0.00380645,-0.874502,1.49099e-08,-4.31579e-10,-4.19529,-2.53503e-08,-3.86184e-10
-4.12256,-0.0363728,-0.134231,-1.00847e-07,-0.00309744,-0.00309744,-0.86186,-0.00589288,-0.377441,-1.00847e-07,-0.00363259,-0.00363259,-0.86186,1.02711e-08,-4.25834e-10,-4.12256,-2.32894e-08,-3.80087e-10
-4.04982,-0.035568,-0.131865,-9.85932e-08,-0.00302819,-0.00302819,-0.849219,-0.0205614,-0.371844,-9.85932e-08,-0.00345872,-0.00345872,-0.849219,7.18509e-09,-4.2009e-10,-4.04982,-2.12286e-08,-3.7399e-10
-3.97708,-0.0347633,-0.129499,-9.63395e-08,-0.00295894,-0.00295894,-0.836577,-0.033352,-0.366247,-9.63395e-08,-0.00328485,-0.00328485,-0.836577,4.67258e-09,-4.14345e-10,-3.97708,-1.91677e-08,-3.67893e-10
-3.90435,-0.0339586,-0.127133,-9.40859e-08,-0.00288969,-0.00288969,-0.823935,-0.044539,-0.36065,-9.40859e-08,-0.00311099,-0.00311099,-0.823935,2.59844e-09,-4.086e-10,-3.90435,-1.71069e-08,-3.61796e-10
-3.83161,-0.0331539,-0.124767,-9.18322e-08,-0.00282044,-0.00282044,-0.811294,-0.0513721,-0.355053,-9.18322e-08,-0.00293712,-0.00293712,-0.811294,1.63147e-09,-4.02855e-10,-3.83161,-1.5046e-08,-3.55699e-10
-3.75887,-0.0323491,-0.122401,-8.95786e-08,-0.00275119,-0.00275119,-0.798652,-0.0557259,-0.349456,-8.95786e-08,-0.00276325,-0.00276325,-0.798652,1.14237e-09,-3.97111e-10,-3.75887,-1.29851e-08,-3.49602e-10
-3.68613,-0.0315444,-0.120035,-8.73249e-08,-0.00268194,-0.00268194,-0.786011,-0.0579564,-0.343859,-8.73249e-08,-0.00258939,-0.00258939,-0.786011,9.41381e-10,-3.91366e-10,-3.68613,-1.09243e-08,-3.43506e-10
-3.6134,-0.0307397,-0.117669,-8.50712e-08,-0.00261269,-0.00261269,-0.773369,-0.0583257,-0.338262,-8.50712e-08,-0.00241552,-0.00241552,-0.773369,8.51257e-10,-3.85621e-10,-3.6134,-8.86343e-09,-3.37409e-10
-3.54066,-0.0296702,-0.115304,-8.28176e-08,-0.00254344,-0.00254344,-0.760728,-0.0571634,-0.332665,-8.28176e-08,-0.00224166,-0.00224166,-0.760728,6.85658e-10,-3.79877e-10,-3.54066,-7.38774e-09,-3.31312e-10
-3.46792,-0.0283675,-0.112938,-8.05639e-08,-0.00247419,-0.00247419,-0.748086,-0.0547806,-0.327068,-8.05639e-08,-0.00206779,-0.00206779,-0.748086,2.60676e-10,-3.74132e-10,-3.46792,-6.46564e-09,-3.25215e-10
-3.39519,-0.027047,-0.110572,-7.83103e-08,-0.00240494,-0.00240494,-0.735444,-0.0506935,-0.321471,-7.83103e-08,-0.00189392,-0.00189392,-0.735444,-5.3737e-10,-3.68387e-10,-3.39519,-5.69408e-09,-3.19118e-10
-3.32245,-0.0257317,-0.108206,-7.60566e-08,-0.00233569,-0.00233569,-0.722803,-0.0412938,-0.315874,-7.60566e-08,-0.00172006,-0.00172006,-0.722803,-1.54552e-09,-3.62643e-10,-3.32245,-5.04418e-09,-3.13021e-10
-3.24971,-0.0244372,-0.10584,-7.38029e-08,-0.00226644,-0.00226644,-0.710161,-0.0222055,-0.310277,-7.38029e-08,-0.00154619,-0.00154619,-0.710161,-2.53302e-09,-3.56898e-10,-3.24971,-4.51692e-09,-3.06924e-10
-3.17698,-0.0231877,-0.103474,-7.15493e-08,-0.00219719,-0.00219719,-0.69752,0.00698892,-0.30468,-7.15493e-08,-0.00137232,-0.00137232,-0.69752,-3.32654e-09,-3.51153e-10,-3.17698,-4.10011e-09,-3.00827e-10
-3.10424,-0.0219888,-0.101108,-6.92956e-08,-0.00212794,-0.00212794,-0.684878,0.034605,-0.299083,-6.92956e-08,-0.00119846,-0.00119846,-0.684878,-3.92881e-09,-3.45408e-10,-3.10424,-3.76101e-09,-2.9473e-10
-3.0315,-0.0208718,-0.0987418,-6.7042e-08,-0.00205869,-0.00205869,-0.672236,0.046893,-0.293486,-6.7042e-08,-0.00102459,-0.00102459,-0.672236,-4.37542e-09,-3.39664e-10,-3.0315,-3.5033e-09,-2.88633e-10
-2.95876,-0.0198482,-0.0963759,-6.47883e-08,-0.00198944,-0.00198944,-0.659595,0.0374568,-0.287889,-6.47883e-08,-0.000850726,-0.000850726,-0.659595,-4.69005e-09,-3.33919e-10,-2.95876,-3.30545e-09,-2.82536e-10
-2.88603,-0.0189388,-0.0940099,-6.25347e-08,-0.00192019,-0.00192019,-0.646953,0.00854516,-0.282292,-6.25347e-08,-0.00067686,-0.00067686,-0.646953,-4.88212e-09,-3.28174e-10,-2.88603,-3.15555e-09,-2.76439e-10
