parameter,mn,sd,med,q2.5,q97.5
CLHat,5.232481334502632,0.379223370126692,5.224369936125677,4.52624341360708,6.01060806494135
QHat,6.6856801378893636,1.9741956966337344,6.30954354419279,3.8885759375153417,11.361043693974086
V1Hat,20.681337388979134,2.128531765972403,20.643372793588906,16.64518889433829,25.025820665667194
V2Hat,26.779784193570098,6.958947462436317,25.603776943592635,18.42178784582428,42.29707708884732
"rho[3,4]",0.33048524355475317,0.33010262832911097,0.372758686852363,-0.4033527980698776,0.8452010649599888
beta_Cl_logtCLCRMLMIN,0.6293771251595821,0.3194621582002981,0.6362605227327369,-0.061056053376694536,1.2482129279556176
omega[1],0.26108692262295524,0.06269819127812314,0.25113141267715355,0.1671426798518384,0.40512156641489777
omega[2],0.7329203457211827,0.22593618788259806,0.7111082258774014,0.3581289968412555,1.2461973260061228
omega[3],0.3026517508412423,0.08515241883588248,0.291055430960735,0.17266683443578312,0.4965648978218962
omega[4],0.3730055795273689,0.2195332653704773,0.34955158647506424,0.04127710068059849,0.8760391755386708
a1,0.30868111655052866,0.02365112496168644,0.3075376876628072,0.2671030938045181,0.36017754060041574
a2,0.06390864944180855,0.007627562817111897,0.06314512132392333,0.05154665651066871,0.08093427572318021
"rho1[3,4]",0.33048524355475317,0.33010262832911097,0.372758686852363,-0.4033527980698776,0.8452010649599888
k10,0.2558483387916164,0.03374558279012596,0.2528350704498804,0.19927663481154542,0.32969660354006747
k12,0.33021978371627125,0.11893182688536685,0.30592883700831586,0.17531404610544848,0.6226062539695636
k21,0.20480667226306545,0.043822408322569645,0.20436608743853552,0.1171514414661523,0.2939538606040892
alpha,0.7166318729911032,0.15862152910496985,0.6928737085802111,0.4822860949110907,1.091844136054709
beta,0.0742429217798499,0.016597789802007903,0.07393847073142801,0.04290609014770369,0.10826982194918965
t_alpha,1.0099527673678956,0.20470088427646102,1.0003946929123546,0.6348407897691467,1.4372116662915855
t_beta,9.88809998648846,2.826998651216747,9.374648950372054,6.4020349483248005,16.154984058685773
A,38.835145085804925,5.18825690032255,38.428487719297955,29.78248914691365,50.19360674442412
B,10.03693160845005,2.0122489353713555,10.01258813115006,6.105383224062185,14.099773656410433
