fi_abscissa,fi_pdf,Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q2_abscissa,Q2_pdf,V2_abscissa,V2_pdf,Q3_abscissa,Q3_pdf,V3_abscissa,V3_pdf,split
0.495381,0.872867,5.20288,0.0912691,27.303,0.019162,15.7118,25856.8,15.275,0.0117611,3.65167,239978,1.74978,922390,All
0.566302,0.218217,6.05071,0.0273807,31.3413,0.0172458,15.7118,77570.4,42.9086,0.0148413,3.65167,119989,1.74978,691793,All
0.637223,0,6.89854,0.0638884,35.3796,0.0325754,15.7118,155141,70.5421,0.00700063,3.65167,719934,1.74978,1.84478e+06,All
0.708144,0.218217,7.74638,0,39.4178,0.0479049,15.7118,310282,98.1757,0.00420038,3.65167,1.31988e+06,1.74978,3.68956e+06,All
0.779065,1.52752,8.59421,0.0456346,43.4561,0.0498211,15.7118,284425,125.809,0.000840075,3.65167,2.51977e+06,1.74978,3.92016e+06,All
0.849987,3.16414,9.44204,0.228173,47.4943,0.0325754,15.7118,698134,153.443,0,3.65167,4.31961e+06,1.74978,4.61195e+06,All
0.920908,3.70969,10.2899,0.219046,51.5326,0.0325754,15.7118,723990,181.076,0.000280025,3.65167,2.27979e+06,1.74978,3.45896e+06,All
0.991829,1.41841,11.1377,0.109523,55.5708,0.0153296,15.7118,672277,208.71,0,3.65167,2.51977e+06,1.74978,4.84255e+06,All
1.06275,1.41841,11.9855,0.219046,59.6091,0.0019162,15.7118,310282,236.344,0,3.65167,1.19989e+06,1.74978,2.76717e+06,All
1.13367,1.41841,12.8334,0.173411,63.6473,0.0019162,15.7118,129284,263.977,0,3.65167,839923,1.74978,3.45896e+06,All
1.20459,1.09108,13.6812,0.0638884,67.6856,0.0114972,15.7118,180998,291.611,0,3.65167,599945,1.74978,1.15299e+06,All
1.27551,0.218217,14.529,0.0365076,71.7239,0.00574859,15.7118,51713.6,319.244,0.000280025,3.65167,119989,1.74978,922390,All
