fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
0.817375,0.2,9.26322,0.2,35.374,0.2,15.7118,0.2,22.5998,0.207143,3.65167,0.2,1.74978,0.2,All
0.818164,0.207143,9.48964,0.207143,36.1976,0.207143,15.7118,0.207143,22.7194,0.214286,3.65167,0.207143,1.74978,0.207143,All
0.822892,0.214286,9.51254,0.214286,36.2309,0.214286,15.7118,0.214286,22.8433,0.221429,3.65167,0.214286,1.74978,0.214286,All
0.829303,0.221429,9.53869,0.221429,36.3458,0.221429,15.7118,0.221429,22.8637,0.228571,3.65167,0.221429,1.74978,0.221429,All
0.832286,0.228571,9.53919,0.228571,36.6927,0.228571,15.7118,0.228571,24.7229,0.235714,3.65167,0.228571,1.74978,0.228571,All
0.833985,0.235714,9.5511,0.235714,36.9416,0.235714,15.7118,0.235714,25.2547,0.242857,3.65167,0.235714,1.74978,0.235714,All
0.838161,0.242857,9.56927,0.242857,36.9817,0.242857,15.7118,0.242857,25.3996,0.25,3.65167,0.242857,1.74978,0.242857,All
0.839029,0.25,9.58199,0.25,37.0738,0.25,15.7118,0.25,25.8515,0.257143,3.65167,0.25,1.74978,0.25,All
0.844574,0.257143,9.62673,0.257143,37.128,0.257143,15.7118,0.257143,26.6125,0.264286,3.65167,0.257143,1.74978,0.257143,All
0.844763,0.264286,9.62849,0.264286,37.7161,0.264286,15.7118,0.264286,26.8589,0.271429,3.65167,0.264286,1.74978,0.264286,All
0.846476,0.271429,9.64847,0.271429,37.8142,0.271429,15.7118,0.271429,27.0548,0.278571,3.65167,0.271429,1.74978,0.271429,All
0.850628,0.278571,9.66149,0.278571,37.9228,0.278571,15.7118,0.278571,27.7253,0.285714,3.65167,0.278571,1.74978,0.278571,All
0.851358,0.285714,9.67805,0.285714,38.1791,0.285714,15.7118,0.285714,28.3611,0.292857,3.65167,0.285714,1.74978,0.285714,All
0.85262,0.292857,9.75652,0.292857,38.5348,0.292857,15.7118,0.292857,28.5443,0.3,3.65167,0.292857,1.74978,0.292857,All
0.854711,0.3,9.76136,0.3,38.6883,0.3,15.7118,0.3,29.2414,0.307143,3.65167,0.3,1.74978,0.3,All
0.856392,0.307143,9.77094,0.307143,38.7256,0.307143,15.7118,0.307143,30.0266,0.314286,3.65167,0.307143,1.74978,0.307143,All
0.858705,0.314286,9.79761,0.314286,38.923,0.314286,15.7118,0.314286,30.2099,0.321429,3.65167,0.314286,1.74978,0.314286,All
0.859445,0.321429,9.79997,0.321429,38.9773,0.321429,15.7118,0.321429,30.8348,0.328571,3.65167,0.321429,1.74978,0.321429,All
0.860319,0.328571,9.81924,0.328571,39.0338,0.328571,15.7118,0.328571,31.4279,0.335714,3.65167,0.328571,1.74978,0.328571,All
0.863732,0.335714,9.84673,0.335714,39.036,0.335714,15.7118,0.335714,31.9065,0.342857,3.65167,0.335714,1.74978,0.335714,All
0.866993,0.342857,9.85189,0.342857,39.4955,0.342857,15.7118,0.342857,32.3101,0.35,3.65167,0.342857,1.74978,0.342857,All
0.870285,0.35,9.855,0.35,39.7646,0.35,15.7118,0.35,32.411,0.357143,3.65167,0.35,1.74978,0.35,All
0.874315,0.357143,9.8582,0.357143,40.1029,0.357143,15.7118,0.357143,32.7525,0.364286,3.65167,0.357143,1.74978,0.357143,All
0.87494,0.364286,9.87165,0.364286,40.2255,0.364286,15.7118,0.364286,32.8444,0.371429,3.65167,0.364286,1.74978,0.364286,All
0.877824,0.371429,9.90598,0.371429,40.2511,0.371429,15.7118,0.371429,33.1885,0.378571,3.65167,0.371429,1.74978,0.371429,All
0.877942,0.378571,9.96844,0.378571,40.2714,0.378571,15.7118,0.378571,34.1282,0.385714,3.65167,0.378571,1.74978,0.378571,All
0.882216,0.385714,9.98439,0.385714,40.278,0.385714,15.7118,0.385714,34.347,0.392857,3.65167,0.385714,1.74978,0.385714,All
0.885416,0.392857,10.1321,0.392857,40.4431,0.392857,15.7118,0.392857,34.806,0.4,3.65167,0.392857,1.74978,0.392857,All
0.885911,0.4,10.1354,0.4,40.4644,0.4,15.7118,0.4,35.2126,0.407143,3.65167,0.4,1.74978,0.4,All
0.886642,0.407143,10.1559,0.407143,40.6188,0.407143,15.7118,0.407143,35.3253,0.414286,3.65167,0.407143,1.74978,0.407143,All
0.888298,0.414286,10.1884,0.414286,40.7927,0.414286,15.7118,0.414286,36.5431,0.421429,3.65167,0.414286,1.74978,0.414286,All
0.888414,0.421429,10.215,0.421429,40.8815,0.421429,15.7118,0.421429,36.5436,0.428571,3.65167,0.421429,1.74978,0.421429,All
0.890444,0.428571,10.2711,0.428571,41.1867,0.428571,15.7118,0.428571,36.6098,0.435714,3.65167,0.428571,1.74978,0.428571,All
0.891404,0.435714,10.3144,0.435714,41.3431,0.435714,15.7118,0.435714,36.626,0.442857,3.65167,0.435714,1.74978,0.435714,All
0.891544,0.442857,10.3242,0.442857,41.5906,0.442857,15.7118,0.442857,36.8714,0.45,3.65167,0.442857,1.74978,0.442857,All
0.904667,0.45,10.3435,0.45,41.8112,0.45,15.7118,0.45,36.8869,0.457143,3.65167,0.45,1.74978,0.45,All
0.908658,0.457143,10.3962,0.457143,42.0645,0.457143,15.7118,0.457143,36.9795,0.464286,3.65167,0.457143,1.74978,0.457143,All
0.911551,0.464286,10.3986,0.464286,42.5375,0.464286,15.7118,0.464286,37.4081,0.471429,3.65167,0.464286,1.74978,0.464286,All
0.911555,0.471429,10.4098,0.471429,42.5424,0.471429,15.7118,0.471429,39.6237,0.478571,3.65167,0.471429,1.74978,0.471429,All
0.915478,0.478571,10.447,0.478571,42.5762,0.478571,15.7118,0.478571,39.7684,0.485714,3.65167,0.478571,1.74978,0.478571,All
0.915515,0.485714,10.4878,0.485714,42.7234,0.485714,15.7118,0.485714,40.0123,0.492857,3.65167,0.485714,1.74978,0.485714,All
0.915759,0.492857,10.562,0.492857,42.9367,0.492857,15.7118,0.492857,40.2316,0.5,3.65167,0.492857,1.74978,0.492857,All
0.919553,0.5,10.5675,0.5,43.1018,0.5,15.7118,0.5,42.7594,0.507143,3.65167,0.5,1.74978,0.5,All
0.922724,0.507143,10.5824,0.507143,43.3447,0.507143,15.7118,0.507143,43.44,0.514286,3.65167,0.507143,1.74978,0.507143,All
0.930788,0.514286,10.5984,0.514286,43.4976,0.514286,15.7118,0.514286,43.9097,0.521429,3.65167,0.514286,1.74978,0.514286,All
0.932055,0.521429,10.6868,0.521429,43.7371,0.521429,15.7118,0.521429,44.1954,0.528571,3.65167,0.521429,1.74978,0.521429,All
0.932697,0.528571,10.7007,0.528571,44.1326,0.528571,15.7118,0.528571,45.1224,0.535714,3.65167,0.528571,1.74978,0.528571,All
0.936286,0.535714,10.7147,0.535714,44.1959,0.535714,15.7118,0.535714,45.2844,0.542857,3.65167,0.535714,1.74978,0.535714,All
0.937002,0.542857,10.7541,0.542857,44.2469,0.542857,15.7118,0.542857,45.3775,0.55,3.65167,0.542857,1.74978,0.542857,All
0.937138,0.55,10.9966,0.55,44.4366,0.55,15.7118,0.55,45.5856,0.557143,3.65167,0.55,1.74978,0.55,All
0.93802,0.557143,11.0276,0.557143,44.5561,0.557143,15.7118,0.557143,45.9562,0.564286,3.65167,0.557143,1.74978,0.557143,All
0.938572,0.564286,11.0619,0.564286,44.5845,0.564286,15.7118,0.564286,46.4078,0.571429,3.65167,0.564286,1.74978,0.564286,All
