fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
0.371381,0.000552528,9.61906e-06,3.66451,0.000312148,7.61432e-05,16.984,2.52765e-05,2.31315e-05,15.7058,2.22045e-16,2.22045e-16,1.45821,0.000402294,0.00013317,3.6503,2.22045e-16,2.22045e-16,1.74903,2.22045e-16,2.22045e-16,All
0.390274,0.00140137,2.69945e-05,3.90893,0.000708372,0.000195408,17.9434,6.11827e-05,6.24403e-05,15.7059,2.22045e-16,2.22045e-16,4.80773,0.00675367,0.0108726,3.65032,2.22045e-16,2.22045e-16,1.74904,2.22045e-16,2.22045e-16,All
0.409166,0.00322967,6.86724e-05,4.15336,0.00145069,0.000450514,18.9029,0.000134258,0.000152329,15.706,2.22045e-16,2.22045e-16,8.15726,0.0131475,0.0449431,3.65035,2.22045e-16,2.22045e-16,1.74906,2.22045e-16,2.22045e-16,All
0.428059,0.00683785,0.000160153,4.39779,0.00272069,0.000947491,19.8623,0.000270373,0.000340127,15.7062,2.22045e-16,2.22045e-16,11.5068,0.0167288,0.0957171,3.65038,2.22045e-16,2.22045e-16,1.74907,2.22045e-16,2.22045e-16,All
0.446952,0.0134241,0.000345701,4.64221,0.0047292,0.00184068,20.8218,0.000504844,0.00070251,15.7063,2.22045e-16,2.22045e-16,14.8563,0.0181341,0.154581,3.65041,2.22045e-16,2.22045e-16,1.74909,2.22045e-16,2.22045e-16,All
0.465844,0.0246338,0.000696407,4.88664,0.00769479,0.0033374,21.7812,0.000881647,0.00135433,15.7064,2.22045e-16,2.22045e-16,18.2058,0.0182133,0.215728,3.65044,2.22045e-16,2.22045e-16,1.7491,2.22045e-16,2.22045e-16,All
0.484737,0.042546,0.00131863,5.13106,0.0118166,0.00569662,22.7407,0.00145075,0.00245579,15.7065,2.22045e-16,2.22045e-16,21.5554,0.017557,0.27578,3.65046,2.22045e-16,2.22045e-16,1.74912,2.22045e-16,2.22045e-16,All
0.503629,0.0695785,0.00236141,5.37549,0.0172457,0.00922066,23.7001,0.00226365,0.00421619,15.7067,2.22045e-16,2.22045e-16,24.9049,0.0165277,0.332933,3.65049,2.22045e-16,2.22045e-16,1.74913,2.22045e-16,2.22045e-16,All
0.522522,0.108307,0.00402134,5.61992,0.0240611,0.0142404,24.6596,0.00336766,0.00689273,15.7068,2.22045e-16,2.22045e-16,28.2544,0.0153384,0.386325,3.65052,2.22045e-16,2.22045e-16,1.74915,2.22045e-16,2.22045e-16,All
0.541414,0.161213,0.00654318,5.86434,0.0322533,0.0210954,25.619,0.00479975,0.0107835,15.7069,2.22045e-16,2.22045e-16,31.6039,0.0141107,0.435644,3.65055,2.22045e-16,2.22045e-16,1.74916,2.22045e-16,2.22045e-16,All
0.560307,0.230391,0.0102154,6.10877,0.0417181,0.0301114,26.5785,0.00658089,0.0162148,15.707,2.22045e-16,2.22045e-16,34.9535,0.0129122,0.480887,3.65057,2.22045e-16,2.22045e-16,1.74918,2.22045e-16,2.22045e-16,All
0.5792,0.317253,0.0153601,6.35319,0.0522611,0.0415775,27.5379,0.00871182,0.0235237,15.7071,2.22045e-16,2.22045e-16,38.303,0.0117783,0.522217,3.6506,2.22045e-16,2.22045e-16,1.7492,2.22045e-16,2.22045e-16,All
0.598092,0.422284,0.0223175,6.59762,0.0636121,0.0557254,28.4974,0.0111708,0.0330371,15.7073,2.22045e-16,2.22045e-16,41.6525,0.0107256,0.559882,3.65063,2.22045e-16,2.22045e-16,1.74921,2.22045e-16,2.22045e-16,All
0.616985,0.544873,0.031427,6.84205,0.0754451,0.0727137,29.4568,0.0139138,0.0450505,15.7074,2.22045e-16,2.22045e-16,45.002,0.00975956,0.594165,3.65066,2.22045e-16,2.22045e-16,1.74923,2.22045e-16,2.22045e-16,All
0.635877,0.683247,0.0430053,7.08647,0.0874029,0.092617,30.4163,0.0168766,0.0598068,15.7075,2.22045e-16,2.22045e-16,48.3515,0.00887977,0.625358,3.65069,2.22045e-16,2.22045e-16,1.74924,2.22045e-16,2.22045e-16,All
0.65477,0.834528,0.0573251,7.3309,0.0991217,0.115421,31.3757,0.0199791,0.0774798,15.7076,2.22045e-16,2.22045e-16,51.7011,0.00808228,0.653743,3.65071,2.22045e-16,2.22045e-16,1.74926,2.22045e-16,2.22045e-16,All
0.673663,0.994888,0.0745954,7.57532,0.110254,0.141025,32.3352,0.0231309,0.0981606,15.7077,2.22045e-16,2.22045e-16,55.0506,0.00736145,0.679587,3.65074,2.22045e-16,2.22045e-16,1.74927,2.22045e-16,2.22045e-16,All
