standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.60614,0.00142857,-2.94761,0.00142857,-3.2511,0.00142857,-2.93071,0.00142857,-1.34836,0.00142857,All
-2.46624,0.00285714,-2.758,0.00285714,-3.10667,0.00285714,-2.83888,0.00285714,-1.29572,0.00285714,All
-2.38043,0.00428571,-2.7255,0.00428571,-3.0956,0.00428571,-2.78495,0.00428571,-1.26139,0.00428571,All
-2.34446,0.00571429,-2.66106,0.00571429,-3.07548,0.00571429,-2.775,0.00571429,-1.16002,0.00571429,All
-2.33596,0.00714286,-2.65514,0.00714286,-2.96943,0.00714286,-2.75739,0.00714286,-1.15079,0.00714286,All
-2.31265,0.00857143,-2.63494,0.00857143,-2.93196,0.00857143,-2.72887,0.00857143,-1.14718,0.00857143,All
-2.31208,0.01,-2.63159,0.01,-2.7789,0.01,-2.7149,0.01,-1.13305,0.01,All
-2.30035,0.0114286,-2.60741,0.0114286,-2.76098,0.0114286,-2.70229,0.0114286,-1.12153,0.0114286,All
-2.29882,0.0128571,-2.60554,0.0128571,-2.74474,0.0128571,-2.69059,0.0128571,-1.11753,0.0128571,All
-2.28627,0.0142857,-2.59986,0.0142857,-2.74218,0.0142857,-2.68679,0.0142857,-1.08352,0.0142857,All
-2.27075,0.0157143,-2.59464,0.0157143,-2.7271,0.0157143,-2.68463,0.0157143,-1.07906,0.0157143,All
-2.26829,0.0171429,-2.58688,0.0171429,-2.69336,0.0171429,-2.66822,0.0171429,-1.0739,0.0171429,All
-2.26817,0.0185714,-2.58669,0.0185714,-2.67582,0.0185714,-2.66107,0.0185714,-1.0704,0.0185714,All
-2.26305,0.02,-2.57231,0.02,-2.65861,0.02,-2.64188,0.02,-1.05559,0.02,All
-2.24226,0.0214286,-2.56967,0.0214286,-2.63293,0.0214286,-2.57638,0.0214286,-1.04147,0.0214286,All
-2.23857,0.0228571,-2.55061,0.0228571,-2.55318,0.0228571,-2.5687,0.0228571,-1.03612,0.0228571,All
-2.23514,0.0242857,-2.5495,0.0242857,-2.53399,0.0242857,-2.5647,0.0242857,-1.03255,0.0242857,All
-2.22219,0.0257143,-2.53769,0.0257143,-2.51598,0.0257143,-2.55996,0.0257143,-1.02914,0.0257143,All
-2.21938,0.0271429,-2.5119,0.0271429,-2.50878,0.0271429,-2.5412,0.0271429,-1.02438,0.0271429,All
-2.20973,0.0285714,-2.50571,0.0285714,-2.45419,0.0285714,-2.53487,0.0285714,-1.02418,0.0285714,All
-2.20865,0.03,-2.49965,0.03,-2.45403,0.03,-2.53307,0.03,-1.01328,0.03,All
-2.20684,0.0314286,-2.49232,0.0314286,-2.44596,0.0314286,-2.53181,0.0314286,-1.01039,0.0314286,All
-2.18993,0.0328571,-2.48691,0.0328571,-2.42615,0.0328571,-2.52352,0.0328571,-1.00813,0.0328571,All
-2.18577,0.0342857,-2.48658,0.0342857,-2.36478,0.0342857,-2.51638,0.0342857,-1.00097,0.0342857,All
-2.18519,0.0357143,-2.48048,0.0357143,-2.35719,0.0357143,-2.51074,0.0357143,-0.997716,0.0357143,All
-2.18424,0.0371429,-2.47708,0.0371429,-2.35193,0.0371429,-2.49972,0.0371429,-0.992097,0.0371429,All
-2.17989,0.0385714,-2.46923,0.0385714,-2.33804,0.0385714,-2.49664,0.0385714,-0.983371,0.0385714,All
-2.1614,0.04,-2.46571,0.04,-2.3271,0.04,-2.4962,0.04,-0.982105,0.04,All
