standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.52809,0.0189809,-2.84755,0.0148059,-3.1349,0.025498,-2.82324,0.0413542,-1.25485,0.0237647,All
-2.37198,0.0664332,-2.64743,0.111044,-2.90249,0.012749,-2.6083,0.130955,-1.06783,0.205961,All
-2.21588,0.227771,-2.4473,0.133253,-2.67008,0.0573705,-2.39335,0.124063,-0.880809,0.388157,All
-2.05978,0.123376,-2.24718,0.0740294,-2.43767,0.0956176,-2.17841,0.0344618,-0.69379,0.800078,All
-1.90368,0.0569427,-2.04706,0.0296117,-2.20527,0.0318725,-1.96346,0.00689236,-0.506771,0.65749,All
-1.74757,0.0189809,-1.84694,0.0148059,-1.97286,0.0573705,-1.74851,0.00689236,-0.319752,0.538666,All
-1.59147,0.0854141,-1.64682,0.00740294,-1.74045,0.0573705,-1.53357,0.0551389,-0.132733,0.617882,All
-1.43537,0.123376,-1.4467,0.0592235,-1.50804,0.0573705,-1.31862,0.124063,0.0542854,0.60996,All
-1.27927,0.189809,-1.24658,0.0666264,-1.27564,0.108367,-1.10368,0.0896007,0.241304,0.784235,All
-1.12317,0.341656,-1.04646,0.133253,-1.04323,0.12749,-0.888733,0.268802,0.428323,0.388157,All
-0.967063,0.256242,-0.846338,0.199879,-0.810823,0.203984,-0.673788,0.268802,0.615342,0.10298,All
-0.810961,0.246752,-0.646218,0.333132,-0.578416,0.318725,-0.458842,0.23434,0.802361,0.0316862,All
-0.654859,0.113885,-0.446097,0.266506,-0.346008,0.369721,-0.243897,0.330833,0.98938,0,All
-0.498757,0.0949046,-0.245976,0.407161,-0.113601,0.427092,-0.0289515,0.530712,1.1764,0,All
-0.342654,0.180319,-0.0458551,0.444176,0.118806,0.497211,0.185994,0.771945,1.36342,0,All
-0.186552,0.275223,0.154266,0.540414,0.351214,0.497211,0.400939,0.475573,1.55044,0,All
-0.03045,0.322676,0.354386,0.68107,0.583621,0.350598,0.615885,0.448004,1.73746,0,All
0.125652,0.246752,0.554507,0.747697,0.816028,0.433466,0.83083,0.303264,1.92447,0,All
0.281754,0.313185,0.754628,0.421967,1.04844,0.286853,1.04578,0.227448,2.11149,0,All
0.437857,0.531466,0.954749,0.148059,1.28084,0.191235,1.26072,0.124063,2.29851,0,All
0.593959,0.702294,1.15487,0.0518206,1.51325,0.108367,1.47567,0.0620313,2.48553,0,All
0.750061,0.759237,1.35499,0.0222088,1.74566,0.0573705,1.69061,0.0206771,2.67255,0.0158431,All
0.906163,0.474523,1.55511,0.0148059,1.97806,0.012749,1.90556,0.0275695,2.85957,0.0316862,All
1.06227,0.379618,1.75523,0.0370147,2.21047,0.0191235,2.1205,0.0344618,3.04659,0.0871372,All
1.21837,0.227771,1.95535,0.111044,2.44288,0.025498,2.33545,0.0413542,3.23361,0.0792156,All
1.37447,0.189809,2.15547,0.0814323,2.67529,0.025498,2.55039,0.0275695,3.42063,0.10298,All
1.53057,0.0759237,2.35559,0.0296117,2.90769,0.00637451,2.76534,0.0137847,3.60764,0.0792156,All
