bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median_pc,theoretical_median_piLower_pc,theoretical_median_piUpper_pc,theoretical_lower_median_pc,theoretical_lower_piLower_pc,theoretical_lower_piUpper_pc,theoretical_upper_median_pc,theoretical_upper_piLower_pc,theoretical_upper_piUpper_pc,split
1,16.3346,13.2449,19.4243,19.7995,13.4384,30.0479,15.6748,10.426,25.0424,23.1489,14.894,38.0663,#bsmm-y1:1
2,28.5778,21.6121,35.5435,31.2487,21.6692,46.5641,26.4292,16.4674,39.2417,35.8665,24.2419,58.0979,#bsmm-y1:1
4,19.3576,14.8083,23.9069,29.0395,19.0503,42.897,23.2668,14.4118,35.6049,34.0812,21.9808,55.2098,#bsmm-y1:1
6,9.59003,8.85579,10.3243,18.2294,10.3768,29.4464,13.693,6.39777,23.1258,21.4641,12.1573,38.3718,#bsmm-y1:1
8,5.40256,4.85496,5.95016,11.2191,5.61664,20.5769,7.72099,2.88522,15.125,14.2045,6.98006,28.4192,#bsmm-y1:1
10.125,4.03261,3.14994,4.91529,6.92266,2.75032,14.2602,4.39686,1.00444,10.7718,8.88032,3.46126,19.5185,#bsmm-y1:1
11.25,2.1018,1.19358,3.01002,5.22995,2.01275,11.7225,2.96997,0.646893,8.81352,7.14553,2.72793,16.7201,#bsmm-y1:1
1,20.855,16.7086,28.7036,25.3014,21.2582,30.6882,16.795,13.3715,20.9572,38.2356,30.1266,48.926,#bsmm-y1:2
1.96528,31.917,28.0966,40.54,36.6801,30.5282,44.602,24.2562,18.673,30.0443,55.1867,44.3708,71.5467,#bsmm-y1:2
3.96528,18.689,15.84,23.6112,19.886,15.9205,24.47,12.3458,9.05636,15.7669,32.2275,24.617,41.7962,#bsmm-y1:2
5.96528,13.894,10.1372,21.799,14.0365,10.8529,17.8005,7.81322,5.34316,10.7471,23.6459,17.566,32.4329,#bsmm-y1:2
7.96212,10.328,7.51,18.2024,10.5954,8.01742,14.0573,5.68904,3.68097,8.29423,19.4365,13.8247,27.339,#bsmm-y1:2
9.81818,8.91751,5.7784,12.8965,8.58499,6.26346,12.3302,4.41593,2.60266,6.65177,16.5087,11.2177,24.3929,#bsmm-y1:2
11.1014,8.2947,5.4568,17.6806,7.71088,5.41275,10.3231,3.78583,2.3178,5.97268,15.0692,10.2415,21.4535,#bsmm-y1:2
