bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median_pc,theoretical_median_piLower_pc,theoretical_median_piUpper_pc,theoretical_lower_median_pc,theoretical_lower_piLower_pc,theoretical_lower_piUpper_pc,theoretical_upper_median_pc,theoretical_upper_piLower_pc,theoretical_upper_piUpper_pc,split
1,20.7865,18.4061,23.1669,21.1345,16.7525,26.5754,18.7206,14.4766,24.6709,23.1637,17.955,31.7941,#bsmm-y1:1
2,32.7497,27.0748,38.4246,29.6354,23.3316,36.6039,26.4642,19.8693,33.2631,32.3072,25.0184,41.7998,#bsmm-y1:1
4,22.7467,19.0217,26.4716,24.4281,18.3748,31.424,21.5687,15.2679,28.1213,27.066,20.4899,37.67,#bsmm-y1:1
6,11.2886,11.256,11.3212,15.8808,10.5219,22.4336,13.2276,7.86663,19.3265,18.2969,11.9558,26.9775,#bsmm-y1:1
8,7.15551,6.82532,7.4857,11.813,7.32463,17.4266,9.60027,4.75414,15.8922,13.7812,8.79726,22.6792,#bsmm-y1:1
10.125,5.30879,4.58263,6.03495,9.43665,5.49178,14.9666,7.30755,3.26291,13.0868,11.1799,6.58949,19.408,#bsmm-y1:1
11.25,4.60073,4.08352,5.11794,8.48522,4.77466,13.8936,6.3392,2.77031,12.0466,10.206,5.75783,18.0375,#bsmm-y1:1
1,25.159,19.6094,38.4575,25.2798,22.6854,28.3028,20.0111,17.5421,22.5686,32.3598,28.1221,37.1611,#bsmm-y1:2
1.96528,33.912,27.3834,53.5892,36.4057,32.6555,40.4511,28.8623,25.1752,32.4889,46.0018,40.5952,53.4073,#bsmm-y1:2
3.96528,19.683,15.9622,32.1206,19.9287,17.1377,23.0837,14.1748,11.0144,16.8877,27.4999,23.2015,32.9397,#bsmm-y1:2
5.96528,14.217,11.1398,25.2926,14.0337,11.4012,16.7545,8.82797,6.30881,11.3394,20.9308,16.8911,25.9273,#bsmm-y1:2
7.96212,10.904,7.478,14.6844,10.7482,8.44393,13.6034,6.21776,4.04449,8.71957,17.3785,13.0969,22.3158,#bsmm-y1:2
9.81818,8.45,5.744,15.9565,8.68752,6.48703,11.7491,4.83072,2.94371,7.17219,14.7114,10.9708,20.1305,#bsmm-y1:2
11.1014,7.80865,4.84577,11.5747,7.77169,5.79864,10.3564,4.14683,2.52954,6.15906,13.2365,9.49497,18.5043,#bsmm-y1:2
