id,linearization,importanceSampling
1,51.211444,50.822980
2,36.105783,35.944876
3,37.158887,36.971071
4,39.084354,38.833077
5,39.202270,39.039266
6,39.015524,39.027310
7,43.439637,43.035822
8,36.663480,36.449386
9,42.079147,41.829463
10,42.496602,42.318733
11,36.580448,36.439255
12,38.821709,38.687673
13,36.959404,36.810244
14,34.510080,34.471181
