standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,All
-3.2962,0.000142857,-3.38563,0.000142857,All
-3.26445,0.000285714,-3.37345,0.000285714,All
-3.23898,0.000428571,-3.31595,0.000428571,All
-3.23288,0.000571429,-3.28752,0.000571429,All
-3.21302,0.000714286,-3.27151,0.000714286,All
-3.18621,0.000857143,-3.20533,0.000857143,All
-3.1828,0.001,-3.20168,0.001,All
-3.1828,0.00114286,-3.15396,0.00114286,All
-3.16112,0.00128571,-3.13751,0.00128571,All
-3.15954,0.00142857,-3.09595,0.00142857,All
-3.14944,0.00157143,-3.02972,0.00157143,All
-3.14944,0.00171429,-3.0173,0.00171429,All
-3.14434,0.00185714,-2.99832,0.00185714,All
-3.14178,0.002,-2.99513,0.002,All
-3.13247,0.00214286,-2.98777,0.00214286,All
-3.13073,0.00228571,-2.98674,0.00228571,All
-3.12868,0.00242857,-2.95167,0.00242857,All
-3.11663,0.00257143,-2.92748,0.00257143,All
-3.11648,0.00271429,-2.92222,0.00271429,All
-3.10882,0.00285714,-2.91654,0.00285714,All
-3.09674,0.003,-2.90771,0.003,All
-3.09278,0.00314286,-2.90103,0.00314286,All
-3.08358,0.00328571,-2.88582,0.00328571,All
-3.07723,0.00342857,-2.8605,0.00342857,All
-3.075,0.00357143,-2.85215,0.00357143,All
-3.07373,0.00371429,-2.85189,0.00371429,All
-3.07165,0.00385714,-2.85103,0.00385714,All
-3.07097,0.004,-2.83129,0.004,All
-3.07033,0.00414286,-2.81993,0.00414286,All
-3.0664,0.00428571,-2.81933,0.00428571,All
-3.06435,0.00442857,-2.80795,0.00442857,All
-3.06432,0.00457143,-2.80597,0.00457143,All
-3.05165,0.00471429,-2.79779,0.00471429,All
-3.04482,0.00485714,-2.79779,0.00485714,All
-3.03787,0.005,-2.77365,0.005,All
-3.03708,0.00514286,-2.76199,0.00514286,All
-3.03466,0.00528571,-2.75343,0.00528571,All
-3.03463,0.00542857,-2.7484,0.00542857,All
-3.03313,0.00557143,-2.74501,0.00557143,All
-3.03287,0.00571429,-2.74501,0.00571429,All
-3.03109,0.00585714,-2.74371,0.00585714,All
-3.02646,0.006,-2.74265,0.006,All
-3.02606,0.00614286,-2.73729,0.00614286,All
-3.02483,0.00628571,-2.73729,0.00628571,All
-3.0239,0.00642857,-2.73729,0.00642857,All
-3.02131,0.00657143,-2.73729,0.00657143,All
-3.01811,0.00671429,-2.72584,0.00671429,All
-3.0176,0.00685714,-2.71698,0.00685714,All
-3.00838,0.007,-2.71511,0.007,All
-3.00355,0.00714286,-2.69089,0.00714286,All
-3.00217,0.00728571,-2.68793,0.00728571,All
-3.00012,0.00742857,-2.68793,0.00742857,All
-2.99754,0.00757143,-2.68682,0.00757143,All
-2.99485,0.00771429,-2.6722,0.00771429,All
-2.99293,0.00785714,-2.64438,0.00785714,All
-2.99146,0.008,-2.63343,0.008,All
-2.98838,0.00814286,-2.61754,0.00814286,All
-2.98399,0.00828571,-2.61452,0.00828571,All
