standEta_Cl_abscissa,standEta_Cl_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-3.26818,0.00515836,-3.34644,0.00553358,All
-3.21213,0.0103167,-3.26807,0.00368905,All
-3.15609,0.028371,-3.1897,0.00553358,All
-3.10004,0.0232126,-3.11133,0.00368905,All
-3.04399,0.056742,-3.03296,0.00737811,All
-2.98794,0.0593212,-2.95459,0.0110672,All
-2.93189,0.0954297,-2.87622,0.0129117,All
-2.87585,0.100588,-2.79785,0.0166007,All
-2.8198,0.118642,-2.71948,0.031357,All
-2.76375,0.131538,-2.6411,0.0202898,All
-2.7077,0.154751,-2.56273,0.031357,All
-2.65165,0.134117,-2.48436,0.0424241,All
-2.59561,0.152172,-2.40599,0.0461132,All
-2.53956,0.100588,-2.32762,0.0590249,All
-2.48351,0.056742,-2.24925,0.0737811,All
-2.42746,0.0464253,-2.17088,0.0571803,All
-2.37141,0.0103167,-2.09251,0.0866928,All
-2.31537,0.00515836,-2.01413,0.0977599,All
-2.25932,0,-1.93576,0.0719365,All
-2.20327,0,-1.85739,0.106983,All
-2.14722,0,-1.77902,0.0590249,All
-2.09117,0,-1.70065,0.0737811,All
-2.03513,0.00257918,-1.62228,0.0719365,All
-1.97908,0.00257918,-1.54391,0.0903818,All
-1.92303,0.00257918,-1.46554,0.0885373,All
-1.86698,0.00257918,-1.38716,0.105138,All
-1.81093,0.0128959,-1.30879,0.121739,All
-1.75489,0.0335294,-1.23042,0.11805,All
-1.69884,0.085113,-1.15205,0.125428,All
-1.64279,0.0980089,-1.07368,0.213965,All
-1.58674,0.170226,-0.995308,0.180764,All
-1.5307,0.180543,-0.916937,0.23241,All
-1.47465,0.134117,-0.838566,0.206587,All
-1.4186,0.216651,-0.760195,0.260078,All
-1.36255,0.136697,-0.681823,0.230566,All
-1.3065,0.108326,-0.603452,0.239788,All
-1.25046,0.056742,-0.525081,0.212121,All
-1.19441,0.0309502,-0.44671,0.263767,All
-1.13836,0.0154751,-0.368338,0.226877,All
-1.08231,0,-0.289967,0.337548,All
-1.02626,0,-0.211596,0.322792,All
-0.970216,0,-0.133225,0.381817,All
-0.914168,0,-0.0548536,0.440842,All
-0.85812,0.00515836,0.0235176,0.538602,All
-0.802072,0.0309502,0.101889,0.577337,All
-0.746024,0.0438461,0.18026,0.553358,All
-0.689976,0.0438461,0.258631,0.579181,All
-0.633928,0.0980089,0.337003,0.56627,All
-0.57788,0.113484,0.415374,0.558892,All
-0.521832,0.149593,0.493745,0.579181,All
-0.465785,0.154751,0.572116,0.544135,All
-0.409737,0.216651,0.650487,0.392884,All
-0.353689,0.306923,0.728859,0.352305,All
-0.297641,0.25276,0.80723,0.278524,All
-0.241593,0.373981,0.885601,0.287746,All
-0.185545,0.484886,0.963972,0.212121,All
-0.129497,0.683483,1.04234,0.204742,All
-0.073449,0.670587,1.12071,0.125428,All
-0.0174011,0.665429,1.19909,0.106983,All
0.0386468,0.6319,1.27746,0.11805,All
0.0946948,0.6938,1.35583,0.0996045,All
0.150743,0.585474,1.4342,0.0774701,All
0.206791,0.621583,1.51257,0.0959154,All
0.262839,0.508099,1.59094,0.0590249,All
0.318886,0.461674,1.66931,0.0903818,All
0.374934,0.41009,1.74768,0.0756256,All
0.430982,0.50552,1.82606,0.066403,All
0.48703,0.451357,1.90443,0.0553358,All
0.543078,0.497782,1.9828,0.0590249,All
0.599126,0.588054,2.06117,0.0387351,All
0.655174,0.644796,2.13954,0.0424241,All
0.711222,0.559683,2.21791,0.0424241,All
0.76727,0.572578,2.29628,0.0276679,All
0.823318,0.546787,2.37465,0.0295124,All
0.879366,0.590633,2.45303,0.0166007,All
0.935414,0.595791,2.5314,0.0129117,All
0.991462,0.508099,2.60977,0.0110672,All
1.04751,0.412669,2.68814,0.0110672,All
1.10356,0.301764,2.76651,0.00737811,All
1.15961,0.263077,2.84488,0.00184453,All
1.21565,0.141855,2.92325,0.00184453,All
1.2717,0.0644796,3.00162,0.00737811,All
1.32775,0.0128959,3.08,0.00553358,All
1.3838,0.0103167,3.15837,0.00553358,All
