iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1253.07,1,5.345,0.637,20.799,5.977,23.407,0.268,1.5,1.5,1.5,1.5,0.999,1.5,1.5
2,1238.29,1,4.17026,0,42.2233,5.748,47.1698,0.268,1.46202,1.46202,1.69538,1.46202,0.999,1.46202,1.46202
3,1224.56,1,4.66157,0,50.8476,5.36986,57.2882,0.268,1.425,1.425,1.78968,1.425,0.999,1.425,1.425
4,1220.08,1,4.3802,0,65.1134,5.10463,72.5944,0.268,1.38892,1.38892,1.90332,1.38892,0.999,1.38892,1.38892
5,1199.21,1,5.03357,0,63.7981,3.95941,71.5335,0.268,1.35375,1.35375,1.85513,1.35375,0.999,1.35375,1.35375
6,1198.91,1,4.19495,0,67.9999,3.4486,77.517,0.268,1.31947,1.31947,1.94925,1.31947,0.999,1.31947,1.31947
7,1195.77,1,4.14196,0,67.039,2.54469,75.2748,0.268,1.28606,1.28606,1.8999,1.28606,0.999,1.28606,1.28606
8,1170.36,1,4.09403,0,71.0217,2.09642,79.7916,0.268,1.2535,1.2535,1.85179,1.2535,0.999,1.2535,1.2535
9,1163.13,1,3.91396,0,61.4341,2.06614,68.9389,0.268,1.22176,1.22176,1.8049,1.22176,0.999,1.22176,1.22176
10,1143.57,1,4.41695,0,62.9882,1.88599,70.99,0.268,1.19082,1.19082,1.7592,1.19082,0.999,1.19082,1.19082
11,1129.25,1,4.91264,0,69.2457,1.81981,78.5741,0.268,1.16067,1.16067,1.71466,1.16067,0.999,1.16067,1.16067
12,1125.02,1,4.28614,0,67.4041,2.15382,77.6879,0.268,1.13128,1.13128,1.67124,1.13128,0.999,1.13128,1.13128
13,1124.37,1,4.95071,0,70.7696,2.87,82.1511,0.268,1.10264,1.10264,1.64404,1.10264,0.999,1.10264,1.10264
14,1108.31,1,4.30979,0,63.7107,2.16501,74.008,0.268,1.07472,1.07472,1.60241,1.07472,0.999,1.07472,1.07472
15,1084.85,1,4.79127,0,60.7788,2.2896,70.5592,0.268,1.04751,1.04751,1.56184,1.04751,0.999,1.04751,1.04751
16,1089.44,1,5.64546,0,68.0231,2.43582,79.3233,0.268,1.02098,1.02098,1.52229,1.02098,0.999,1.02098,1.02098
17,1066.83,1,5.13361,0,57.729,3.20356,67.8954,0.268,0.995131,0.995131,1.48375,0.995131,0.999,0.995131,0.995131
18,1058.33,1,5.20339,0,60.1029,3.89975,71.4716,0.268,0.969933,0.969933,1.44618,0.969933,0.999,0.969933,0.969933
19,1048.73,1,5.33369,0,52.3326,3.61914,62.0913,0.268,0.945374,0.945374,1.40956,0.945374,0.999,0.945374,0.945374
20,1037.02,1,5.64919,0,46.3358,4.36753,55.0892,0.268,0.921437,0.921437,1.50578,0.921437,0.999,0.921437,0.921437
21,1022.88,1,5.61138,0,46.7987,4.39053,55.0839,0.268,0.898105,0.898105,1.51989,0.898105,0.999,0.898105,0.898105
22,1004.42,1,5.39344,0,44.7463,4.86848,53.0143,0.268,0.875365,0.875365,1.48141,0.875365,0.999,0.875365,0.875365
23,1002.62,1,5.29539,0,35.2999,3.94667,41.8485,0.268,0.8532,0.8532,1.58438,0.8532,0.999,0.8532,0.8532
24,973.93,1,5.57241,0,35.5805,2.86412,42.3879,0.268,0.831597,0.831597,1.61245,0.831597,0.999,0.831597,0.831597
25,968.615,1,5.69896,0,33.8097,3.16737,40.2437,0.268,0.81054,0.81054,1.62661,0.81054,0.999,0.81054,0.81054
26,961.105,1,5.64792,0,36.3041,3.37975,43.1625,0.268,0.790017,0.790017,1.71686,0.790017,0.999,0.790017,0.790017
27,943.53,1,5.58812,0,34.9898,3.35439,41.4265,0.268,0.770013,0.770013,1.67339,0.770013,0.999,0.770013,0.770013
28,931.874,1,5.80137,-0.0503191,33.3118,5.17962,39.5092,0.268,0.750516,0.750516,1.63102,0.750516,0.999,0.750516,0.750516
29,927.099,1,5.74013,-0.0500153,35.7368,5.2332,42.2045,0.268,0.731512,0.731512,1.58972,0.731512,0.999,0.731512,0.731512
30,909.209,1,5.72202,-0.0499249,32.7712,5.53378,38.8065,0.268,0.71299,0.71299,1.54947,0.71299,0.999,0.71299,0.71299
31,902.632,1,5.71583,-0.0498939,29.9845,4.14112,35.6226,0.268,0.694937,0.694937,1.51024,0.694937,0.999,0.694937,0.694937
32,896.736,1,5.88629,-0.050735,30.0622,4.3927,35.8627,0.268,0.677341,0.677341,1.61941,0.677341,0.999,0.677341,0.677341
33,875.01,1,6.05962,-0.0515656,30.4512,4.78543,36.1773,0.268,0.66019,0.66019,1.57841,0.66019,0.999,0.66019,0.66019
34,871.908,1,5.83632,-0.050491,29.6661,4.3527,35.3886,0.268,0.643474,0.643474,1.53844,0.643474,0.999,0.643474,0.643474
35,855.55,1,5.7584,-0.0501063,29.0744,3.74421,34.7824,0.268,0.627181,0.627181,1.49949,0.627181,0.999,0.627181,0.627181
36,856.194,1,5.86523,0.377235,30.0511,3.48407,35.904,0.268,0.6113,0.6113,1.46152,0.6113,0.999,0.6113,0.6113
37,826.69,1,5.96998,0.530798,29.042,4.27639,34.794,0.268,0.595821,0.595821,1.42451,0.595821,0.999,0.595821,0.595821
