simulations, -2LL
1000,523.322
2000,520.474
3000,521.392
4000,521.756
5000,522.739
6000,522.352
7000,522.592
8000,521.942
9000,521.936
10000,521.932
11000,521.548
12000,521.689
13000,521.73
14000,521.019
15000,520.824
16000,520.682
17000,520.843
18000,521.005
19000,521.11
20000,521.122
21000,521.191
22000,521.254
23000,521.229
24000,521.25
25000,521.194
26000,521.357
27000,521.482
28000,521.44
29000,521.465
30000,521.563
