simulations,OFV
500,1001.54
1000,1001.26
1500,1000.14
2000,1000.22
2500,1000.56
3000,1000.26
3500,1000.19
4000,1000.06
4500,1000.18
5000,1000.17
5500,999.984
6000,999.984
6500,999.776
7000,999.781
7500,999.892
8000,999.931
8500,1000.15
9000,999.961
9500,999.97
10000,999.745
10500,999.522
11000,999.664
11500,999.504
12000,999.365
12500,999.32
13000,999.274
13500,999.167
14000,999.219
14500,999.081
15000,999.103
15500,999.184
16000,999.197
16500,999.192
17000,999.095
17500,999.13
18000,999.042
18500,999.162
19000,999.061
19500,999.026
20000,998.983
20500,998.975
21000,998.765
21500,998.799
22000,998.797
22500,998.739
23000,998.637
23500,998.657
24000,998.661
24500,998.67
25000,998.709
25500,998.725
26000,998.678
26500,998.708
27000,998.717
27500,998.709
28000,998.736
28500,998.752
29000,998.81
29500,998.878
30000,998.944
