Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_bias_abscissa,Cl_vs_bias_spline,Cl_vs_bias_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_bias_abscissa,Q_vs_bias_spline,Q_vs_bias_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_bias_abscissa,V1_vs_bias_spline,V1_vs_bias_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_bias_abscissa,V2_vs_bias_spline,V2_vs_bias_regression,bias_vs_Cl_abscissa,bias_vs_Cl_spline,bias_vs_Cl_regression,bias_vs_Q_abscissa,bias_vs_Q_spline,bias_vs_Q_regression,bias_vs_V1_abscissa,bias_vs_V1_spline,bias_vs_V1_regression,bias_vs_V2_abscissa,bias_vs_V2_spline,bias_vs_V2_regression
-1.22421,0.12673,0.0257529,-0.618208,-0.0845544,-0.190379,-0.795772,-0.0676447,-0.161602,-3.12062,0.0401284,0.0696121,-0.483197,0.0989362,0.0478527,-0.618208,-0.470078,-0.188432,-0.795772,-0.439857,-0.151085,-3.12062,-0.188055,-0.268051,-0.483197,-0.12735,-0.212158,-1.22421,0.0391648,-0.0840434,-0.795772,-0.611793,-0.592946,-3.12062,-0.119386,0.0464504,-0.483197,-0.123351,-0.250485,-1.22421,0.0554916,-0.10008,-0.618208,-0.798942,-0.795769,-3.12062,-0.157525,0.0774464,-0.483197,0.353818,0.903614,-1.22421,-1.22883,-1.64705,-0.618208,-1.44202,0.518086,-0.795772,-1.30154,0.795435
-1.20517,0.12209,0.0253733,-0.606801,-0.0888459,-0.186842,-0.781931,-0.0717599,-0.158724,-3.05603,0.0414234,0.0681709,-0.475104,0.0828639,0.0469036,-0.606801,-0.441575,-0.185125,-0.781931,-0.409199,-0.148578,-3.05603,-0.192621,-0.262567,-0.475104,-0.128782,-0.208602,-1.20517,0.0327137,-0.0827134,-0.781931,-0.598897,-0.58247,-3.05603,-0.100692,0.0454847,-0.475104,-0.127921,-0.246491,-1.20517,0.046206,-0.0986885,-0.606801,-0.785261,-0.781313,-3.05603,-0.132486,0.075568,-0.475104,0.408093,0.887368,-1.20517,-1.21322,-1.62233,-0.606801,-1.3226,0.507262,-0.781931,-1.16013,0.780177
-1.18613,0.117451,0.0249937,-0.595394,-0.0931374,-0.183306,-0.76809,-0.0758751,-0.155846,-2.99144,0.0427184,0.0667296,-0.46701,0.0667915,0.0459545,-0.595394,-0.413073,-0.181818,-0.76809,-0.378542,-0.146071,-2.99144,-0.197187,-0.257083,-0.46701,-0.130215,-0.205045,-1.18613,0.0262627,-0.0813835,-0.76809,-0.586002,-0.571993,-2.99144,-0.0819991,0.044519,-0.46701,-0.132491,-0.242497,-1.18613,0.0369205,-0.0972971,-0.595394,-0.771579,-0.766858,-2.99144,-0.107447,0.0736897,-0.46701,0.462367,0.871123,-1.18613,-1.19761,-1.59761,-0.595394,-1.20318,0.496437,-0.76809,-1.01871,0.76492
-1.16708,0.112811,0.0246141,-0.583987,-0.0974289,-0.17977,-0.754248,-0.0799903,-0.152967,-2.92684,0.043809,0.0652884,-0.458916,0.0507192,0.0450054,-0.583987,-0.384571,-0.178512,-0.754248,-0.347885,-0.143564,-2.92684,-0.200745,-0.251599,-0.458916,-0.131647,-0.201489,-1.16708,0.0198116,-0.0800535,-0.754248,-0.573106,-0.561517,-2.92684,-0.0651937,0.0435533,-0.458916,-0.137061,-0.238503,-1.16708,0.0276349,-0.0959056,-0.583987,-0.757897,-0.752402,-2.92684,-0.0849217,0.0718114,-0.458916,0.516642,0.854877,-1.16708,-1.18199,-1.57288,-0.583987,-1.08376,0.485613,-0.754248,-0.877288,0.749662
-1.14804,0.108172,0.0242345,-0.57258,-0.10172,-0.176233,-0.740407,-0.0841055,-0.150089,-2.86225,0.0447292,0.0638472,-0.450823,0.0346468,0.0440563,-0.57258,-0.356068,-0.175205,-0.740407,-0.317228,-0.141057,-2.86225,-0.20346,-0.246115,-0.450823,-0.133079,-0.197933,-1.14804,0.0133606,-0.0787235,-0.740407,-0.560211,-0.551041,-2.86225,-0.0499639,0.0425875,-0.450823,-0.141631,-0.234509,-1.14804,0.0183493,-0.0945142,-0.57258,-0.744216,-0.737946,-2.86225,-0.0644928,0.0699331,-0.450823,0.570916,0.838632,-1.14804,-1.16638,-1.54816,-0.57258,-0.964341,0.474789,-0.740407,-0.735869,0.734405
-1.129,0.103532,0.0238549,-0.561173,-0.106012,-0.172697,-0.726566,-0.0882207,-0.147211,-2.79766,0.0456493,0.0624059,-0.442729,0.0185745,0.0431072,-0.561173,-0.327566,-0.171898,-0.726566,-0.286571,-0.13855,-2.79766,-0.206176,-0.240631,-0.442729,-0.134511,-0.194376,-1.129,0.00690951,-0.0773936,-0.726566,-0.547315,-0.540564,-2.79766,-0.0347341,0.0416218,-0.442729,-0.146201,-0.230515,-1.129,0.00906371,-0.0931228,-0.561173,-0.730534,-0.72349,-2.79766,-0.0440639,0.0680548,-0.442729,0.62519,0.822386,-1.129,-1.15077,-1.52344,-0.561173,-0.844922,0.463964,-0.726566,-0.59445,0.719148
-1.10996,0.0988927,0.0234754,-0.549765,-0.110303,-0.169161,-0.712725,-0.0923359,-0.144333,-2.73307,0.0465694,0.0609647,-0.434635,0.0025021,0.0421581,-0.549765,-0.299064,-0.168592,-0.712725,-0.255914,-0.136042,-2.73307,-0.208891,-0.235147,-0.434635,-0.135943,-0.19082,-1.10996,0.000458452,-0.0760636,-0.712725,-0.53442,-0.530088,-2.73307,-0.0195042,0.0406561,-0.434635,-0.150771,-0.226521,-1.10996,-0.000221871,-0.0917314,-0.549765,-0.716852,-0.709034,-2.73307,-0.023635,0.0661764,-0.434635,0.679465,0.806141,-1.10996,-1.13516,-1.49872,-0.549765,-0.725503,0.45314,-0.712725,-0.453031,0.70389
-1.09091,0.0942532,0.0230958,-0.538358,-0.114595,-0.165624,-0.698884,-0.0964511,-0.141455,-2.66848,0.0474895,0.0595235,-0.426542,-0.0135703,0.041209,-0.538358,-0.270561,-0.165285,-0.698884,-0.225257,-0.133535,-2.66848,-0.211607,-0.229663,-0.426542,-0.137376,-0.187264,-1.09091,-0.00599261,-0.0747336,-0.698884,-0.521525,-0.519612,-2.66848,-0.00427436,0.0396904,-0.426542,-0.155341,-0.222527,-1.09091,-0.00950745,-0.0903399,-0.538358,-0.70317,-0.694578,-2.66848,-0.00320617,0.0642981,-0.426542,0.733739,0.789896,-1.09091,-1.11955,-1.47399,-0.538358,-0.606084,0.442316,-0.698884,-0.311612,0.688633
-1.07187,0.0896137,0.0227162,-0.526951,-0.118886,-0.162088,-0.685042,-0.100566,-0.138576,-2.60388,0.0484096,0.0580822,-0.418448,-0.0296426,0.04026,-0.526951,-0.242059,-0.161978,-0.685042,-0.1946,-0.131028,-2.60388,-0.214323,-0.224179,-0.418448,-0.138808,-0.183707,-1.07187,-0.0124437,-0.0734037,-0.685042,-0.508629,-0.509135,-2.60388,0.0109555,0.0387246,-0.418448,-0.159911,-0.218532,-1.07187,-0.018793,-0.0889485,-0.526951,-0.689489,-0.680122,-2.60388,0.0172227,0.0624198,-0.418448,0.788014,0.77365,-1.07187,-1.10393,-1.44927,-0.526951,-0.486665,0.431491,-0.685042,-0.170193,0.673375
-1.05283,0.0849742,0.0223366,-0.515544,-0.123178,-0.158552,-0.671201,-0.104681,-0.135698,-2.53929,0.0486946,0.056641,-0.410355,-0.045715,0.0393109,-0.515544,-0.213556,-0.158672,-0.671201,-0.163943,-0.128521,-2.53929,-0.214057,-0.218695,-0.410355,-0.14024,-0.180151,-1.05283,-0.0188947,-0.0720737,-0.671201,-0.495734,-0.498659,-2.53929,0.0205679,0.0377589,-0.410355,-0.164481,-0.214538,-1.05283,-0.0280786,-0.0875571,-0.515544,-0.675807,-0.665666,-2.53929,0.0301415,0.0605415,-0.410355,0.842288,0.757405,-1.05283,-1.08832,-1.42455,-0.515544,-0.367246,0.420667,-0.671201,-0.0287744,0.658118
