Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
2.06888,0,9.22311,0,1.03102,0.00142857,7.57547,0,1.7482e-06,0.00142857,All
3.32609,0.00142857,12.4578,0.00142857,1.22812,0.00285714,8.84867,0.00142857,1.21715e-05,0.00285714,All
3.33722,0.00285714,13.5035,0.00285714,1.2342,0.00428571,9.49983,0.00285714,1.32811e-05,0.00428571,All
3.35899,0.00428571,13.744,0.00428571,1.27715,0.00571429,9.81058,0.00428571,1.43132e-05,0.00571429,All
3.35941,0.00571429,13.8155,0.00571429,1.41723,0.00714286,9.96593,0.00571429,1.63583e-05,0.00714286,All
3.3625,0.00714286,14.1074,0.00714286,1.49125,0.00857143,10.121,0.00714286,1.76255e-05,0.00857143,All
3.40392,0.00857143,14.1101,0.00857143,1.53292,0.01,10.4742,0.00857143,2.00408e-05,0.01,All
3.41476,0.01,14.3148,0.01,1.62724,0.0114286,10.6412,0.01,2.08346e-05,0.0114286,All
3.41618,0.0114286,14.3567,0.0114286,1.64035,0.0128571,10.7423,0.0114286,2.11621e-05,0.0128571,All
3.41889,0.0128571,14.3627,0.0128571,1.65304,0.0142857,11.0501,0.0128571,2.67144e-05,0.0142857,All
3.42055,0.0142857,14.5088,0.0142857,1.66843,0.0157143,11.0973,0.0142857,2.67545e-05,0.0157143,All
3.43448,0.0157143,14.5442,0.0157143,1.67765,0.0171429,11.1132,0.0157143,2.9767e-05,0.0171429,All
3.44419,0.0171429,14.5895,0.0171429,1.69912,0.0185714,11.1503,0.0171429,3.09025e-05,0.0185714,All
3.45856,0.0185714,14.7975,0.0185714,1.71811,0.02,11.1786,0.0185714,3.19247e-05,0.02,All
3.46236,0.02,14.8095,0.02,1.73742,0.0214286,11.211,0.02,3.25538e-05,0.0214286,All
3.4657,0.0214286,14.9316,0.0214286,1.75324,0.0228571,11.3673,0.0214286,3.4362e-05,0.0228571,All
3.47242,0.0228571,14.9643,0.0228571,1.75883,0.0242857,11.3823,0.0228571,3.59769e-05,0.0242857,All
3.47777,0.0242857,14.9846,0.0242857,1.76584,0.0257143,11.3857,0.0242857,3.78598e-05,0.0257143,All
3.49816,0.0257143,15.0179,0.0257143,1.7712,0.0271429,11.507,0.0257143,3.78694e-05,0.0271429,All
3.50211,0.0271429,15.1327,0.0271429,1.78379,0.0285714,11.5718,0.0271429,4.04385e-05,0.0285714,All
3.50261,0.0285714,15.2574,0.0285714,1.80001,0.03,11.6817,0.0285714,4.63359e-05,0.03,All
3.5067,0.03,15.4036,0.03,1.81711,0.0314286,11.79,0.03,4.80987e-05,0.0314286,All
3.51206,0.0314286,15.4314,0.0314286,1.83341,0.0328571,11.8886,0.0314286,5.21393e-05,0.0328571,All
3.52078,0.0328571,15.5013,0.0328571,1.836,0.0342857,11.903,0.0328571,5.3652e-05,0.0342857,All
