Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,bias_abscissa,bias_pdf,bias_cdf,split
2.06888,4.38684e-06,3.3918e-07,9.22311,2.27185e-05,9.85926e-06,1.03102,0.0065555,0.00127617,7.57547,0.0011083,0.00100422,1.7482e-06,237.265,0.000290251,All
2.20523,2.00337e-05,1.76824e-06,9.6936,5.75455e-05,2.7638e-05,1.44897,0.0208858,0.0067417,8.4193,0.00216654,0.00235185,0.0144179,10.6887,0.51862,All
2.34159,7.50809e-05,7.53393e-06,10.1641,0.000132442,7.02264e-05,1.86692,0.0407776,0.0195151,9.26312,0.00374379,0.00480709,0.0288341,5.09198,0.623511,All
2.47794,0.000237695,2.70206e-05,10.6346,0.000280017,0.000163578,2.28486,0.061737,0.0409694,10.107,0.00587208,0.00882564,0.0432503,3.1918,0.681361,All
2.6143,0.000650891,8.35708e-05,11.1051,0.00054897,0.000352659,2.70281,0.0804524,0.0708001,10.9508,0.0085233,0.0148647,0.0576665,2.25753,0.719971,All
2.75065,0.0015721,0.000227391,11.5756,0.00100601,0.000709556,3.12076,0.0952525,0.107668,11.7946,0.0116158,0.0233345,0.0720827,1.71108,0.748267,All
2.88701,0.00340425,0.00055347,12.0461,0.00173519,0.00134191,3.53871,0.105689,0.14981,12.6384,0.0150289,0.0345585,0.0864989,1.35683,0.770213,All
3.02337,0.00670016,0.00122212,12.5166,0.002834,0.00240029,3.95666,0.112022,0.19544,13.4823,0.0186205,0.0487483,0.100915,1.11087,0.787902,All
3.15972,0.0121261,0.00247744,12.9871,0.00440593,0.00408289,4.3746,0.114848,0.24296,14.3261,0.0222438,0.0659923,0.115331,0.931472,0.802559,All
3.29608,0.0203816,0.00465777,13.4576,0.00655027,0.00663607,4.79255,0.114859,0.291049,15.1699,0.0257611,0.0862581,0.129747,0.795679,0.814966,All
3.43243,0.0320875,0.00819286,13.928,0.00935026,0.0103496,5.2105,0.112726,0.338672,16.0137,0.0290529,0.109404,0.144164,0.689858,0.825644,All
3.56879,0.0476664,0.0135849,14.3985,0.0128614,0.0155463,5.62845,0.109035,0.385059,16.8576,0.032024,0.135199,0.15858,0.605442,0.834959,All
3.70514,0.0672423,0.0213743,14.869,0.0171016,0.0225666,6.0464,0.104275,0.429666,17.7014,0.034605,0.16334,0.172996,0.536792,0.843176,All
3.8415,0.0905828,0.0320943,15.3395,0.0220445,0.0317492,6.46434,0.0988352,0.472128,18.5452,0.036752,0.193478,0.187412,0.480055,0.850493,All
3.97786,0.117096,0.0462219,15.81,0.0276172,0.0434092,6.88229,0.0930166,0.512229,19.389,0.0384442,0.225236,0.201828,0.432516,0.857061,All
4.11421,0.14588,0.0641313,16.2805,0.0337025,0.0578172,7.30024,0.0870464,0.54986,20.2329,0.0396805,0.25823,0.216245,0.39221,0.862998,All
4.25057,0.175813,0.0860576,16.751,0.0401457,0.0751792,7.71819,0.0810913,0.584993,21.0767,0.0404756,0.292079,0.230661,0.357683,0.868397,All
4.38692,0.205663,0.112074,17.2215,0.046764,0.0956214,8.13614,0.0752699,0.617662,21.9205,0.0408562,0.326422,0.245077,0.327837,0.873333,All
4.52328,0.234206,0.142085,17.692,0.0533585,0.11918,8.55408,0.0696637,0.647941,22.7644,0.0408574,0.360923,0.259493,0.301831,0.877868,All
4.65963,0.260325,0.175834,18.1625,0.0597275,0.145796,8.97203,0.0643257,0.675931,23.6082,0.0405197,0.39528,0.273909,0.279007,0.882051,All
4.79599,0.283085,0.212925,18.633,0.0656781,0.175317,9.38998,0.0592875,0.701752,24.452,0.0398862,0.429223,0.288325,0.258846,0.885925,All
4.93235,0.301786,0.25285,19.1035,0.0710376,0.207505,9.80793,0.054565,0.725534,25.2958,0.0390008,0.462523,0.302742,0.240935,0.889525,All
5.0687,0.315976,0.29502,19.574,0.0756613,0.242047,10.2259,0.0501623,0.747408,26.1397,0.0379062,0.494985,0.317158,0.224939,0.892881,All
5.20506,0.32545,0.338805,20.0445,0.0794386,0.278569,10.6438,0.0460756,0.767508,26.9835,0.036643,0.526448,0.331574,0.210583,0.896018,All
5.34141,0.330224,0.38356,20.515,0.0822962,0.316653,11.0618,0.0422954,0.785965,27.8273,0.0352487,0.556788,0.34599,0.197642,0.898959,All
5.47777,0.330504,0.428657,20.9855,0.0841976,0.355858,11.4797,0.0388083,0.802903,28.6711,0.0337576,0.585909,0.360406,0.185931,0.901723,All
5.61412,0.326641,0.473504,21.456,0.0851421,0.395732,11.8977,0.0355987,0.818443,29.515,0.0322,0.613741,0.374823,0.175292,0.904325,All
5.75048,0.319092,0.517568,21.9265,0.0851605,0.435831,12.3156,0.0326498,0.832697,30.3588,0.0306026,0.64024,0.389239,0.165593,0.906781,All
5.88684,0.30838,0.56038,22.3969,0.0843103,0.475731,12.7336,0.0299442,0.845769,31.2026,0.0289884,0.665383,0.403655,0.156724,0.909104,All
6.02319,0.295062,0.601548,22.8674,0.0826699,0.515042,13.1515,0.0274644,0.857758,32.0465,0.0273769,0.689163,0.418071,0.148589,0.911304,All
6.15955,0.279695,0.640754,23.3379,0.0803333,0.553413,13.5695,0.0251935,0.868755,32.8903,0.0257843,0.711591,0.432487,0.141106,0.913391,All
6.2959,0.262821,0.677756,23.8084,0.0774037,0.590541,13.9874,0.0231153,0.878844,33.7341,0.024224,0.732687,0.446904,0.134206,0.915375,All
6.43226,0.244943,0.712383,24.2789,0.073989,0.626173,14.4054,0.0212141,0.888102,34.5779,0.0227064,0.752485,0.46132,0.127826,0.917263,All
6.56861,0.226519,0.74453,24.7494,0.0701965,0.660105,14.8233,0.0194755,0.8966,35.4218,0.0212398,0.771022,0.475736,0.121915,0.919063,All
6.70497,0.207949,0.774151,25.2199,0.0661298,0.692184,15.2412,0.0178857,0.904402,36.2656,0.0198305,0.788346,0.490152,0.116426,0.92078,All
6.84133,0.189578,0.801249,25.6904,0.0618857,0.722304,15.6592,0.0164322,0.911569,37.1094,0.0184828,0.804507,0.504568,0.111319,0.922421,All
6.97768,0.17169,0.825873,26.1609,0.057552,0.750404,16.0771,0.0151031,0.918155,37.9532,0.0171997,0.819557,0.518984,0.106557,0.923991,All
7.11404,0.154512,0.848103,26.6314,0.0532061,0.776458,16.4951,0.0138877,0.92421,38.7971,0.0159826,0.833552,0.533401,0.10211,0.925495,All
7.25039,0.138219,0.86805,27.1019,0.0489145,0.800479,16.913,0.012776,0.929778,39.6409,0.0148323,0.846549,0.547817,0.097949,0.926937,All
7.38675,0.122934,0.885843,27.5724,0.0447326,0.822504,17.331,0.011759,0.934902,40.4847,0.0137483,0.858603,0.562233,0.0940496,0.928321,All
7.52311,0.108739,0.901625,28.0429,0.0407049,0.842596,17.7489,0.0108283,0.93962,41.3285,0.0127297,0.86977,0.576649,0.0903896,0.92965,All
7.65946,0.0956771,0.915549,28.5134,0.036866,0.860836,18.1669,0.0099763,0.943965,42.1724,0.0117749,0.880104,0.591065,0.0869492,0.930928,All
7.79582,0.0837598,0.92777,28.9839,0.0332408,0.87732,18.5848,0.00919609,0.947969,43.0162,0.0108819,0.889659,0.605482,0.0837106,0.932158,All
7.93217,0.0729724,0.938443,29.4544,0.0298461,0.892151,19.0028,0.00848132,0.951661,43.86,0.0100484,0.898486,0.619898,0.0806579,0.933342,All
8.06853,0.0632795,0.94772,29.9249,0.0266915,0.905442,19.4207,0.00782623,0.955067,44.7039,0.00927187,0.906633,0.634314,0.0777767,0.934484,All
8.20488,0.0546301,0.955747,30.3953,0.0237804,0.917306,19.8387,0.00722557,0.95821,45.5477,0.00854956,0.914149,0.64873,0.075054,0.935585,All
8.34124,0.0469617,0.962663,30.8658,0.0211113,0.927857,20.2566,0.00667457,0.961113,46.3915,0.00787871,0.921077,0.663146,0.0724781,0.936649,All
8.4776,0.0402045,0.968596,31.3363,0.0186784,0.937209,20.6746,0.00616887,0.963796,47.2353,0.00725651,0.927459,0.677563,0.0700383,0.937676,All
8.61395,0.0342844,0.973665,31.8068,0.0164729,0.945469,21.0925,0.00570454,0.966276,48.0792,0.00668014,0.933336,0.691979,0.0677249,0.938669,All
8.75031,0.029126,0.97798,32.2773,0.0144838,0.952743,21.5105,0.00527797,0.968569,48.923,0.00614681,0.938745,0.706395,0.0655291,0.939629,All
8.88666,0.0246544,0.981639,32.7478,0.0126982,0.95913,21.9284,0.00488589,0.970692,49.7668,0.00565382,0.943721,0.720811,0.0634427,0.940559,All
9.02302,0.0207971,0.984731,33.2183,0.0111024,0.964722,22.3464,0.00452534,0.972658,50.6106,0.00519854,0.948297,0.735227,0.0614586,0.941459,All
9.15937,0.0174851,0.987336,33.6888,0.00968202,0.969605,22.7643,0.00419361,0.974479,51.4545,0.00477842,0.952504,0.749643,0.0595698,0.942331,All
9.29573,0.0146539,0.989522,34.1593,0.00842262,0.973858,23.1823,0.00388823,0.976167,52.2983,0.00439104,0.956371,0.76406,0.0577703,0.943177,All
9.43209,0.0122438,0.991351,34.6298,0.00730999,0.977553,23.6002,0.00360696,0.977732,53.1421,0.0040341,0.959923,0.778476,0.0560543,0.943997,All
9.56844,0.0102002,0.992877,35.1003,0.00633032,0.980757,24.0182,0.00334777,0.979185,53.986,0.0037054,0.963187,0.792892,0.0544166,0.944793,All
9.7048,0.00847408,0.994147,35.5708,0.00547046,0.983529,24.4361,0.0031088,0.980534,54.8298,0.00340288,0.966184,0.807308,0.0528524,0.945566,All
9.84115,0.00702127,0.995201,36.0413,0.00471799,0.985922,24.8541,0.00288836,0.981786,55.6736,0.00312459,0.968937,0.821724,0.0513573,0.946317,All
9.97751,0.00580269,0.996073,36.5118,0.00406135,0.987984,25.272,0.0026849,0.98295,56.5174,0.00286871,0.971464,0.836141,0.049927,0.947047,All
10.1139,0.00478391,0.996792,36.9823,0.00348985,0.989757,25.6899,0.00249701,0.984033,57.3613,0.00263352,0.973784,0.850557,0.048558,0.947757,All
10.2502,0.0039348,0.997385,37.4528,0.00299367,0.991279,26.1079,0.00232343,0.98504,58.2051,0.00241743,0.975914,0.864973,0.0472465,0.948448,All
10.3866,0.00322919,0.997872,37.9233,0.0025639,0.992584,26.5258,0.00216296,0.985977,59.0489,0.00221894,0.977869,0.879389,0.0459893,0.94912,All
10.5229,0.00264448,0.998271,38.3937,0.00219247,0.993701,26.9438,0.00201456,0.986849,59.8927,0.00203668,0.979663,0.893805,0.0447835,0.949774,All
10.6593,0.00216124,0.998598,38.8642,0.00187214,0.994655,27.3617,0.00187723,0.987662,60.7366,0.00186936,0.98131,0.908222,0.0436261,0.950411,All
10.7956,0.00176288,0.998864,39.3347,0.00159641,0.99547,27.7797,0.0017501,0.98842,61.5804,0.00171579,0.982822,0.922638,0.0425146,0.951032,All
10.932,0.00143529,0.999082,39.8052,0.00135951,0.996164,28.1976,0.00163233,0.989126,62.4242,0.00157486,0.984209,0.937054,0.0414465,0.951637,All
11.0684,0.00116651,0.999258,40.2757,0.00115634,0.996754,28.6156,0.0015232,0.989786,63.268,0.00144555,0.985483,0.95147,0.0404194,0.952227,All
11.2047,0.000946472,0.999402,40.7462,0.000982382,0.997256,29.0335,0.00142202,0.990401,64.1119,0.00132691,0.986652,0.965886,0.0394314,0.952803,All
11.3411,0.000766707,0.999518,41.2167,0.000833668,0.997683,29.4515,0.00132815,0.990975,64.9557,0.00121808,0.987725,0.980302,0.0384804,0.953364,All
11.4774,0.000620136,0.999613,41.6872,0.000706723,0.998044,29.8694,0.00124104,0.991512,65.7995,0.00111826,0.98871,0.994719,0.0375645,0.953912,All
11.6138,0.000500857,0.999689,42.1577,0.000598514,0.998351,30.2874,0.00116015,0.992013,66.6434,0.0010267,0.989614,1.00913,0.0366819,0.954448,All
11.7501,0.00040396,0.99975,42.6282,0.000506395,0.99861,30.7053,0.00108501,0.992482,67.4872,0.000942723,0.990445,1.02355,0.0358311,0.95497,All
11.8865,0.000325381,0.9998,43.0987,0.000428074,0.998829,31.1233,0.00101517,0.992921,68.331,0.000865703,0.991207,1.03797,0.0350105,0.955481,All
12.0228,0.000261759,0.99984,43.5692,0.000361562,0.999015,31.5412,0.000950231,0.993332,69.1748,0.000795064,0.991908,1.05238,0.0342186,0.95598,All
12.1592,0.000210327,0.999872,44.0397,0.000305142,0.999171,31.9592,0.000889821,0.993716,70.0187,0.000730276,0.992551,1.0668,0.0334541,0.956468,All
12.2956,0.00016881,0.999897,44.5102,0.000257333,0.999303,32.3771,0.000833598,0.994076,70.8625,0.000670853,0.993142,1.08122,0.0327157,0.956944,All
12.4319,0.000135343,0.999918,44.9807,0.000216861,0.999414,32.7951,0.000781247,0.994413,71.7063,0.000616349,0.993684,1.09563,0.0320023,0.957411,All
12.5683,0.000108401,0.999935,45.4512,0.000182632,0.999508,33.213,0.000732481,0.99473,72.5501,0.000566353,0.994183,1.11005,0.0313126,0.957867,All
12.7046,8.6738e-05,0.999948,45.9217,0.00015371,0.999587,33.631,0.000687035,0.995026,73.394,0.00052049,0.994641,1.12446,0.0306456,0.958314,All
12.841,6.93413e-05,0.999958,46.3921,0.000129291,0.999653,34.0489,0.000644662,0.995304,74.2378,0.000478414,0.995062,1.13888,0.0300003,0.958751,All
12.9773,5.5386e-05,0.999967,46.8626,0.000108691,0.999709,34.4669,0.00060514,0.995565,75.0816,0.000439811,0.99545,1.1533,0.0293758,0.959179,All
13.1137,4.42032e-05,0.999974,47.3331,9.13256e-05,0.999756,34.8848,0.00056826,0.995811,75.9255,0.000404389,0.995806,1.16771,0.0287711,0.959598,All
13.25,3.52511e-05,0.999979,47.8036,7.66971e-05,0.999796,35.3027,0.00053383,0.996041,76.7693,0.000371883,0.996133,1.18213,0.0281854,0.960009,All
13.3864,2.80917e-05,0.999983,48.2741,6.43823e-05,0.999829,35.7207,0.000501676,0.996257,77.6131,0.00034205,0.996434,1.19655,0.027618,0.960411,All
13.5228,2.23709e-05,0.999987,48.7446,5.40217e-05,0.999857,36.1386,0.000471634,0.99646,78.4569,0.000314666,0.996711,1.21096,0.0270679,0.960805,All
13.6591,1.78038e-05,0.999989,49.2151,4.53103e-05,0.99988,36.5566,0.000443553,0.996652,79.3008,0.000289528,0.996966,1.22538,0.0265346,0.961191,All
13.7955,1.41604e-05,0.999992,49.6856,3.79894e-05,0.999899,36.9745,0.000417296,0.996831,80.1446,0.000266448,0.9972,1.23979,0.0260173,0.96157,All
13.9318,1.12563e-05,0.999993,50.1561,3.18404e-05,0.999916,37.3925,0.000392734,0.997001,80.9884,0.000245254,0.997416,1.25421,0.0255154,0.961942,All
14.0682,8.94297e-06,0.999995,50.6266,2.66782e-05,0.99993,37.8104,0.000369749,0.99716,81.8322,0.000225789,0.997615,1.26863,0.0250282,0.962306,All
14.2045,7.10154e-06,0.999996,51.0971,2.23462e-05,0.999941,38.2284,0.000348231,0.99731,82.6761,0.00020791,0.997797,1.28304,0.0245552,0.962663,All
14.3409,5.63665e-06,0.999997,51.5676,1.87125e-05,0.999951,38.6463,0.000328078,0.997451,83.5199,0.000191484,0.997966,1.29746,0.0240959,0.963014,All
14.4772,4.47201e-06,0.999997,52.0381,1.56658e-05,0.999959,39.0643,0.000309197,0.997584,84.3637,0.000176392,0.998121,1.31187,0.0236496,0.963358,All
14.6136,3.54657e-06,0.999998,52.5086,1.31121e-05,0.999965,39.4822,0.000291501,0.99771,85.2076,0.000162522,0.998264,1.32629,0.0232159,0.963696,All
14.75,2.8116e-06,0.999998,52.9791,1.09724e-05,0.999971,39.9002,0.000274909,0.997828,86.0514,0.000149774,0.998396,1.34071,0.0227944,0.964027,All
14.8863,2.22817e-06,0.999999,53.4496,9.18007e-06,0.999976,40.3181,0.000259348,0.99794,86.8952,0.000138053,0.998517,1.35512,0.0223845,0.964353,All
15.0227,1.76525e-06,0.999999,53.9201,7.67922e-06,0.99998,40.7361,0.000244746,0.998045,87.739,0.000127277,0.998629,1.36954,0.0219858,0.964673,All
15.159,1.39809e-06,0.999999,54.3906,6.42275e-06,0.999983,41.154,0.000231041,0.998144,88.5829,0.000117367,0.998732,1.38396,0.0215979,0.964987,All
15.2954,1.10701e-06,0.999999,54.861,5.37114e-06,0.999986,41.572,0.000218173,0.998238,89.4267,0.000108251,0.998827,1.39837,0.0212204,0.965296,All
15.4317,8.76316e-07,0.999999,55.3315,4.49117e-06,0.999988,41.9899,0.000206086,0.998327,90.2705,9.98639e-05,0.998915,1.41279,0.020853,0.965599,All
15.5681,6.93547e-07,1,55.802,3.75497e-06,0.99999,42.4079,0.00019473,0.998411,91.1143,9.21466e-05,0.998996,1.4272,0.0204953,0.965897,All
