Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
3.43962,0.182689,13.0233,0.00261983,1.79726,0.0551033,10.3713,0.0107029,0.0264314,13.4529,All
3.66668,0.117443,14.1543,0.0130991,3.32973,0.0773379,13.4165,0.0267572,0.0792908,1.20515,All
3.89374,0.0260985,15.2853,0.0288181,4.86221,0.105373,16.4617,0.0243247,0.13215,0.700671,All
4.1208,0.00652462,16.4163,0.045847,6.39469,0.113107,19.5069,0.0306491,0.185009,0.504483,All
4.34786,0.0130492,17.5472,0.0432271,7.92716,0.0831383,22.5522,0.0316221,0.237869,0.44843,All
4.57492,0.123968,18.6782,0.0615659,9.45964,0.0696042,25.5974,0.043298,0.290728,0.224215,All
4.80198,0.352329,19.8092,0.0563263,10.9921,0.0435026,28.6426,0.039406,0.343588,0.420403,All
5.02905,0.587215,20.9402,0.0641858,12.5246,0.0357688,31.6878,0.0301626,0.396447,0.280269,All
5.25611,0.528494,22.0711,0.0825246,14.0571,0.0357688,34.733,0.0316221,0.449306,0.196188,All
5.48317,0.25446,23.2021,0.0825246,15.5895,0.0164343,37.7783,0.0131353,0.502166,0.196188,All
5.71023,0.0913446,24.3331,0.0943138,17.122,0.00966724,40.8235,0.0170273,0.555025,0.308295,All
5.93729,0.319706,25.4641,0.0930039,18.6545,0.00773379,43.8687,0.00972988,0.607884,0.168161,All
6.16435,0.398002,26.595,0.0707353,20.187,0.00966724,46.9139,0.00875689,0.660744,0.168161,All
6.39141,0.528494,27.726,0.0471569,21.7194,0.00290017,49.9591,0.00535144,0.713603,0.0560537,All
6.61847,0.300132,28.857,0.0340578,23.2519,0.00193345,53.0044,0.00535144,0.766462,0.0280269,All
6.84553,0.0587215,29.988,0.0261983,24.7844,0,56.0496,0.00243247,0.819322,0.0560537,All
7.07259,0.0391477,31.119,0.015719,26.3169,0.000966724,59.0948,0.00145948,0.872181,0.0560537,All
7.29965,0.0521969,32.2499,0.0117892,27.8493,0.00193345,62.14,0.00194598,0.92504,0.0840806,All
7.52671,0.0652462,33.3809,0.00785948,29.3818,0.0038669,65.1852,0.00145948,0.9779,0.140134,All
7.75377,0.0717708,34.5119,0.00916939,30.9143,0.000966724,68.2305,0.00145948,1.03076,0.140134,All
7.98083,0.0456723,35.6429,0.00654957,32.4468,0.000966724,71.2757,0.00145948,1.08362,0.168161,All
8.20789,0.08482,36.7738,0.00654957,33.9792,0,74.3209,0.000486494,1.13648,0.168161,All
8.43495,0.0978692,37.9048,0.00392974,35.5117,0,77.3661,0,1.18934,0.112107,All
8.66201,0.0587215,39.0358,0.00130991,37.0442,0,80.4113,0,1.2422,0.168161,All
8.88907,0.0652462,40.1668,0.00261983,38.5767,0,83.4565,0,1.29506,0,All
9.11613,0.0652462,41.2977,0.00261983,40.1092,0,86.5018,0.00145948,1.34792,0.140134,All
9.34319,0.0326231,42.4287,0.00261983,41.6416,0.000966724,89.547,0.000486494,1.40077,0.0280269,All
