iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,794.575,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,0,0.3
2,788.981,1,1.99585,0.831903,26.9733,6.31289,30.7726,1.46202,1.47453,0.974679,0,0.285
3,773.267,1,2.25183,0.795438,35.0982,6.1318,26.7337,1.425,1.43719,0.95,0,0.27075
4,760.767,1,1.84185,0.97957,28.2241,6.66531,36.7589,1.38892,1.4008,0.925945,0,0.257212
5,750.847,1,2.03081,0.902337,25.0995,7.15695,41.8132,1.35375,1.36533,1.00525,0,0.244352
6,741.888,1,1.70814,1.05745,28.2867,9.32306,43.7732,1.31947,1.33076,0.979799,0,0.232134
7,734.828,1,2.22013,0.826136,27.8554,9.00553,46.5774,1.28606,1.29707,0.987629,0,0.220528
8,721.524,1,1.66619,1.02195,25.8308,8.32498,41.3375,1.2535,1.26423,0.962621,0,0.209501
9,709.004,1,1.70608,1.02202,26.1981,8.21912,35.3952,1.22176,1.23221,0.938247,0,0.199026
10,702.666,1,3.02004,0.539818,24.1248,9.44136,33.4042,1.19082,1.20101,0.981129,0,0.189075
11,681.39,1,2.43232,0.765989,20.3102,8.08788,31.1599,1.16067,1.1706,0.956286,0,0.179621
12,671.488,1,3.51637,0.443375,19.9723,9.01339,31.0138,1.13128,1.14096,0.975009,0,0.17064
13,660.258,1,2.51777,0.731089,21.2151,10.409,31.4984,1.10264,1.11207,0.950321,0,0.162108
14,653.396,1,2.85286,0.584305,18.948,11.7401,28.447,1.07472,1.08392,0.926258,0,0.154003
15,644.285,1,3.35087,0.453328,19.844,11.4714,26.7135,1.04751,1.05647,0.902805,0,0.146302
16,639.427,1,3.1502,0.505258,17.9129,12.0623,25.9622,1.02098,1.02972,0.911607,0,0.138987
17,622.706,1,2.94404,0.589111,16.3221,14.6555,26.7127,0.995131,1.00365,0.937124,0,0.132038
18,614.089,1,2.83964,0.574462,13.5235,14.2453,27.6309,0.969933,0.978234,0.913396,0,0.125436
19,601.823,1,3.08873,0.50852,12.6901,17.0063,28.2785,0.945374,0.953464,0.958345,0,0.119164
20,587.285,1,3.0278,0.531483,11.5446,18.4914,28.4552,0.921437,0.929322,0.934079,0,0.113206
21,578.844,1,2.9377,0.572454,12.0171,17.4359,27.0325,0.898105,0.905791,0.910427,0,0.107546
22,571.335,1,2.83045,0.603997,12.7487,15.5772,27.476,0.875365,0.882856,0.957334,0,0.102168
23,560.257,1,2.6785,0.654483,15.211,16.8969,26.2954,0.8532,0.860502,1.02065,0,0.0970601
24,550.545,1,3.18036,0.508582,14.6005,16.0447,26.9733,0.831597,0.838713,0.994807,0,0.0922071
25,535.697,1,3.20697,0.492321,13.4922,16.6292,25.8775,0.81054,0.817476,0.969618,0,0.0875967
26,527.432,1,2.60733,0.659894,13.2006,15.8467,25.271,0.790017,0.796778,0.945067,0,0.0832169
27,524.455,1,2.6524,0.649995,13.1508,16.6552,25.2217,0.770013,0.826743,0.921137,0,0.079056
28,507.651,1,2.68923,0.631016,12.5423,16.8029,24.4138,0.750516,0.805809,0.897813,0,0.0751032
29,497.576,1,2.71114,0.633108,12.8692,17.4717,23.6127,0.731512,0.785406,0.87508,0,0.0713481
30,494.385,1,2.59941,0.679502,13.2251,16.9978,24.2399,0.71299,0.765519,0.852923,0,0.0677807
31,481.839,1,2.89941,0.569556,12.2076,16.673,23.2836,0.694937,0.746136,0.831326,0,0.0643916
32,471.511,1,2.76392,0.618663,12.6797,17.4084,23.3199,0.677341,0.727243,0.810276,0,0.061172
33,466.617,1,2.82645,0.589849,12.3064,18.0851,22.4637,0.66019,0.708829,0.814095,0,0.0581134
34,452.685,1,2.77752,0.60952,12.8052,16.32,22.6392,0.643474,0.698362,0.793481,0,0.0552078
35,447.544,1,2.77387,0.610881,13.5572,15.4693,21.9317,0.627181,0.680679,0.77339,0,0.0524474
36,439.441,1,2.87974,0.573352,14.1849,13.5344,22.0174,0.6113,0.663443,0.753807,0,0.049825
37,430.51,1,2.78997,0.585793,13.7806,12.9216,20.9079,0.595821,0.653033,0.73472,0,0.0473338
