standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.82243,0.108299,-2.40889,0.0369991,-3.30049,0.0160084,-1.83777,0.0811781,All
-2.46517,0.108299,-1.9906,0.129497,-2.81711,0.0160084,-1.45648,0.162356,All
-2.10792,0,-1.57232,0.0739982,-2.33373,0.0480251,-1.07519,0.162356,All
-1.75066,0.0866389,-1.15403,0.258994,-1.85035,0.144075,-0.693902,0.44648,All
-1.3934,0.129958,-0.735749,0.258994,-1.36697,0.128067,-0.312612,0.324712,All
-1.03614,0,-0.317463,0.40699,-0.883595,0.1921,0.0686773,0.507363,All
-0.678887,0.0216597,0.100822,0.462489,-0.400216,0.288151,0.449967,0.345007,All
-0.321629,0.433195,0.519108,0.443989,0.0831619,0.512268,0.831257,0.324712,All
0.0356277,0.649792,0.937393,0.258994,0.56654,0.448234,1.21255,0.182651,All
0.392885,0.563153,1.35568,0.166496,1.04992,0.320167,1.59384,0.182651,All
0.750142,0.563153,1.77396,0.0369991,1.5333,0.0480251,1.97513,0.0811781,All
1.1074,0.368216,2.19225,0.0554987,2.01667,0.0800418,2.35642,0.0405891,All
