simulations,OFV
500,955.149
1000,956.598
1500,955.181
2000,954.991
2500,956.016
3000,955.043
3500,953.962
4000,953.725
4500,954.251
5000,954.053
5500,954.095
6000,954.333
6500,954.184
7000,954.282
7500,954.29
8000,954.298
8500,954.56
9000,954.293
9500,954.169
10000,954.143
10500,954
11000,954.09
11500,954.141
12000,954.028
12500,954.11
13000,954.198
13500,954.245
14000,954.265
14500,954.132
15000,954.122
15500,954.13
16000,954.177
16500,953.98
17000,953.945
17500,954.043
18000,954.072
18500,954.178
19000,954.202
19500,954.172
20000,954.098
20500,953.99
21000,953.827
21500,953.823
22000,953.91
22500,953.935
23000,953.705
23500,953.538
24000,953.547
24500,953.565
25000,953.632
25500,953.555
26000,953.459
26500,953.453
27000,953.42
27500,953.443
28000,953.432
28500,953.403
29000,953.459
29500,953.521
30000,953.598
