iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V2
1,630.751,1,10.2275,11.1604,43.2233,60.344,0.3,1.5,1.5,1.5
2,599.075,1,8.97078,12.8071,46.8703,55.2732,0.24,1.34164,1.40699,1.34164
3,563.175,1,9.23138,11.8948,47.3825,55.0279,0.192,1.2,1.25845,1.3455
4,539.982,1,9.11998,12.7514,48.1612,64.7176,0.1536,1.07331,1.12559,1.32013
5,514.358,1,8.98738,10.8634,47.5383,74.824,0.136101,0.96,1.00676,1.25531
6,496.382,1,8.99104,10.8453,46.1594,73.7146,0.125291,0.85865,0.912197,1.12278
7,484.667,1,8.8029,9.77994,46.1292,89.1908,0.119246,0.768,0.916223,1.063
8,458.236,1,8.91145,10.0575,46.4405,94.804,0.10804,0.68692,0.857948,1.00346
9,450.567,1,9.20119,9.83277,45.9536,83.6944,0.105727,0.6144,0.832192,0.967429
10,447.573,1,9.23393,10.141,46.0185,80.6952,0.105145,0.549536,0.816827,0.986878
11,444.271,1,9.19657,9.80131,46.2111,77.804,0.102811,0.49152,0.825456,0.981911
12,444.15,1,9.266,9.78817,46.0335,81.1848,0.104696,0.439629,0.81517,0.97898
13,441.443,1,9.26038,9.54321,46.2017,83.6263,0.104029,0.406826,0.83912,0.924313
14,437.937,1,9.27919,9.797,45.9082,89.7312,0.102659,0.397464,0.850273,0.914688
15,434.434,1,9.40299,10.0371,45.7773,89.0797,0.102768,0.38646,0.846084,0.86668
16,433.471,1,9.48713,10.0296,45.8386,87.0278,0.101613,0.353678,0.954968,0.825554
17,426.143,1,9.47444,9.83991,45.7097,94.1504,0.0994443,0.336919,0.928266,0.791073
18,427.287,1,9.49154,9.37543,45.7097,91.8939,0.100866,0.319644,0.911873,0.761192
19,419.906,1,9.61087,9.55017,45.596,91.4086,0.0986839,0.305022,0.921212,0.731102
20,424.983,1,9.71842,8.82779,45.5097,82.6806,0.102418,0.282621,0.931339,0.714719
21,417.974,1,9.81107,8.52251,45.6282,78.8963,0.099413,0.269708,0.895599,0.740542
22,415.922,1,9.82235,8.8307,45.3914,76.4064,0.100418,0.268073,0.823737,0.72105
23,410.917,1,9.8848,8.92738,45.3914,76.3642,0.0981797,0.259995,0.853005,0.694058
24,409.956,1,9.9021,9.2058,45.1189,79.3069,0.0993905,0.26979,0.841498,0.620785
25,406.41,1,9.87066,9.77254,44.6821,79.924,0.0978766,0.273948,0.833893,0.559297
26,409.211,1,9.88881,9.2713,44.8274,79.7984,0.0974852,0.281732,0.880673,0.5797
27,409.344,1,9.97245,9.61511,44.9412,75.2409,0.098332,0.284867,0.867682,0.590448
28,406.546,1,10.0309,10.0632,44.6187,69.934,0.0966364,0.277365,0.909984,0.574003
29,406.315,1,10.0302,10.2837,44.2434,64.4093,0.0963082,0.280469,0.930458,0.560658
30,408.428,1,10.0494,10.6759,43.8726,64.739,0.0995672,0.28504,0.906236,0.509532
31,406.332,1,10.0902,10.605,44.3897,67.6988,0.101234,0.2793,0.865841,0.471618
32,399.155,1,10.1075,10.4392,44.3835,69.72,0.0972348,0.27719,0.886827,0.448407
33,396.48,1,10.0687,9.76674,44.2731,67.282,0.0966907,0.277742,0.868309,0.422119
34,392.25,1,10.0875,9.80887,44.3219,65.4411,0.0955035,0.264914,0.870376,0.408287
35,393.279,1,10.1767,10.4085,44.1758,64.4561,0.0965541,0.261965,0.876269,0.40715
36,394.041,1,10.0818,10.2707,44.3087,66.8689,0.0949518,0.263233,0.883043,0.423773
37,393.284,1,10.1456,10.1157,44.2664,65.5213,0.0958511,0.256497,0.91787,0.411651
38,396.966,1,10.046,9.79739,43.7347,65.4703,0.0957975,0.268137,0.914184,0.409496
39,393.811,1,10.0989,10.1603,44.1258,65.7242,0.0966913,0.268149,0.854132,0.416262
40,396.981,1,10.0981,9.87822,43.9883,63.1645,0.0978388,0.265998,0.885892,0.398033
41,398.515,1,10.0118,9.75902,43.7682,62.1787,0.0971065,0.26425,0.871153,0.414957
42,388.967,1,10.0191,9.50647,43.5794,60.8105,0.0953181,0.265176,0.826023,0.378048
43,390.661,1,10.0722,9.27296,44.1051,61.713,0.0957828,0.261215,0.842519,0.385382
44,390.904,1,10.0825,9.38667,44.1524,62.9908,0.0953173,0.260699,0.866072,0.381234
45,390.264,1,10.0864,9.32762,44.2822,61.379,0.0955027,0.260868,0.886073,0.366788
46,392.637,1,10.0609,9.39491,44.2349,63.3884,0.0971119,0.263673,0.935995,0.33279
47,393.605,1,10.0669,8.6804,44.5702,61.32,0.0975222,0.267586,0.945872,0.327877
48,395.743,1,10.0288,8.34837,44.7595,59.9764,0.100851,0.272436,0.922749,0.293262
49,397.3,1,10.0609,8.51013,45.0203,61.4435,0.100367,0.263538,0.970852,0.30157
50,400.021,1,10.0749,8.78783,44.5425,60.5832,0.101126,0.258013,0.968012,0.319853
51,390.356,1,10.1289,9.26433,43.9108,58.9459,0.0964368,0.256131,1.02104,0.311693
52,380.489,1,10.1281,9.85725,43.679,57.8023,0.0940831,0.267376,0.943578,0.281323
53,381.572,1,10.1847,9.97777,43.8971,56.8604,0.0968528,0.262848,0.930164,0.256599
54,374.468,1,10.1803,9.68818,43.9663,58.4348,0.0945607,0.257658,0.887349,0.24233
55,383.888,1,10.1611,9.58697,44.0929,57.1907,0.0985019,0.251191,0.850621,0.254698
56,388.002,1,10.1368,9.61915,43.694,56.4967,0.0978134,0.261449,0.839674,0.279505
57,378.43,1,10.1758,9.63144,44.0357,58.0791,0.0948528,0.260827,0.870033,0.264845
58,374.057,1,10.1643,9.31348,44.4938,57.8505,0.0939217,0.264472,0.895323,0.240439
59,373.274,1,10.1513,9.30143,44.488,58.6518,0.0945572,0.269788,0.933127,0.215055
60,377.621,1,10.1719,9.35359,44.6612,58.7635,0.0949702,0.276702,0.976813,0.208421
61,379.74,1,10.1601,9.39346,44.7307,58.7833,0.0987467,0.270667,0.992642,0.186873
62,377.463,1,10.1897,9.34641,45.1467,59.6168,0.0993271,0.270355,0.952321,0.177503
63,376.006,1,10.214,9.45437,44.8603,58.6661,0.0995592,0.264583,0.899708,0.176605
64,378.252,1,10.173,9.63184,44.7444,58.0009,0.0974877,0.263181,0.987297,0.178359
65,369.462,1,10.1745,9.91905,44.4961,58.339,0.0952457,0.255628,0.947867,0.176862
66,369.719,1,10.1358,9.71503,44.2668,58.4086,0.0960956,0.258576,0.937665,0.164405
67,368.268,1,10.1492,9.77263,44.2099,57.4198,0.0960831,0.257165,0.926902,0.159084
68,371.452,1,10.1878,10.138,44.2666,58.1457,0.0960148,0.263449,0.897867,0.173414
69,364.419,1,10.2155,10.2122,43.9485,58.4536,0.09376,0.257233,0.916754,0.168359
70,373.965,1,10.184,10.1074,44.117,57.9488,0.0972254,0.258097,0.963783,0.165911
71,376.01,1,10.2103,9.89712,43.9703,57.721,0.0982481,0.259224,0.977403,0.168679
72,374.396,1,10.1814,10.3994,43.3625,57.4985,0.0962007,0.269381,0.951901,0.173152
73,372.643,1,10.1867,10.358,43.3625,57.5146,0.0966958,0.265257,0.975543,0.16516
74,367.846,1,10.2298,10.5617,43.5058,56.5327,0.0956711,0.260189,0.94487,0.162574
75,368.379,1,10.2227,10.3564,43.3786,57.126,0.0976828,0.256982,0.929889,0.150978
76,370.35,1,10.2396,11.1052,43.3346,57.2714,0.100889,0.264142,0.886325,0.135038
77,374.508,1,10.3288,11.2668,43.4607,57.8912,0.101607,0.260784,0.939482,0.138857
78,371.84,1,10.2601,11.1201,43.3727,57.562,0.0989134,0.270449,0.957194,0.134414
79,366.948,1,10.2811,11.0775,43.7608,57.836,0.0976704,0.26356,0.947364,0.13643
80,367.163,1,10.269,11.1361,43.5728,57.263,0.0965016,0.263256,0.941714,0.142752
81,373.011,1,10.1712,11.1186,43.0771,58.4792,0.0982346,0.269837,0.928387,0.141673
82,369.293,1,10.1789,10.7612,43.2125,58.8464,0.0972365,0.274437,0.94802,0.137881
83,375.941,1,10.197,10.7315,43.5594,59.5738,0.0990427,0.271135,0.990278,0.146316
84,365.119,1,10.219,10.1922,44.3214,60.7975,0.0974759,0.263121,0.928621,0.140514
85,362.604,1,10.1911,9.79961,44.5932,61.6287,0.098309,0.260993,0.857245,0.13058
86,363.731,1,10.1904,10.0691,44.5709,61.3132,0.0947632,0.265371,0.857964,0.146584
87,365.775,1,10.1815,10.3766,44.3308,62.5751,0.0956541,0.267941,0.888145,0.145991
88,368.618,1,10.1704,10.2178,44.4083,63.5054,0.0958183,0.267401,0.919096,0.151406
89,367.539,1,10.1268,9.78011,44.4748,63.7356,0.0942926,0.267207,0.975985,0.151385
90,368.343,1,10.1276,9.25745,44.7847,65.4462,0.0970056,0.262044,0.96836,0.14642
91,363.882,1,10.1499,9.41272,45.0575,64.8662,0.0947412,0.267204,0.971888,0.140584
92,364.608,1,10.1262,9.33894,45.3484,64.4357,0.0943439,0.274686,0.921244,0.147167
93,365.688,1,10.172,9.46055,45.4442,62.7641,0.0939023,0.26888,0.924474,0.161519
94,361.386,1,10.2052,9.48193,45.3539,61.5303,0.0958029,0.259572,0.874555,0.151086
95,373.165,1,10.1826,9.70012,44.8065,61.4636,0.0983241,0.256983,0.886448,0.161184
96,368.039,1,10.2512,9.65929,44.8619,62.6857,0.0978322,0.255933,0.913629,0.15366
97,369.769,1,10.2774,10.0529,45.1058,62.9701,0.0978245,0.262398,0.914166,0.154095
98,362.483,1,10.2102,9.86409,45.011,64.7869,0.0948966,0.263972,0.886435,0.149619
99,362.789,1,10.214,9.79208,44.9331,64.3479,0.0956777,0.267978,0.863934,0.146671
100,371.082,1,10.2086,9.20464,45.1711,63.8211,0.0992963,0.267103,0.895165,0.145392
101,375.77,1,10.1548,9.35476,44.6012,63.5253,0.103333,0.261917,0.920247,0.130043
102,379.579,1,10.1495,9.36048,44.6177,64.0121,0.100893,0.271826,0.983296,0.137302
103,374.508,1,10.148,9.32258,44.5188,64.3651,0.0998182,0.271256,1.02845,0.130894
104,371.639,1,10.189,9.60901,44.6336,64.91,0.10005,0.271911,0.98257,0.129281
105,358.804,1,10.2,9.88891,44.2491,64.2994,0.0965203,0.272666,0.940885,0.115633
106,362.605,1,10.2548,10.2023,44.184,63.964,0.0979408,0.269203,0.953061,0.112812
107,360.013,1,10.1755,9.7042,43.9128,64.0019,0.0959816,0.267811,0.95712,0.109366
108,359.749,1,10.1696,9.86333,43.9665,64.3753,0.0944311,0.269237,0.961288,0.116431
109,357.407,1,10.1466,9.95228,43.9235,64.5207,0.0925919,0.265296,0.943319,0.125777
110,354.065,1,10.1645,10.0291,43.8161,63.1903,0.0941494,0.261477,0.93948,0.113563
111,359.981,1,10.2037,10.035,44.3968,62.3738,0.096621,0.267819,0.959237,0.109355
112,356.867,1,10.1801,9.87721,44.4022,62.2478,0.0954616,0.265905,0.953148,0.105835
113,359.956,1,10.1787,9.73611,44.4076,62.3672,0.0946027,0.264546,0.962764,0.116482
114,358.028,1,10.1512,9.88452,43.914,62.0741,0.0938285,0.25834,0.962438,0.120006
115,358.875,1,10.0945,9.55573,43.9514,61.0647,0.0927483,0.26601,0.966777,0.122314
116,358.973,1,10.1042,9.61925,44.0794,60.337,0.0948087,0.265292,0.968423,0.11646
117,356.778,1,10.0968,9.81591,43.8543,60.5269,0.0936397,0.268288,0.968644,0.111784
118,357.478,1,10.1098,9.48504,44.2787,61.5086,0.0951921,0.264578,0.970217,0.107559
119,357.484,1,10.1285,9.68807,44.493,62.2932,0.0940402,0.269224,0.982916,0.109152
120,360.16,1,10.1687,9.82301,44.2609,61.6894,0.0950619,0.268559,1.01328,0.111134
121,362.927,1,10.1383,9.57845,44.0679,61.2896,0.0966805,0.266703,0.966999,0.114199
122,364.54,1,10.1634,9.34435,43.9399,61.0846,0.0973075,0.254369,0.95863,0.12259
123,363.304,1,10.1436,9.24946,43.4979,60.17,0.0953693,0.253208,1.01764,0.12115
124,362.521,1,10.1722,9.10423,43.8593,59.3451,0.0963435,0.251522,1.03394,0.118633
125,355.59,1,10.1693,9.23819,43.817,58.6488,0.0960567,0.259652,1.02064,0.106108
126,363.743,1,10.1945,9.57915,44.0963,59.1134,0.096807,0.263319,1.0099,0.111057
127,361.448,1,10.1978,9.74372,44.2024,59.2598,0.09819,0.259592,0.989252,0.105953
128,359.845,1,10.2493,9.72427,44.4148,59.3627,0.09994,0.255591,0.930655,0.101425
129,353.779,1,10.2633,9.92954,44.2009,59.2448,0.097418,0.257161,0.846791,0.102266
130,356.329,1,10.2632,10.3377,44.1212,59.4125,0.0969628,0.252571,0.859888,0.106859
131,360.435,1,10.2592,10.5104,44.2323,59.9913,0.0978655,0.257122,0.913077,0.106305
132,357.159,1,10.2477,10.2978,44.1261,59.5019,0.0970128,0.258607,0.940835,0.101061
133,352.272,1,10.2,10.0482,43.7709,59.3405,0.0921916,0.261961,0.984688,0.103042
134,351.64,1,10.1894,9.99861,43.9071,59.1611,0.0932043,0.265464,0.996205,0.0990068
135,347.916,1,10.2116,9.67455,44.2948,58.9701,0.0929937,0.266181,0.998179,0.0935859
136,359.236,1,10.2316,10.2716,43.9017,58.2373,0.0979909,0.269429,0.944263,0.096174
137,352.957,1,10.1966,10.3512,43.9122,58.0279,0.0965322,0.267985,0.934738,0.0887421
138,348.838,1,10.1655,10.1709,43.5125,58.1415,0.0966969,0.270226,0.883357,0.0805959
139,355.881,1,10.1258,9.90801,43.1638,58.0293,0.0987958,0.26864,0.882912,0.0798657
140,350.933,1,10.1579,9.80237,43.7735,58.0949,0.0975593,0.266017,0.904379,0.0770728
141,348.367,1,10.1993,9.97994,43.7579,57.1945,0.0988797,0.264761,0.87729,0.0714302
142,344.452,1,10.1835,9.81669,44.0905,56.9313,0.0951616,0.267325,0.879735,0.0717284
143,337.324,1,10.1639,9.68027,44.059,56.6719,0.0917767,0.268032,0.914402,0.0684949
144,345.604,1,10.0914,8.95969,44.1637,56.6224,0.0972488,0.26603,0.865463,0.0665008
145,348.614,1,10.0975,8.9596,43.9324,56.6557,0.0982767,0.262733,0.892319,0.064788
146,347.014,1,10.1137,9.21377,43.7548,56.6149,0.10034,0.264076,0.854984,0.0598225
147,340.656,1,10.1675,9.30696,44.2153,56.2591,0.0982748,0.263708,0.817527,0.0588559
148,344.555,1,10.1943,9.29667,44.597,56.1234,0.098229,0.260461,0.824577,0.0633616
149,347.894,1,10.1819,9.6782,44.4648,56.0756,0.100205,0.261324,0.805378,0.0636975
150,340.875,1,10.2491,9.94956,44.717,56.1098,0.0979997,0.265493,0.815681,0.0609844
151,336.306,1,10.2104,9.6679,44.6747,56.21,0.0945271,0.264357,0.818042,0.0614746
152,338.165,1,10.1681,9.46266,44.256,56.0397,0.0939399,0.264296,0.890862,0.0609138
153,336.931,1,10.1859,9.63899,43.9625,55.9149,0.0939,0.26264,0.915621,0.0595846
154,337.859,1,10.2377,9.87545,43.9937,56.0916,0.0945858,0.260918,0.952496,0.0573619
155,338.135,1,10.2575,10.1291,44.0352,56.2194,0.0945561,0.263346,0.979658,0.0565132
156,335.891,1,10.201,9.72714,44.1079,56.0088,0.094512,0.261302,1.01349,0.0519766
157,337.773,1,10.1841,9.62948,44.1858,55.761,0.0954843,0.257049,1.01694,0.0496536
158,340.513,1,10.1932,9.61386,43.9825,55.7679,0.0952366,0.256019,1.05329,0.0524112
159,343.045,1,10.2005,9.75956,43.9411,55.5775,0.0963266,0.258909,1.0134,0.0544235
160,346.47,1,10.2183,9.46528,44.4663,55.3998,0.0984464,0.258754,0.952017,0.0567013
161,330.564,1,10.1878,9.54372,44.3302,55.1883,0.0942048,0.260873,0.908488,0.0578284
162,335.642,1,10.1809,9.60497,44.1894,55.4358,0.0938166,0.263032,0.934315,0.0559568
163,335.966,1,10.1938,9.6387,43.992,55.362,0.0933439,0.260241,0.978403,0.0563898
164,339.904,1,10.194,9.99582,43.6763,55.4371,0.0947085,0.261543,0.973031,0.0553944
165,339.428,1,10.1808,9.87836,43.6609,55.2275,0.0945242,0.260621,1.00347,0.0560553
166,336.88,1,10.1758,10.1047,43.4405,55.7247,0.0937791,0.260519,0.986624,0.0572692
167,334.638,1,10.115,9.77108,43.3794,55.4447,0.0935795,0.25413,0.933036,0.0567507
168,336.565,1,10.1461,9.53291,43.3387,55.4408,0.0934915,0.25754,0.998074,0.0553054
169,343.604,1,10.1074,9.10342,43.6372,55.6474,0.0953261,0.259844,1.02598,0.0540626
